ja	síjáttan
jabb	síendurtøka
jabba	síbiðja,endurtaka
jabbaður	Samheiti:fortugdurhavdur til fótatraðk, tátu, uppikipsan o.fl.;sagdur upp í saman (aftur)↔endurtaka,endurtøka,fótatraðk,umaftur
jabban	síendurtøka
jabróðir	Samheiti:undirlýðurósjálvstøðugt fólk;□hatta dugir ikki at siga nei, játtar øllum, sigur ja til alt↔eftirlíka,lítillátin,støðuveikur,vingliskølturAndheiti:klandursvætti
jada	sígrót
jaðar	síútlinja
jaðari	sístreymur,útlinja
jaðarkliptur	sínakin
jaðrakona	sífuglur
jaður	síhinna,lag,riðil
jaga	síjagstra,veiða
jagari	síveiðimaður
jagarsveinur	síveiðimaður
jagg	síendurtøka,møsnari,sjóvarilska
jagga	síendurtaka,gera aldu
jaggutur	síaldutur
jagl	síbit,møsnari
jagla	sígnaga
jagldýr	sídjór
jagstra	Samheiti:elta,forfylgja,jaga,meinsøkja,neyðelta,tvekkjafara, halda aftan á e-m, e-n;halda, herja, leggja, liggja, renna, vera eftir (e-m);leggja í halaferðina á e-m;lesa slóðina, fylgja slóðini;liggja e-m eftir lívinum(styggja)akta,avrøkja,avrøkstra,firra,hunda,hundbeita,hundræða,knokkroyta,nevbinda,reka,sjóvaska,skjaða,trábeitaakta, beita, reka seyð av bønum;beita, pusa hund á e-n, eftir e-m;beita upp (til fjals);beita við hundi;firra, jaga, reka, styggja (burtur) frá sær;gera styggan;hvista, kísta, kússja, kústa, kveistra (burtur) frá sær;køla burtur t.e. frysta e-n út(i);loypa upp í varg;seta hund á (seyð);skella, skrelja, skrella, styggja ross;skjóta, vísa frá sær;styggja (seyð) av haga↔elting,reka seyð,ræða,veiðaAndheiti:lokka,spekja
jagstran	síelting
jagstur	síelting
jagt	sísjófar,veiðing
jagta	sígraður,veiða
jakkaklæddur	sípyntaður
jakkakot	síkloddakot
jakkalummi	sílummi
jaksil	sítonn
jaksla	sígnaga
jakslan	síbit
jaksli	sítonn
jakslur	sítonn
jaksul	sítonn
jakt	sísjófar,veiðing
jakta	sígraður,veiða
jaligur	síjáttandi
jalov	sílyfti
