kabúss	síeldur,høli
kabússa	síeldur,høli
kaðalskip	sísjófar
kaffi	sídrekkivatn
kaffiborð	símatur
kaffibót	símatarbót
kaffifiltur	sískiljari
kaffigrugg	sígrugg
kaffihít	síátari
kaffihús	síbygningur
kaffikelling	síátari
kaffikíkur	síátari
kaffikjaftur	sídrekkivatn
kaffiluktur	síluktur
kaffiløta	sífrítíð
kaffimuður	sídrekkivatn
kaffimunnur	sídrekkivatn
kaffiposi	sískiljari
kaffipunsur	sírúsdrekka
kaffiskol	sídrekkivatn
kaffismílur	síluktur
kaffisteðgur	sífrítíð
kaffistova	síbygningur
kaffitystur	sítystur
kaffivognur	síbygningur
kag	sístaran,vaktarhald
kaga	síhalla,hyggja
kaggafullur	sídrukkin
kaggandi	sídrukkin
kaggi	síkassi
kaghol	síhol
kagingarhol	síhol
kagmaður	sívaktari
kagstaður	sívaktarhald
kahútskappi	síhøli
kahútt	síhøli
kahúttkappi	síhøli
kai	síbryggja
kaitúrur	sígonga
kajakk	sísjófar
kakkulárakó	sískríggj
kakubiti	sídáli
kakuflís	sídáli
kakuformur	síformur
kala	síhalla
kaldarak	sírakfallin
kaldaroykur	síroykur,toka
kaldasjúka	síkólna
kaldasveitti	sísveitti
kaldfeingin	síkrillutur
kaldgløggur	síklókur
kaldhamra	sísmíða
kaldhugaður	síharðhjartaður
kaldkrem	síkrem
kaldliga	sílánkasliga,óvinarliga
kaldligur	síharðhjartaður,kaldur
kaldlyntur	síharðhjartaður
kaldur	sídeyður,harðhjartaður,rakfallinSamheiti:bísturkaldur,bláfrystur,blákaldur,blástirdur,deyðakaldur,eiturkaldur,frosin,frostkaldur,gjøgnumgosin,glerfrystur,glerkaldur,gjøgnumfrosin,gosin,hálvkaldur,hálvstirðnaður,hundakaldur,illkalt,innkaldur,ísaglerakaldur,ísakaldur,ísastirdur,ískaldur,jarnkaldur,kaldligur,kalin,kuldaligur,kulisligur,kulsin,kulsutur,kølin,rákaldur,steinkaldur,stirdur,stirvin,turrgosin,vindgosin,vindkaldurbítandi, ísandi, ísnandi, ógvuliga kaldur;bláur í kulda;frystur at beini;gjøgnumstungin av kulda;(næstan) deyður í kulda;stívur av, í kulda;□hitin liggur niðan fyri, um frostmarkið;tað er kalt í veðrinum;tað neit í merg og mønu;tað ringlaði hvør tonn;tenninar ringlaðu í heysinum↔frystur,kavi,kólna,krillutur,kuldakráka,kuldi,køla,køling,køliverk,svalligurAndheiti:heitur
kaldvátur	sívátur
kalendari	síyvirlit
kali	síkøstatøð
kaliff	sídrukkin
kalin	síhallur,kaldur,vátur
kalitøð	síkøstatøð
kalkun	sífuglur
kalkunur	sífuglur
kalkúnur	sífuglur
kall	síákall,skríggj,starv
kalla	síbákna,doypa,kalla á ein,nevna,skríggja
kalla á ein	Samheiti:heya,kalla,preia,róparópa, siga halló, hey, hoyr, tú, tygum↔bákna,skríggja
kallaður	sínevna
kallari	síboðberi
kallast	sínevna,skeldast
kallblóma	síkallvera
kalldjór	síkallvera
kalldýr	síkallvera
kallfiskur	sífiskur,kallvera
kallinna	síkvennvera,kvinna
kallkendur	Samheiti:mannligur○sum er eyðkendur fyri menn, hoyrir monnum til,kvennkendur
kallkyn	síkallvera
kallkynsorð	síorð
kallleggur	sískyldfólk
kallmaður	síhúsbóndi,kallvera,kraftamaður
kallmansbragd	síroysnisgerð
kallmanslig	Samheiti:mandig,mannfólkalig,mansligein rættur, sannur kallmaður;eitt satt konubrot;sterk sum maður;□hon er mansmaki, mans maki;hon er sum ein maður, eitt mannfólk (í húsunum)↔sterkur
kallmansligur	síprúður
kallmansnevi	sílógvi
kallmenni	síavtakafólk,kraftamaður
kallskøp	Samheiti:boppa,buppa,darl,dirl,dirtl,fansur,gásasteggjareðr,gonnur,grand,gøltur,hali,hanareðr,hestafansur,hestreðr,hestreður,hvalareingi,javnaldurin,kynsgøgn,kynsliður,kynslimur,likkutútur,lillur,lingur,lívvølur,murtur,nillur,pil,pill,pilli,pillur,pissari,pissiboppa,pissigøltur,pissilingur,pittur,pussur,rakkali,reðr,reður,reiðskapur,reingi,roddi,russvølur,seyðasin,sin,sina,skap,skapningur,skomm,skøp,snilli,snillur,snoppa,snurtur,snyril,spini,stakkal,strongur,vela,vølurellivti fingur;hin, tann oddaleysi↔eista,kvennskøp
kallur	síhúsbóndi,kallvera
kallvera	Samheiti:kallkyn,hannslag,hannur(kallblóma)einkynjað blóma av kallkyni(kalldýr)brimil,bukkur,frensur,fressur,galti,galtur,geitarbukkur,geithavur,graðhestur,greðingur,greðungur,gøltur,hanndjór,hanndýr,hannhvalur,hannkópur,harufressur,havur,hestur,kalldjór,láturverja,láturverji,tarvur,veðrur,veður(kallmaður)kallur,maður,mannfólk,mannkyn(kallfiskur)hannfiskur,mjálkafiskur,mjálkakalvi,mjálkasild,silafiskur,silfiskur,siljafiskur,silkalvi(steggi)antarsteggi,blikur,dunnusteggi,dúgvusteggi,gásarsteggi,gásasteggi,hani,æðubliki,æðublikur↔kvennvera
kalna	síminka
kalsbók	síyvirlit
kalsbræv	síváttan
kalsdóttir	síkvinna
kalsleypur	síkassi
kalsmaður	síhjálpari
kalur	síavtakafólk,fiskur,hallur,kraftamaður
kalvaagn	síagn
kalvabeita	síagn
kalvabrestur	síljóð
kalvaflundra	sífiskur
kalvaheysur	síhøvur
kalvahúkur	síhúkur
kalvahøvd	síhøvur
kalvakleppur	síkrøkjari
kalvaleið	sífiskileið
kalvalýsi	sílýsi
kalvamaður	síeydnismaður
kalvamið	sífiskileið
kalvaongul	síhúkur
kalvaróður	sífiskiskapur
kalvasandflundra	sífiskur
kalvaskip	sísjófar
kalvaspjaldur	sífiskur
kalvaspragga	sífiskur
kalvasprek	sífiskur
kalvatíggjund	síavgjald
kalvaveiða	sífiskiskapur
kalvi	sífiskur
kamar	síhøli
kamarmoyggj	síhjálpari
kamarsdyr	síinngongd
kamarsveinur	síhjálpari
kamartóni	sítónalag
kamartónleikur	sítónalag
kamartænari	síhjálpari
kambalag	síformur
kambastólur	síformur
kambfjøður	síknykil
kambstari	sítari
kambur	sífjall,sjóvarilskaSamheiti:fínkambur,greiðikambur,greiðkambur,grovkambur,gullkambur,hárkambur,høvuðkambur,kembikambur,lúsakambur,nitrukambur,strandakambur,tættkambur(togkambur)tókambur↔hár,kemba,snák
kamfurtræ	síviður
kampagrót	sígrót
kampaluft	sítoka
kampannaknútur	síknútur
kampatorv	síbrenni
kampingur	síbrenni
kampur	sídjórahorn,kríggj,skegg
kamsseiður	sífiskur
kanariufuglur	sífuglur
kandisgrót	sígrót
