labba	sífleyga,ganga
labbaskav	sívasking
labbi	sífótur
lað	síbrenni,tún
laða	síbyggja,lossa
laðberg	sígrót
laðfiskið	sílaðin
laðin	Samheiti:borðfullur,deyðlaðin,djúpgongdur,dýrandi,fermdur,floytifullur,fullfermdur,fulllastaður,fullløddur,fullsettur,fullur,hálvfermdur,hálvsettur,kavlaðin,lastaður,lágborðaður,lágfloyttur,løddur,ovfermdur,ovlaðin,settur,studdaður,søkklaðin,tungfermdur,tungfloyttur,tungur,vælsetturdýrandi, morandi fullur;fullur undir lúkurnar, stokkarnar;laðin í gripsborð;langur, lágur, tungur í sjónum;søktur í sjógv;tungt lastaður, løddur;við (fullari) last;við fullum báti, skipi;við (stórum) farmi;væl studdaður t.e. um hálvsettur;□hann er, flýtur um stokkarnar (í sjógv);hann er komin í, fær, hittir eysturmála;hann er sum ein fles, eitt sker í sjónum (at síggja);hann fleyt, flýtur, sum ein tarabátur;hann flýtur á stokkunum, stingur djúpt;hann flýtur, liggur djúpt, lágt, tungt í sjónum;hann hevur fingið fulla last, hevur fiskað nógv, hevur tveir partar í føru;hann hevur fingið uppí, upp í bátin, lastina, skipið;hann kemur (at landi) eftir stokkunum, kemur væl fjaðraður aftur;hann stendur á høvdið, stingur djúpt;tað flýtur, fleyt úr og í(rangsettur)aftursettur,afturtungur,baksettur,baktungur,framsettur,framtungur,laðfiskið,ranglaðin,rangstoytturtungt lastaður, løddur aftan, framman;tungur aftan, framman;□báturin, skipið  hallar, hellir, tey liggja á liðini t.e. hava slagsíðu;hann stendur, stingur á høvdið↔fylla,javnstrokin
laðing	sígarður,lossing
laðingargrót	sígrót
laðingarsteinur	sígrót
laðklettur	sígrót
lag	síaltarsfólk,arbeiðslag,brúgv,dansingarháttur,hinna,medferð,sinnalag,skarð,standur,tónalag,útsjónd,veitsluhaldSamheiti:belti,breiðsla,farr,farra,farri,flaki,flá,flógv,følv,hjalli,jaður,legd,løga,lind,sulk(brúgvalag)brúgv,hálind,hitabelti,hitabrúgv,kuldabrúgv,loftlag,luftlag(jarðlag)jarðarkápa,kápa(pláta)blað,flís,fløga(í løgum)lagskipaðurí flakum, flísum, lindum o.fl.↔hinna,pallast
laga	síbráðna,forma,lortur,maka
lagaður	sílagnubundin,skikkaður
lagaklókur	síeftiransin,klókur
lagaliga	sívandaliga
lagaligheit	síansni
lagaligur	sífólkaligur,góðsintur,hóskiligur,hóvsamur,klókur,lítillátin,ómakaleysur,villigur,vælvirkin
lagamaður	síavtakafólk
lagda	sífrámerkja
lagdámur	síeyðkenni
lagdraga	sírúmka
lagdur	síeyðkenni,roykur,ull
lagfastur	sítaktfastur
lagga	síleka
laggardropi	sídrekkivatn,rúsdrekka
laggardryppur	sírúsdrekka
laggarsíður	sídravlorkutur
laggartár	sídrekkivatn,rúsdrekka
laggdropi	sídrekkivatn,rúsdrekka
lagghallur	síhallur
laggongdur	síatkomandi
lagin	síhóskiligur
lagligur	sígóðviðrað,hóskiligur
lagna	Samheiti:eydna,eydni,forlag,forløg,forsjón,lagnadur,lagnaður,lagni,lívslagna,lívslutur,mannalagna,samlagna,skepnafelags lagna;lív og lagna↔avynnumaður,eydna,eydnast,eydnismaður,eydnuberandi,lagnubundin,ólagna
lagnadur	sílagna
lagnaður	sílagna
lagni	sílagna
lagnubundin	Samheiti:fyrilagaður,ílagað,lagaðuravgjørdur frammanundan (av lagnuni);□eingin veit á morgni at siga...;hansara tíð var ikki komin;tað skuldi bara verða soleiðis↔ásettur,lagna
lagnudagur	sívánatíð
lagnugudinna	síævintýrhugtak
lagnuløddur	sísvárur
lagnuløta	sívánatíð
lagnumikil	sísvárur
lagnustund	sívánatíð
lagnutrúgv	síátrúni
lagnutungur	sísvárur,torførur
lagorðaður	síorðkringur
lagra	síleka,pissa
