nabb	sífiskiskapur
nabba	sífiska,fleyga
nabbafiskur	sífiskur
nabbafleyg	síbakkagonga
nabbi	síkneysur
naddahjól	síringur
naddakistil	síkassi
naddalás	sílás
naddaskrín	síkassi
naddasteinur	sígrót
naddi	síhaldari,oddur
naga	sígníggja,slíta upp,verkja
nagg	sípína
nagga	sígníggja,makast
naggatódn	sííhald
nagghosta	síhosta
nagghosti	síljóð
naglafastur	sífastur
naglahol	síhol
naglahøvd	síhøvur
naglajarn	síformur
naglakuldi	síkuldi
naglalag	síformur
naglamerki	sísár,spor
naglaskøta	sífiskur
naglavatn	sívatn
nagli	Samheiti:bátaseymur,bátsnagli,bátsseymur,bláseymur,blindingur,geytari,geyti,húnanagli,jarnnagli,jarnseymur,kavseymur,klink(i)nagli,klinkunagli,koparseymur,kuffinagli,messingseymur,munkur,noðseymur,nykkunagli,pappseymur,priðari,rangarnagli,rekseymur,rokkanagli,seymur,spíkari,stálseymur,stift,trænagli,tufluseymur,tummaseymurgalvaniseraður seymur;hálvurannar-, -triði-, -fjórðitummi;tvey-, tví-, trí-, fýra-, fimmtummaseymur, fimmtummi(eygaboltur)boltur,jarnboltur,møtrikur(jarnkongur)kongur,lesningskongur(leðurrógv)bløðka,klingra,leðurklingra,leðurstunga,rógv,skiva,spenniskiva
naglreka	síumvæla
naglur	sínegl
nakað	sílítið,næstan,ríkiliga,sindur
nakar	Samheiti:einhvør,ein,einstakur,fólk,maður,mann,onkur,summur,túeg og tú;ein ella annar;ein og annar;hesin og hasin(mangur)ein og hvør;mangur og ein;vit og hini(summir)einstakir,nakrir,onkrir↔eg,einans,einsamallur,fáur,meginpartur,sjálvur,tú
nakin	síoyðin,óvardurSamheiti:berholdaður,berur,blektanakin,blódnakin,blóðnakin,nektaður,óílatin,snoðkollutur,spelanakin,spilnakin,stúkuleysur,úrfarin,úrlatinikki í einum trevli;ikki ílatin;í ongum;nakin sum krákungi, krákuungi;sum Gud hevur skapað, skapt ein;við berum holdi;við ongum uttaná, uttanum, uttanyvir;□tað er ikki klædnatráður(in), trevilin á kroppinum(hálvnakin)barføttur,berarmaður,berbeinaður,berføttur,berhentur,berklæddur,berleggjaður,berlæraður,brókaleysur,einklæddur,hattleysur,hálvílatin,hálvklæddur,hvítklæddur,klútaleysur,lættskøddur,nakisligur,skóleysur,tunnklæddur,vanskøddur,vattleysurá brimleistum, leistum;berur, nakin um...;hattleysur, vattleysur og klútaleysur;ikki fullklæddur;í ádamsskóm;í berari skjúrtu, berum serki o.fl.;í ongum um...;í ongum buksum, hosum, undirklæðum, yvirklæðum, o.fl.;lítið klæddur;nakin niðan, oman beltið;(ov) illa bjálvaður, hosaður, ílatin, klæddur, skøddur o.fl.;tunt ílatin, klæddur;úrlatin um...;við berari reyv, berum hondum o.fl.;○sum gongur skóleysi skarvur, smokkuleggur;□tað sæst inn á bert hold(ið)(snøggur)ballsnoðin,ballsnøggur,berskøllutur,berur,hárleysur,jaðarkliptur,kannkollaður,kannkollutur,kollutur,krúnrakaður,krúnurakaður,kumlaður,monaður,óhærdur,skallutur,skeggleysur,snoðfilutur,snoðin,snoðkollutur,snøggaður,snøgghærdur,snøggullaður,steinkollutursnøgt kliptur;□hann hevur ikki hárprikk á høvdinum, ikki hárpu eftir;hann hevur verið fyri hárfalli, hárfelli, hármissi(upphærdur)uppvikaður,víkutur(berskáldaður)brendur,nøggutur,skáldaður,terrin,terruturbrendur, skáldaður um hálsin(royttur)kliptur,úrroyttur(ófjaðraður)fjaðraleysur,fjaðurleysur(óskýldur)ótyrvdur,óvardur(skræðuleysur)skrædlaður↔burturav,koyra uttanav,nakinleiki,nekta,óbúgvin,óvardur,royta,snøggurAndheiti:ílatin,loðin
nakinleiki	Samheiti:berleiki,nakinskapur,nakni,nekt(hárfall)hárfelli,hármissur,rakrot↔losa,nakin,nekta
nakinskapur	sínakinleiki
nakisligur	sínakin,oyðin
nakka	síberja
nakkaagn	síagn
nakkabrestur	síduk
nakkafattur	sífattur,ófúsur,stoltur
nakkafjøður	síhár
nakkagráur	sílitaður
nakkahár	síhár
nakkahvítur	sílitaður
nakkakast	síviðbragd
nakkakrappur	sístoltur
nakkakulla	síkulla
nakkalangur	sínipin
nakkalittur	sílitaður
nakkareyður	sílitaður
nakkaskinn	síhúð
nakkaslag	síduk
nakkaspik	sífitievni
nakkatak	sítak
nakkaull	síull
nakkhyrntur	síhyrntur,stoltur
nakkleysur	símótfallin
nakkur	síberg
nakni	sínakinleiki
nakrantíð	Samheiti:einaferð,onkrantíð,onkuntíðá nøkrum, onkrum sinni;eina ferð;eina ferðina;tá og tá↔fyrr,ofta,ta ferð,viðhvørt
nakrastaðni	síymsastaðni
nakrastaðnis	síymsastaðni
nakrir	sífáur,nakar
naldra	sígnaga
nalvabind	síumvav
nalvaleið	sílikam
nalvaskoðan	sísjálvgóðska
nalvungi	sífuglur,ótangi,pinkulingur,vánamaður
namma	síeta
nana	sírugga,syngjaSamheiti:ninahava á knøunum;nina og nana;sita undir;sita undir og rugga;seta seg undir e-n;seta, taka e-n á knæ, knøini, í fang(ið);sita á knøunum, í fanginum, (sita og) nana, nina hjá e-m↔rugga,rura
nappa	sítøta
napping	sítøting
nappull	síull
nappur	sílepi,sindur,ull
narðarvøttur	sínjarðarvøttur
narr	síbýttlingur,eyðmýking,undirhaldari
narra	sígníggja,skiljast,svika,tøva
narraður	sísvika
narrarí	sístuttleiki
narrast	síhalda gleim
narravøttur	sínjarðarvøttur
narribót	síendurgjald
narribræv	sínoktan
narripengar	síendurgjald
narripeningur	síendurgjald
nartl	sísár
nartla	sífiska,gnaga,klóra
nartlast	sífiska
nartlingur	sípinkulingur,sár,sindur
narvast	sískeldast
nasa	sídoyggja,eyðmýkja
nasablóð	síblóð
nasadirvi	sídirvi,frekleiki
nasadjarvur	Samheiti:agaleysur,andbráður,bramsligur,brasin,braskin,dittimundur,dittin,djarvnasaður,framførur,framligur,framlopin,frekur,frípostaður,hjarnasaður,kappnósaður,kappnósutur,mastigur,mastrigur,nasalangur,naskur,nasvísur,óflongdur,ófólkaligur,óhóvsamur,ólátaður,óskensaligur,óskikkiligur,ósmurdur,ósmæðin,óstýriligur,óvandur,skammleysur,snútutur,spektleysur,umripiligur,umripingarsamur,villur,víðgongdurikki dandiskur;illa uppaldur, uppalin, vandur;sum (ein) ósmurdur skeyti;sum illa vandur hundur;□hann dugir ikki at skammast;hann ræðist hvørki Gud ella fanan;hann virðir hvørki Gud ella menniskjur;nú ger hann seg breiðan;tað sæst ikki fokn á honum↔bjartskygni,busutur,dirvi,djarvur,frekleiki,kravmikil,leypa framav,manniliga,munnkátur,ófúsur,ósømiligur,óttaleysur,skikka sær,stoltur,vága særAndheiti:fólkaligur,hóvsamur,lítillátin,smæðin
nasadropi	sídropi
nasahár	síhár
nasaklemmari	sísjóneyka
nasaklútur	síklútur
nasalangur	sínasadjarvur,nipin
nasaljóð	síljóð
nasaljótur	símisháttur
nasalortur	síklumpur
nasanabbi	sínøs
nasanebbi	sínøs
nasar	sínøs
nasasjógvur	sísjóvarilska
nasasnippur	sínøs
nasasøtur	síangagóður
nashvítur	sílitaður
nasi	síkneysur
naskast	síhamast
naskur	sínasadjarvur,nærgongdur
naslittur	sílitaður
nasmæltur	símæltur
naspa	sístjala
nasvísur	sínasadjarvur,nipin
natigur	sínatin,øvundsjúkur
natin	Samheiti:fastur,gírigur,gírin,gírugur,hundskur,kargur,knípskur,lítillátaður,lítillátin,lítillátur,natigur,náðiligur,neyvur,nikkur,níðskur,pásíggin,pírin,pírutur,smáligur,smátøkin,sýtin(pengagrammur)peningagrammur,peningagrískur,peningakærurargur, grammur eftir peningi;fastur á hondini;(heldur) fastur;grammur, óður, ringur eftir verðini;ikki gávumildur, ikki leysur á hondini, ikki rundur á hondini;nettur í at..., sýtin fyri at...;níðskur og natin;níðskur sum Nábal;○sum dámar illa at geva, lata;sum einki unnar sær, liggur oman á e-m;sum eklar e-t;□hann er sum hin versti eftir sálini;hann etur seg ikki undan nagli, sær seg í nevan;hann gevur ikki av súluni, unnar ongum nakað;hann gevur, unnar ikki hundi bein, vatnsdrykk;hann letur ikki, unnar e-m ikki tað svarta undan naglinum;hann nennir, unnar sær ikki...;hann rættir ikki hondina frá sær↔biddari,bidding,kargakoka,kradda,kraddutur,natinskapur,øvundsjúkurAndheiti:oyðslutur
natinskapur	Samheiti:gírni,natni,pírni,smátøkni,tugl,túgl↔afturhald,biddari,bidding,kargakoka,kradda,kraddutur,natinAndheiti:oyðslusemi
natni	sínatinskapur
naturskursl	sísindur
naturskvirsl	sísindur
naturtunnur	síúrklænur
natúr	sígreði,sinnalag
natúrligur	síarviligur,óuppgjørdur
natúrsterkur	síarbeiðsførur
natúrveikur	sísjúkur
nava	síseta hol á
navar	síborur
navaraskegg	síoddur
navari	síborur
navn	Samheiti:bíbliunavn,bókarheiti,bókartittul,bygdarnavn,býarnavn,doktaraheiti,doktaranavnbót,dópsnavn,dreingjanavn,dulnavn,dulnevni,eftirnavn,einnevni,eiti,eykanavn,eyknevni,faðirsnavn,felagsheiti,felagsnavn,fornavn,fólkanavn,frøðiheiti,frøðiorð,føroyameistaraheiti,gentunavn,góðnevni,góðvaranavn,gøtunavn,háðareyknevni,háðnevni,heiti,hjánavn,hjánevni,hugsannavn,huldunavn,hundanavn,høvuðstittul,íbúgvanavn,jarðarnavn,kelinavn,keliorð,konufólkanavn,kvinnunavn,landsnavn,loyninavn,mannfólkanavn,mansnavn,millumnavn,móðurnavn,navnbót,nevni,oyggjarnavn,ónevni,samanburðarnavn,samheiti,samnavn,samnevni,samtittul,sernavn,sjónavn,skaldanavn,skipanavn,skipsnavn,skírnarnavn,slagnavn,staðanavn,staðarnavn,starvsheiti,stuttnevni,tignarheiti,tittul,titul,tvínevni,undirnavn,undirtittul,viðurnevni,virðingartittul,vørumerki,yrkisnavn,yrkisorð,yrkorð,yvirskrift,ættarnavn,ættnavneins kristna navn;latínskt heiti;niðrandi navn;uppfunnið navn;vísandaligt heiti↔doypa,dópur,navnleysur,nevna,orð
navnabretti	sískelti
navnabroyting	síbroyting
navnafjøl	sískelti
navnagáva	sídópur,gáva
navnagávuseyður	sígáva,seyður
navnagransking	síkanning
navnaklútur	sífyridømi
navnakort	sískelti
navnalisti	síyvirlit
navnalóg	sílóg
navnamerki	síeyðkenni,skelti
navnaprógv	síváttan
navnaseðil	sískelti
navnasiður	sívani
navnaskelti	sískelti
navnaskifti	síbroyting
navnaskrá	síyvirlit
navnberi	síáðurnevndur
navnblað	sískriv
navnbót	sínavn
navnfestur	sínavnnevndur
navnframi	síámæli
navnframur	Samheiti:frægur,gitin,heimsgitin,heimskendur,kendur,navnfrægur,navngitin,navnkendur,navnkunnur,tiltikin,umrøddur,umtalaður,veraldargitin,viðgitin,víðagitingitin, kendur um allan heim, víða hvar, víða um;havdur á, við orði;mikið, nógv umrøddur, umtalaður;víða gitin, kendur;væl kendur;□hann er á hvøns mans vørrum;hann havi eg ofta hoyrt nevndan;øll tala, tosa um hann↔kendur persónur,lovprísa,orðaskifti,ummæli,umrøðuevniAndheiti:fremmandur
navnfremi	síámæli
navnfrægd	síámæli
navnfrægur	sínavnframur
navngáva	sídópur
navngeva	sídoypa
navngitin	sínavnframur,navnnevndur
navngreina	sínágreina
navnkendur	sínavnframur
navnkunnur	sínavnframur
navnleysur	Samheiti:dulnevndur,ónevndurikki navnfestur, ikki navngitin, ikki navnnevndur;ikki nevndur (at, við navni);undir dulnevni;eingin nevndur og eingin gloymdur(ómarkaður)ómerktur,óundirskrivaðurikki frámerktur, markaður, merktur, undirskrivaður;við ongum frámerki;við ongari adressu, ongum móttakara, navni, sendara;við ongari undirskrift;○sum hevur kópamerki↔navn,nevnaAndheiti:navnnevndur
navnnevndur	Samheiti:navnfestur,navngitin□er hann nevndur so er hann kendur↔áðurnevndur,nevnaAndheiti:navnleysur
navnorð	síorð
navnseðil	sískelti
navnskelti	sískelti
navnvinur	sísmikrari
