o.a.	síog so framvegis
o.a.m.	síog so framvegis
obeliskur	síminnismerki
odda	sípeika
oddabiti	sígjald
oddablað	sískriv
oddafiskur	síhvalur,oddamaður
oddafólk	síoddamaður
oddafundur	sífundur
oddagás	sífuglur
oddagrein	sískriv
oddaleysur	síkubbutur
oddalið	símanning
oddamaður	Samheiti:áræðismaður,felagsformaður,flaggberi,formaður,forseti,forstandari,forstjóri,forstøðumaður,fyrigongumaður,fyriskipari,fyristøðukvinna,fyristøðumaður,førari,grindaformaður,hástøðingur,hugsjónafólk,hugsjónamaður,høvd,høvdingi,høvdingur,høvuðsfólk,høvuðskona,høvuðsmaður,høvuðspersónur,kirkjuhøvdingi,leiðari,liðformaður,liðskipari,liðstjóri,ljósberi,lærimeistari,lærumeistari,meistari,merkisberi,nevndarformaður,nótarformaður,næstformaður,oddafiskur,oddafólk,ovasti,rakstrarformaður,ráðismaður,rekmáttur,skipari,skjútsformaður,slóðari,slóðbrótari,stjóri,stjórnari,stovnsleiðari,stýrimaður,stýrismaður,undangangsmaður,undangongufólk,undangongumaður,vegari,vekingarmaður,virkisleiðari,yvirfólk,yvirmaður,ættarhøvdingi(fyrisprákari)forsprákari,framsøgumaður,málsmaður,talsmaðurálitiskvinna, álitismaður (á e-m virki);stríðsmaður fyri...(stovnari)faðir,gerningsmaður,íbirtari,íspinnari,rinnirót,rót,stigtakari,upphav,upphavsmaður,uppruni,uppspinnari(brotsbirtil)formaður, meistari fyri...↔aðalsfólk,avtakafólk,álitismaður,hampafólk,óvinniligur,roysnisgerð,sigra,slitmaður,slóða,stjórna,vald,vinnariAndheiti:eftirbátur,tapari
oddaseyður	síseyður
oddastarv	sístarv
oddi	sínes
oddklingrutur	sírundur
oddmjáur	síkílaskapaður
oddpíkskur	síkílaskapaður
oddspískur	síkílaskapaður
