pa	sílortur
pabba	sípápi
pað	síhinna
paða	símissa skalið
pakk	sívánafólk
pakka	sídubba,fylla,kroysta
pakkaferð	sítúrur
pakkamjólk	símjólk
pakkapostur	Samheiti:ábyrgdarbræv,bílegging,bræv,brævapostur,brævpakki,flogpostur,fløskupostur,innskrivað bræv,jólakort,jólapakki,jólapostur,ordri,pakki,postpakki,postsending,postur,rekapostur,sendibræv,sending,snarpostur,teldupostur,uttanlandspostur,virðisbræv,virðispakki,virðispostur,vørusending↔boðan,boðberi,posta,postrúm
pakkhús	sígoymsla
pakki	sípakkapostur,posi
pakking	síbjálving
pakt	sísemja
pallalomvigi	sífuglur
pallast	Samheiti:heiða,hjallast,tjaldraleggjast í hjalla(r);mynda fláir, belti(r), lyndir, løg o.fl.↔lag
pallborð	síhækkað gólv
pallborðsfundur	sífundur,orðaskifti
pallborðsorðaskifti	síorðaskifti
palli	sífiskur
pallstokkur	síútlinja
pallur	síhækkað gólv,rók,sessur
pallut	síójavnur
palmin	sífitievni
pannuhvítur	sílitaður
pannumatur	símatur
pannuskøði	síhúð
pansari	síkloddakot,klæði(r)
pant	sítrygging
panta	síábyrgjast,ognartaka,skíta
pantalortur	sílortur
pantifúti	síinnkrevjari
pantseta	síábyrgjast
pantseting	síábyrgjast
pantsettur	síábyrgjast
pantur	sílortur,trygging
pappa	síleggja á
pappageykur	sífuglur
pappeskja	síkassi
pappír	Samheiti:ark,blað,brævapappír,brævark,brævpappír,glanspappír,gliturpappír,innpakkingarpappír,kardúspappír,kolpappír,lakmuspappír,litpappír,ljósmyndapappír,matpappír,pappírsblað,pappírslepi,pappírspetti,sigarettpappír,silkipappír,silvurpappír,skrivipappír,stensil(veggjapappír)tapet(pergament)kálvskinn,kálvsskinn(papýrus)sev at skriva á↔skriv,skriva
pappírsarbeiði	síarbeiði
pappírsbátur	sísjófar
pappírsblað	sípappír,skriv
pappírsdukka	sídukka
pappírsfjas	síítriv
pappírsflagg	síeyðkenni
pappírshandil	sísølubúð
pappírsklipp	símynd
pappírsknívur	síknívur
pappírskurv	síposi
pappírslepi	sílepi,pappír
pappírsleypur	síposi
pappírsligur	sídygdarleysur,úrklænur
pappírslím	síklistur
pappírspeningur	sípeningur
pappírspetti	sípappír
pappírsposi	síposi
pappírsskeyti	síumvav
pappírstunnur	síúrklænur
pappseymur	sínagli
papýrus	sípappír
par	síunnustarSamheiti:bóndahjún,brúðarpar,feðgar,fríggjarafólk,fríggjarapar,greipa,hjún,hjúnafelagar,kongshjún,møðgur,offurpar,prestafólk,prestahjún,prestfólk,unnustarbáðar, báðir, bæði;bara, bert, einans tveir;drongur og genta;einar, eini, einir;hann og hon;kallur og kelling;maður og kona;... og eg, hann, hon, tað;par um par t.e. tveir og tveir;teir, vit  báðir, bæði, báðar;tveireinir, tveyeini, tværeinar;tveir einir, einsamallir;tveir, tvey, tvær;tvey pør;tvinnar, tvinni, tvinnir, tvint;vit báðir...(navn)(antarpar)dunnupar,gásapar(køking)køkja,lambskøkja(fiskagreipa)greipa,hýsugreipa,luftna,seiðagreipa,smáfiskagreipa(kneppa)kneppi,lomvigakneppa,lomvigakneppi,skarvakneppa(handilspar)hosnapar,hosupar,koppaparblikur, æðubliki, æðublikur og æða;brimil og opna, úldrynja;bukkur, geitarbukkur, geithavur og geit;frensur, fressur og løða;graðingur og ryssa;gøltur, runi og purka, súgv;hani og høna;harufressur og hara;hundur og tík;mjálkafiskur, silfiskur og gýtingarfiskur, rognfiskur;steggi og bøga;tarvur og kúgv;veðrur og ær↔fleirfaldur,fríggja,granni,hjúnalag,para,partamaður,samansjóðaðir,semjast,tyssi,umgangast,vinur
para	sígiftastSamheiti:greipa,kneppa,køkjafáa (gás) at takast;greipa fisk, seið;kneppa lomvigar;køkja seyð;draga, para, ranga, snúgva, stinga hosur saman, saman hosur;skipa í pør(teyggja)flótta,tagla,tyssa,varða,vørðabinda saman í teyggju, tyssi, vørðu;draga upp á (tráð);heingja, teggja, tagla upp á e-t, seg;heingja upp eitt og eitt;tagla eftir tráði;teyggja saman í flóttu(r);teyggja, tyssa saman;varða, vørða lundar saman(greiping)køking(makaður)giftur,óstakur,paraður(maki)annar av parinum;annar makin, parturin(samangreipaðir)greipaðir saman↔par,samansjóðaðir,umgangast
paradis	síhimnaríki
paradís	síhimnaríki
paraður	sígiftast,para
paranoða	sínoða
pardansur	sídansur
pardón	sífyrigeving
park	síurtagarður
parka	sísessa
parkera	sísessa
parkering	síbíðan
parking	síbíðan
parrag	síólagna,rakdirðil
parrak	síólagna,rakfallin
parrakur	síólagna
parta	síbýta
partabræv	sípeningur,váttan
partabrævasøla	síhandilsskapur
partaeigari	síeigari
partafelag	sífelag
partagjald	síavgjald,gjald
partagrind	sípartur
partahvalur	síhvalur,partur
partalag	sífelag
partamaður	síeigariSamheiti:blindi,borðmaður,duli,fylgismaður,makkari,samstarvsfólk,samstarvsmaður,samverkamaður,viðhaldsfólk,viðhaldsmaður,viðspælari,skák t.e. tveir partamenn(viðhaldsfólk)samstarvsnevnd,stuðul,stuðulsfelag↔eigari,felagslimur,felagsskapur,granni,par,vinurAndheiti:mótstøðumaður
partaní	sívánafólk
partaníggj	sívánafólk
partapeningur	sípeningur
partaskjal	sípeningur,váttan
partasvíkur	sísvikari
parteigari	síeigari
parthallur	sísvikafullur
parthavari	síeigari
partískur	sísvikafullur
partleysur	síuttanveltaður
partloysi	síuttanveltaður
partrola	sífiska
partrolari	sísjófar
partroling	sífiskiskapur
partsreiðari	síreiðarí
partsreiðarí	síreiðarí
partur	síluteind,sindurSamheiti:bátslutur,bátspartur,beltilundi,beltislundi,búlutur,búpartur,drápshvalur,drápspartur,fiskapartur,fiskatíggjund,fiskipartur,formanspartur,føringarpartur,grindapartur,grindatíggjund,heimapartur,hvalatíggjund,jarðarhvalur,jarðarlundi,jarðarpartur,kastingarpartur,kenningarfiskur,kongshvalur,kongskeyp,kongstíggjund,kópatíggjund,landpartur,lunnatoskur,lutur,manningarpartur,mannpartur,mannskapspartur,manspartur,miðlingapartur,nótarpartur,partagrind,partahvalur,samstøðupartur,sígging,síggingarpartur,síggingarstykki,síging,sígingarpartur,sjálvdrátt(r)arfiskur,stakipartur,tálgartíggjund,tilfarsliður,tíggjund,tíggjundarfiskur,tíggjundarfjós,tíggjundarflak,tíggjundarkorn,tíggjundarlundi,tíggjundarull,tíggjundull,umloysur,útróðrarpartur(skamtur)fiskikvota,handilskvota,inngáva,kvota,ransón,sølukvota↔avgjald,býta,býti,frároknaður,helmingur,luteind,sundurbýttur,umbýttur
partú	sísanniliga
partvíst	sínæstan
partvísur	síófullfíggjaður
parykkur	síhár
pass	sífiskileið,strekki,tíðarskeið,váttan
passa	síhóska væl,roynaSamheiti:akta,ambæta,ansa,daddast,fjálga,fjálva,gæta,hagreiða,hagrøkja,halda,hava,røkja,røkta,sæta,týggja,umsita,uppihalda,vaka,vakta,varða,varðveita,verndaansa eftir e-m;ansa børnum;bera e-n á hondum, lógvum;fara um, við;fáa litið til;fáa undir hendur;fjálga, fjálva um e-n;ganga (illa, væl) um;ganga, halda, standa vakt;goyma at;halda hondina, sína hond yvir e-m;handfara (illa, væl);hava ans, eftirlit, umsjón við e-m;hava ábyrgdina av e-m;hava barnaansing, dagrøkt;hava í ábyrgslu, forsvar, varveitslu, verju;hava í hondum, um hendi, hendur;hava tilsjón um e-t;hava umsorgan fyri, við e-m;hava undir hond;hjúka, hjúkla, hjúkra fyri, um e-n, uppi yvir e-m;hugla, hugna, húgla, høla um e-n;hyggja eftir e-m, til e-n;sita dadda, vakt;sita hjá, uppi yvir;sita inni hjá børnum;sita, standa, vera á varðhaldi;síggja e-m til góða(r);síggja, syrgja fyri e-m;sæta e-m, sæta fyri e-m;taka hond um e-n;taka sær av;vaka, vakja (uppi) yvir e-m;varta (e-n) upp;vera um e-n;vera verja, verji hjá↔ansni,eftiransin,eftirlit,fyribyrging,hjálpa,krógva,røkiskapur,røkt,styrkja,uppihalda,vaktarhald,vanda sær,varðveitsla,verja,verja annan,verja seg
passaliga	Samheiti:á leið,hampiliga,mátaliga,nokk so,nøkulunda,passiliga,passuliga,rímiliga,rættiliga,sámiliga,toliliga,toluliga,veldiliga,væl↔hóska væl,hóskiligur,ógvuliga,tíðarhóskandi
passaligur	síhóskiligur
passiliga	sípassaliga
passiligur	síhóskiligur
passmynd	símynd
passuliga	sípassaliga
passuligur	síhóskiligur
patent	sírættindi
patentur	sísnotiligur
patrón	síbumba
patt	síjavnvág,javnviga
pá	sílortur
pábót	síafturbøting,ískoyti
páfinning	síframleiðsla
páfuglur	sífuglur
pálmaolja	sífitievni
pálmari	síferðafólk
pálur	sífiskur
pápabeiggi	sískyldfólk
pápabeiggjakona	sískyldfólk
pápaleysur	síeinsamallur
pápasonur	síyndisbarn
pápasystir	sískyldfólk
pápi	sískyldfólkSamheiti:babba,barnfaðir,faðir,pabba↔avvarðandi,móðir
páradís	síhimnaríki
pásetligur	síófúsur
pásíggin	sínatin
páskaaftan	síaftan
páskaboðskapur	síboðan
páskafríggjari	síunnustar
páskafrítíð	sífrítíð
páskahald	síhátíð,veitsluhald
páskalamb	síJesus,seyður
páskaregg	síegg
páskaskekil	síkastibløka
páskasnøkil	síkastibløka
páskavetur	síillveður
páskot	sískálkaskjól
