r	síjavnstrokin
rabarbugarður	sígarður,urtagarður
rabbassi	sífiskur
radio	síboðberi
rað	síbeinaræ,riðil,seyður
raða	sísíggjastSamheiti:raðfesta,raðseta,skipa,stavraðaseta, skipa á rað, í raðfylgju, røð, stavrað o.fl.;skipa eftir aldri, dygd, stødd o.fl.↔riðil,skráseta
raðan	síriðil
raðfesta	síraða
raðfesting	síriðil
raðfylgi	síriðil
raðfylgja	síriðil
raðhald	sírimaverk
raðhús	síbygningur
raðið	sínákvæmur
raðsáa	sídyrka
raðsending	sísending
raðseta	síraða
raðskipan	síriðil
rafsast	sílekjast
raft	síviður
ragg	sísjóvarilska
ragga	síganga,óhvassur
raggaður	síóhvassur
raggari	síafturpartur
raggast	síóhvassur
raggutur	síaldutur
ragla	síganga
raglan	sívinglan
ragna	síbanna
ragnarøk	síundirgangur
rak	sílampuveikur,rakfallin,soltinskapur
raka	sígrópa,heysta,kuta,viðvíkjaSamheiti:fata,hitta,ráma,treffafáa skot á e-t;raka á;raka beint;raka beint, mitt á, í;vera beinrakin, nettur, snøggraktur↔vissurAndheiti:raka skeivt
rakan	síillsinnisgleps
rakaroð	síhúð
raka skeivt	Samheiti:brenna,missafara skeivur;ikki fáa siktið á;ikki raka;ikki vera beinur á;raka skeivt;raka við síðuna av;vera skeivrakin↔óneyvurAndheiti:raka
rakár	sívánatíð
rakbeist	sívánamaður
rakbendil	sírakdirðil,vánamaður
rakbóndi	sífátækafólk
rakbýlingur	síbýur
rakdeyði	sídeyði
rakdirðil	Samheiti:barksneis,beinastúka,bongul,dirðil,karðalok,klænisperðil,máhamur,máhav,óvætti,parrag,rakbendil,rakdýr,rakhundur,rakkroppur,rakskarvur,rakskrokkur,rakslánur,rekil,rituræ,skottræ,skrangl,skranglivætti,skráma,skrinda,slánur,slátur,sluri,slurur,slúrur,sløkja,snyril,trænuvaldur,turkatræ,vesalavætti,vætti(landskránur)landfiskur,rakmurtur,rakslánur,skránur,slánur(rakdýr)horrað,horræ,rakkroppur,rakkúgv,rakleingja,raklús,rakneyt,rakross,rakseyður,rakskrokkur(rakfuglur)rakhøna↔hungra,pinkulingur,rakfallin,skarpleittur,slakna,soltinskapur,svangur,tríalingur,úrklænurAndheiti:fitibjølgur
rakdoyggja	sídoyggja
rakdropanøs	sínøs
rakdropi	sídropi
rakdýr	sírakdirðil
rakdæmi	sílíkdæmi
rakett	síbumba
