sabbatur	síhátíð
saðil	síblettur,kulla
saðilband	síband
saðilbogin	sífattur,rundur
saðilborin	sífattur,rundur
saðilboygdur	sífattur,rundur
saðildýr	síross
saðilgjørð	síband
saðilreim	síband
saðilslittur	sílitaður
saðlingur	síkulla
safirur	sígrót
saftarleysur	síharðhjartaður
saftarlítil	síturrur
saftarloysi	síhjartaloysi
saftarmikil	sísevjumikil
saftigur	sísevjumikil
saftmikil	sísevjumikil
saftugur	sísevjumikil
saga	síkuta
sagan	síbaksan
sagargron	sísjóneyka,vernd
sagarknabbi	síknøttur
sagarlað	síundirlag
sagarmaður	sídukka
sagarsnórur	síband
saggi	sívatn
sagilað	síundirlag
sagingargron	sísjóneyka,vernd
sagispønir	síspónur
sagknappur	síknøttur
sagmaður	sídukka
sagnaringur	sífrásøgn
sagnarnavnorð	síorð
sagnkendur	síóveruligur
sagnorð	síorð
sagont	sífuglur
sagtentur	síinnskorin
sagtonn	sítonn
sagulað	síundirlag
sagumaður	sídukka
saguspønir	síspónur
sak	síendamál,sakarmál,umrøðuevni
saka	síórógva,skaða
sakan	sísakarmál
sakarbót	sírevsing
sakarleysur	sígóðsintur
sakarmál	Samheiti:ákæra,ásakan,bótarmál,brotsmál,drápsmál,klaga,klagumál,kæra,kærumál,mál,melding,nevningamál,rættargangur,rættargonga,rættargongd,rættarmál,sak,sakan,skilnaðarmál,skuldseting,stuldursmál,søk,søksmál,umkenning(ákærurit)klagubræv,klagurit,kærurit,kæruskjal,kæruskriv(dómsviðgerð)rættarviðgerð↔ákæri,skuldseta,stevning
sakarmálskostnaður	síútreiðsla
sakaroyri	síendurgjald
sakarpeningur	síendurgjald
sakfella	sídøma
sakleysur	sígóðsintur,ósekur
sakligur	síhóvsamur,uttanveltaður
sakloysi	sígóðtrúni
sakna	sítráa
saknaður	síburturvilstur,missur,trá
saknaligur	síuttanhanda
saknur	símissur,trá
sakrament	síbírætting
sakramenti	síbírætting
saks	síafturpartur,dálk
saksa	sídyrka,knúsa
saksagingin	sískitin
saksalopin	sískitin
saksari	síknívur
sakshaki	síknívur
saksijarn	síknívur
saksing	sídyrking
saksingarhaki	síknívur
saksingarjarn	síknívur
saksingarmatur	símatur
saksingarríva	síknívur
sakta	síforta
