tabell	síyvirlit
tablett	sígrøðing
tadda	síhalda
tadna	sígisna
taða	síkøstatøðSamheiti:meyka,tvaga,tøða,tøðbera,tøðbreiðabera á bøin;bera, breiða, koyra tara, tøð á;grava niðurundir;tvaga jørðina (t.e.) koyra land á bøin(kálka)bera, koyra kálk á;blanda kálk í, uppí, útí (moldina)↔dyrka,dyrking,jarðarbrúk,køstatøð,taðing
taðan	sítaðing
taðfall	síkøstatøð
tað ger einki	sísama ger
tað grettir ikki	sínevniliga
tað hjálpir ikkitil	síher gerst einki
taðing	Samheiti:taðan,tøðbering,tøðbreiðsla↔dyrka,dyrking,jarðarbrúk,køstatøð,taða
tað slepstikki undan	síher gerst einki
ta ferð	Samheiti:á sinni,hina ferð,í teirri tíð,tá,tá í tíðini,um ta tíðina,við tað passiðhar um leið;hina ferðina;í tí hvarvinum, tíðini;onkuntíð tá;ta ferðina, tíðina;ta, tann tíð (ið tað var);tá á døgum;tá á sinni;um hetta, tað bil(ið), mundið;um tað lagið, leiðina, leitið, talið (tá ið...);um, við tað pass(ið)↔fyrr,fyrst,liðin,nakrantíð,ofta,upprunaliga,tíðliga
tagga	síoddur
taggutur	síinnskorin
tagl	síhár,ull
tagla	sípara
taglaður	síavtakin
tagna	síenda,tiga
tagnarskylda	sískylda
tak	síátak,baksan,løta,tekja,til dømisSamheiti:akslatøk,annám,armatak,barkatak,bringutak,brókatøk,brøðratøk,brøkratøk,deyðahald,fastatak,fastatøk,fastatøkur,fastnartøkur,fatur,hald,handafesti,handartak,handtak,hálstak,kvørkratak,leysatøk,lógvatak,luggatak,miðjutak,nakkatak,nevatak,skoratak,tangarhald,undirtak,yppingartak,yvirtakfast, gott tak(klíp)lærsmarra,rossabit↔átak,grípa,halda,røkka
taka	síavlíva,botna,fiska,grípa,noyða,rúma,sita í fongsli,stjala
taka afturíaftur	sífara afturumaftur
taka e-n á bóli	koma brádliga, óvart, óvæntað (fram) á e-n;taka e-n á búri, rekkju;taka e-n á, í kattarbóli;taka lundan í holuni;vera á kroppinum á e-m, vera e-m á kroppi(verða heitt tikin)
takandi	sítilkomin,tøkur
taka prógv	sípróvroynd
takast	síberjast
takdropi	sídropi
takdrypp	sídropi
takferð	síarbeiða
takflag	síflag
takhálmur	síhálmur
takholt	síarbeiða
