ugga	sístyrkja
uggablóð	síblóð
uggabreiður	síførligur,reyputur
uggaleysur	sísvárur
uggan	síuggi
ugganarleysur	sísvárur
ugganarorð	síuggi
uggandi	Samheiti:fløvandi,hugressandi,troystandi,troystarfullur,troystargóður,uggingarsamurtil (stóran) ugga;til troyst, ugganar, uggilsi, ugguleika↔bati,hjálp,hjálpa,íblástur,mennandi,styrkja,uggiAndheiti:svárur
uggari	síhampafólk,uggi
uggi	Samheiti:gleðievni,hjartafløvi,linni,lætti,troyst,troystarorð,uggan,ugganarorð,uggileiki,uggilsi,ugguleikigleðilig hending;orsøk til gleði(uggari)troystari↔bati,hjálp,hjálpa,lovorð,mennandi,styrkja,uggandi
uggileiki	síuggi
uggilsi	síuggi
uggingarsamur	síuggandi
ugguleiki	síuggi
ugla	sífuglur
ugli	sífuglur
uglubóndi	sífuglur
uks	síútlinja
ulka	sífiskur
ulkufyl	sífiskur
ulkukrutt	sífiskur
ulkupil	sífiskur
ulkupill	sífiskur
ull	(broddur)broddahár,broddaull,broddhár,millumbroddur,silkibroddur,tog(hundaull)hundahár,hvølpaull(høvdaull)doddur,hálsaull,hálsull,kinnull,nakkaull(karði)dokki,karðanoða,karðanulvi,karðarokkur,karðarúgva,karðavigli,karðavilli,knýti,rokkur,ullarknýti,ullarrokkur,vigli,villaveiggj,villi,villingsull,villingur,vindil,vindli(kálvsull)haladoddur,halahár,halatagl,kálvskinsull,tagl,trøllahár(kloddi)bógkloddi,digla,drunnskeki,døttur,flóki,gortrakona,halatógvi,halatóvi,herðaskeki,lagdur,lærkloddi,lærlagdur,nippa,nisp,nispa,nispaull,nípa,nyðra,pesjuskeki,pu,setrakona,skeki,toddi,tógvi,tóvi,ullardigla,ullardøttur,ullarhár,ullarlagdur,ullarnevi,ullarnipil,ullarnippa,ullarnispa,ullarnípa,ullartagl,ullartoddi,ullartógvi,ullartóvi,ulltóvi(lesull)lesullarlagdur,losull,rættarull,rættull(nipil)nappur(nyðra)nyðrutósull,nyðruull,rót(pesja)pes,royvi,ærull(rossafaks)faks,framfaks,halafaks,halahár,halatagl,herðatoppur,hestafaks,hestahali,hóvaskegg,hóvskegg,mon,mona,mønufaks,rossatógv,tagl(skitjuull)skitja,skitjukloddi(ullarposi)ullarhít,ullarknýti,ullarsekkur(seyðaull)bringugeiri,búkull,deyðseyðaull,endurroyting,endurroytingur,fótaull,haladoddur,halakveistur,hár,kápa,kotaull,kotull,litamót,nappull,rassull,skegg,skinnatógv,skinnatósull,skinnull,strýggj,strýggja,toghár,troyggjuull,ullarfløta,ullarhár,ullarrúgva,ullarslag,ullarstrýggja,ullartagl,ullstøði,várull,viðfestisull↔frísutur,hár,hárvøkstur,kemba,skegg,tøta,tøting,tøva,tøving,ullaður
ullaður	Samheiti:filaður,fínullaður,flókutur,grovullaður,mjúkullaður,rísullaður,síðullaður,skinnvaksin,snøggullaður,tráðullaður,tvípesjaður,tvíullaður,tættullaður,ullargóður,ullarríkur,ullfríður,ullprúður,ullrísinilla, nógv, væl filaður, ullaður o.fl.;við góðari, ringari filing, ullarfakt, ullfakt, ullferð, ulling,;við góðum skinsdámi, vakrari ullferð↔frísutur,hár,hárvøkstur,ull
ullarband	síband
ullarbeiði	sítøting
ullarbýti	síbýti
ullardigla	síull
ullardøttur	síull
ullarfakt	síhárvøkstur
ullarfiti	sífitievni
ullarfløta	síull
ullarfólk	síbiddari
ullargóður	síloðin,ullaður
ullarhár	síull
ullarhít	síposi,ull
ullarklæði(r)	síklæði(r)
ullarknýti	síull
ullarkona	síbiddari,fuglur
ullarlagdur	síull
ullarleypur	síkassi
ullarnevi	síull
ullarnipil	síull
ullarnippa	síull
ullarnispa	síull
ullarnípa	síull
ullarposi	síposi,ull
ullarprísur	síprísur
ullarríkur	síloðin,ullaður
ullarrokkur	síull
ullarrúgva	síull
ullarsekkur	síull
ullarslag	síull
ullarstrýggja	síull
ullartagl	síull
ullartálg	sífitievni
ullartíggjund	síavgjald
ullartjóvur	sítjóvur
ullartoddi	síull
ullartógvi	síull
ullartóvi	síull
ullast	sílosa
ullband	síband
ullbrekkari	síkarði
ullfakt	síhárvøkstur
ullferð	síhárvøkstur
ullfríður	síloðin,ullaður
ullgarn	síband
ullhærdur	sípurlutur
ulling	síhárvøkstur
ullkarði	síkarði
ullklæði(r)	síklæði(r)
ullmetta	síteppi
ullprúður	síloðin,ullaður
ullrísin	síullaður
ullsnøri	síband
ullstøði	síull
ullteppi	síteppi
ulltíggjund	síavgjald
ulltog	síband
ulltóvi	síull
ulltráður	síband
ullvirki	síverkstaður
ullvirkishús	síverkstaður
ulnast	sílosa
um	síkring,tó,umleið,viðvíkjandi
umaftur	Samheiti:aftur,aftur aftur,afturáaftur,enn,uppafturav nýggjum;einaferð, eina ferð afturat, enn;frammanífrá aftur;frá byrjan(ini) (av) aftur;um aftur;upp aftur↔endurtaka,endurtøka,fara afturumaftur,fótatraðk,jabbaður,møsna
umaftursending	sísending
umbera	sífyrigeva
umbering	sífyrigeving,skálkaskjól
umbersla	sífyrigeving,skálkaskjól
umbiðin	síeftirynskjandi,ótøkur
umbiðing	síkrav
umbiðjari	síumsøkjari
umbinding	síumvav
umbjálving	síbjálving
umboð	sívaramaður,váttan
umboða	síloysa av
umboðari	sívaramaður
umboðsbræv	síváttan
umboðsfulltrú	síváttan
umboðsfulltrúi	sívaramaður
umboðsjørð	síjarðarstykki
umboðsmaður	sívaramaður
umboðsmannafundur	sífundur
umboðsmannating	sívaramaður
umboðsnevnd	sívaramaður
umboðsráð	sívaramaður
umboðsstjórn	sívaramaður
umboðssøla	síhandilsskapur
umboðsvald	sívald
umborð	Samheiti:innanborða,innanborðs,viðá, í, við bátinum, skipinum o.fl.↔fiska,fiskiskapur,sigla,sigling,sjómaður
umbót	síafturbøting
umbroyta	síbroyta
umbroyting	síbroyting
umbundin	síumvavdur
umburðarlyndi	sítol
umburðarsamur	sítolin
umbúnaður	sífyrireiking
umbúni	sífyrireiking
umbúningur	sífyrireiking
umbygdir	síbýur
umbygging	síbroyting,bygging
umbýti	síbýti
umbýttur	Samheiti:býttur,umskifturbýttur, skiftur um;fingin, latin í býti, í staðin (fyri)↔býti,partur,sundurbýttur
umbæri	sítol
umbæriligur	sítolin
umbærisleysur	síheimføðisligur
umbøn	síkrav
umbøting	síafturbøting
umdrag	sítol
umdystur	síkapping
umdømi	síámæli,stað
umdømisvaldur	sívaldur
umfar	síreis,sjúka
umfarast	Samheiti:misfarast,umgangastfara skeivir hvør av øðrum↔villast
umfarssjúka	sísjúka
umfarsskriv	sískriv
umfarssótt	sísjúka
umfata	síviðvíkja
umferð	síringrás
umferma	sílossa
umferming	sílossing
umfígging	sífígging
umfíggja	sígjalda
umfram	síaðramáta,afturat,foruttan
umframt	síaðramáta,afturat,foruttan
umgangast	síumfarastSamheiti:fylgjast,leiðastfara leiðandi, ganga arm í arm, hond í hond;fylgja e-m;fylgjast við, spæla við e-m;ganga, halda, hanga, koma, vera saman (við e-m);halda seg aftur at e-m;hava felagsskap, samband, samlív við;kenna hvønn annan, hvør annan;koma afturat e-m;vera í fylgi, herslag(i), hópi, hóslag(i), paralag(i), parti við e-m;vera í paralag t.e. búgva, liva saman(vera uppií)luttakaeiga lut í e-m;eiga sín lut, part av, í...;gera e-t saman við øðrum;taka lut (í e-m);vera ein av...;vera við;vera við uppi í e-m↔felag,felagslimur,felagsskapur,fríggja,fylgd,granni,par,para,samansjóðaðir,semjast,vinur
umgangslærari	sílærarafólk
umgangsskúli	sískúli
umgangur	síduk,illsinnisgleps
umgerð	síbroyting,útlinja
umgirdur	síavbyrgdur
umgjørð	síútlinja
umgonga	sígonga
umgrein	síútlinja
umgreining	síútlinja
umgyrdur	síavbyrgdur
umhang	síforhang
umheimur	sígranni,líkindi(r)
umhildin	sídáma,úrklænur
umhugi	síansni
umhugsan	síansni,hugsan
umhugsin	síeftiransin
umhugsni	síansni
umhvarv	síútlinja
umhvørvi	sígranni
umhvørvis	síkring,nærhendis
umhvørvisdálking	sídálk
umhvørviskanning	síkanning
umhvørvislóg	sílóg
umhvørvisskip	sísjófar
umhvørvisvernd	sívernd
umhyggin	síeftiransin,eftirsíggin
umhygni	síansni
um ikki annað	síav illum
umkast	síblaking
umkendur	sískuldseta
umkenning	síillsinnisgleps,sakarmál
umkenningarsamur	sígeva øðrum skyldina
umkoma	síavlíva
umkomast	sídoyggja
umkomin	sídeyður
umkoyring	sísniðgøta
umkring	síallastaðni,kring
umkringur	síallastaðni
umland	sígranni
umlegging	síbroyting
umleið	sísniðgøtaSamheiti:eina,eini,harum,nøkulunda,umat kalla, rópa, siga;á (einari) leið;eina (bestur, verstur o.fl.);einar, eini, einir (tíggju, tjúgu o.fl.);...ella so;...ella so nær;har á, um leið;nakað, nøkulunda so, soleiðis, tað sama;nakað, nøkulunda sum...;onkustaðni millum... og...;okkurt harum, sovorðið, um;so at siga;tað er, knarvast, liggur, skjýtst, ridlar, sløðist, strevast um...;tað ríður um snarið;um leið;um tað lagið↔nærhendis,næstan,ógjarna,slakur,so dánt
umleiðis	síóbeinleiðis
umlendi	sígranni
umlestur	síbókalestur
