vað	síbrúgv,fiskatorva
vaða	sísvimja
vaðagot	sístreymur
vaðans	síveitsluhald
vaðansgildi	síveitsluhald
vaðanskalvi	sífiskur
vaðanslonga	sífiskur
vaðblýggj	sílodd
vaðbløðra	síbløðra
vaðfetil	síband
vaðfiskur	sífiskur
vaðfótur	sífótur
vaðfuglur	sífuglur
vaðhald	síveitsluhald
vaðhaldskalvi	sífiskur
vaðhentur	sívælvirkin
vaðhildin	sívælvirkin
vaðhornsliður	síliður
vaðhornslittur	sílitaður
vaðmalsklæddur	síílatin
vaðmalsklæði(r)	síklæði(r)
vaðmalssegl	sísegl
vaðskítadagur	sívánatíð
vaðskítur	síavynnumaður,vánamaður
vaðskrín	síkassi
vaðsteinahella	sígrót
vaðsteinur	sígrót,lodd
vagga	sírugga,rura
vaka	sípassaSamheiti:vakjabróta svøvn;fáa, hava andvekur, eina andvekursnátt, svøvnloysi;fáa, hava eina nátt í, við andvekri, svøvnloysi;ganga, sita, vera uppi um, út á náttina, næturnar;halda vøku;hava ringar svøvngávur, ringt svøvnlag;hava svøvnleysar nætur;ikki blunda, durva, sova;ikki fáa blund, mók í eyguni;ikki hava blundað av náttini;leggja seg í andvekur;liggja í andvekri, svøvnloysi;liggja klárvakin, vakin;liggja og draga;ovvekra, vekra seg;sita, vera uppi (út á náttina);sova illa;vaka eyguni út á kinn;vaka uppi yvir e-m;vaka yvir líki;vekra seg;vera alvakin, svøvnleysur, vakandi, vaknaður;vera á fótum, frá seingini, oman slagið, oman stokk;vera frammi, framkomin, uppfarin, uppi;vera komin úr bólinum, seingini o.fl.;vera, liggja vakin;vera við sítt fulla vit;vita til sín↔alvakin,andvekur,vakna,vaktarhald,vaktari,vekjaAndheiti:sova
vakandi	síalvakin
vakhús	síbygningur,vaktarhald
vakin	síalvakin,eftiransin
vakja	sívaka
vakka	síferðast,ganga
vakna	sílivnaSamheiti:klárvakna,vekrastfáa eygu(r);gerast klárvakin, vakin o.fl.;rakna við;støkka upp úr svøvni, vakna brádliga;støkka úr aftur;vakna aftur;vakna upp úr svøvni;vakna við kaldan dreym(hálvvakna)rassast,remsast,ressast,revsast,vandrakvaklast, ressast, rúmsast við;liggja í vandring;liggja, sita og durva, hálvdurva, hálvsova o.fl.;liggja, vera millum svøvns og vøku(fara úr seingini)fara á føtur, undan fjaðrunum;fara fram um stokk;fara, stíga fram;fara upp;fara úr bosinum, bólinum, koyggjuni;tørna út(vakna úr dula, svímilsi)klárnafáa dagin, vitið aftur;fáa vitið til sín;gerast klárur (aftur);knappliga fata, varnast t.e. fáa eyguni upp (fyri e-m);koma aftur til vits;rakna, rætna, vakna við aftur;rakna upp úr dula, rakna úr svímilsi;vakna sum úr einum dula;vita til sín aftur;□nú rann vitið at honum, á hann, við hann;tað klárnaði fyri honum (aftur)↔alvakin,andvekur,árrisin,vaka,vekjaAndheiti:sovna,svíma
vaksa	síbúnast,grógva,hovna,leggja afturat,nøra,reisa,rúmka,storma,størrast
vaksandi	Samheiti:fløðandi,hækkandi,rísandi,spírandi,styrknandi(versnandi)harðnandi,trilkandi,øtlandi↔búnast,mennandi,róliga,størrastAndheiti:minkandi
vaksin	síavtakin,hovin,tilkomin
vaksingarbiti	símatur
vaksljós	sílampa
vaksmyndasavn	sígoymsla
vaksnamannadópur	sídópur
vaksnamannamál	sírødd
vaksnamannatonn	sítonn
vakstramannadópur	sídópur
vakstramannamál	sírødd
vakstrarbiti	símatur
vakstrargarður	síurtagarður
vakstrarhús	síurtagarður
vakstrarhúsárin	síhiti
vakstrarkassi	síkassi,urtagarður
vakstrarkista	síurtagarður
vakstrarkveikur	sííblástur
vakstrarlag	síútsjónd
vakstrarlendi	síjarðarstykki
