ydda	síspíska
yðja	síkrykja
yðjan	sínøgd
yðjandi	síógvuliga
ylast	síhitna
ylblot	sívatn
ylbloti	sívatn
ylheitur	síheitur
ylja	síhita
ylmikil	síheitur
ylna	síhitna
ylnaður	síheitur
ylsvarmi	síhiti
ylur	síhiti,kærleiki
ymis	síannarleiðis,fjølbroyttur,umskiftiligur
ymisháttaður	sífjølbroyttur,mislyntur
ymiska	síhindur
ymiskt	Samheiti:ymistalskyns...;alt handa slag;alt millum himmal og jørð;alt møguligt;alt sum kann nevnast við navni;alt sum nevnast kann;alt sum upp kan roknast;alt uttan livandi grind;av øllum sløgum;bæði eitt og anna;bæði líkt og ólíkt;hetta og hatta;hvørt av sínum;mangt og hvat;mangt og mangt;nógv sløg av...;stórt úrval, útval av...↔úrval,val,valdur,valmøguleiki,velja
ymiskur	síannarleiðis,fjølbroyttur,umskiftiligur
ymisligur	sífjølbroyttur,umskiftiligur
ymislitaður	sílitaður
ymislittur	sílitaður
ymissur	síannarleiðis,fjølbroyttur,umskiftiligur
ymist	síymiskt
ymisvorðin	sífjølbroyttur,mislyntur
ymja	síljóða
ymsastaðna	síymsastaðni
ymsastaðni	Samheiti:summastaðni,summstaðni,ymsastaðnaallastaðni og ongastaðni;á, í summum, ymiskum støðum;her og har;í støðum(onkustaðni)einastaðni,nakrastaðni,nakrastaðnis,onkrastaðni,onkustaðnaá, í onkrum stað;her, har einastaðni, onkustaðni↔allar vegir,allastaðni,báðumegin,higar og hagarAndheiti:ongastaðni
ymsumegin	síbáðumegin
ynda	síásttikin,dáma
yndast	síásttikin,fríggja
yndi	síkærleikiSamheiti:einglabrá,fagurleiki,glæstriskapur,náttúruvakurleiki,prúdd,prúdleiki,prúðleiki,prýði,snøggleiki,vakurleiki,vænleiki,yndisleiki,yndistokki↔fríðdæmdur,fríðkast,prýðislutur,pyntaður,snotiligur,vakur,yndisliga
yndigur	sívakur
yndiligur	sívakur
yndisbarn	Samheiti:alsklingur,einkabarn,einkadóttir,einkar-,einkasonur,elskulingur,eygnasteinur,hjartabarn,onkabarn,onkadóttir,onkar-,onkasonur,pápasonur,skattur,trúnaðartáta(yndisblóma)best dámda blóma(yndisdjór)yndisdýryndislag, yndisbók o.fl.↔dýrgripur,kelivætti,kjørAndheiti:kastibløka
yndisblóma	síyndisbarn
yndisbros	sískellilátur
yndisbrúður	síkvinna
yndisdjór	síyndisbarn
yndisdýr	síyndisbarn
yndisfagur	sívakur
yndisfljóð	síkvinna
yndisfullur	sívakur
yndislag	síblídni,tónalag
yndisleiki	síyndi
