á	síímóti,ovarlaga,skríggj,uttanáSamheiti:avá,áarløka,áarløkur,áarstubbi,elv,elvur,gil,jøkulá,løk,løkur,matará,meginá,stórá,strykki,strykkja,tvørá(vatngryvja)blárenna,blárunurenna,blárunuveit,búrenna,dren,fjósrenna,flórgarðrenna,frárenning,frárensl,grift,grótrenna,gryvja,grøv,hagagrift,hagagrøv,hagaskurðargrift,hagaskurðarveit,hagaveit,holveit,kloakk,køstarenna,lokarenna,marrurenna,renna,royðugrøv,runurenna,runuveit,ræsi,sarprenna,siglingarveit,sniðveit,súrgurenna,súrguveit,svøllingarveit,syndil,tváttá,tvørveit,útrensl,vaskirenna,vatnrás,vatnræsi,vegarveit,veggrift,vegveit,veil,veila,veit,veitarleggur,veiting,virkisgrøv↔áarmunni,vatnleidningur
áa	sískríggja
áallan hátt	síallar vegir
áararvi	síillgras
áarbakki	síbakki,strond
áarbotnur	síbotnur
áardalur	sídalur
áardun	síljóð
áarduni	síljóð
áareyrur	sígrót
áarfar	síspor
áarfiskur	sífiskur
áarfossur	sífossur
áarføri	síregnSamheiti:áargangur,áarlop,áarmeldur,áarrok,áarskúm,áarskúmur,áarstoytingur,áarstrekkur,áarstreymur,áarvøkstur,blot,bloti,floymur,strekkur,vatnflóð,vatnføri,øgil,øgilsvatn,øgilvatnstreymur (í á);□áirnar eru um at leypa;áirnar fløða, renna yvir;áirnar ganga eftir bøkkum;áirnar standa á borð og bredda, á tremur, svølgi, upp á svølg;tað fløðir upp um áarbakkan(áarførisdagur)regndagur↔floyma,fossur,regn,regna,vatnAndheiti:terri
áarførisdagur	síáarføri
áargangur	síáarføri
áargil	sídalur
áargrót	sígrót
áarhylur	síhylur
áarliða	síinngongd
áarliði	síinngongd
áarlop	síáarføri,omanlop
áarløka	síá
áarløkur	síá
áarmaður	sísjómaður
áarmeldur	síáarføri
áarmunni	Samheiti:áarósi,grandi,munni,ósamunni,ósi,sandoddi,útruni(oyra)oyri,sandoyri,valloyri,vatnoyri↔á,strond
áarósi	síáarmunni
áarpisa	sífuglur
áarpláss	sístað
áarrás	síspor
áarrok	síáarføri
áarsandur	sígrót
áarsíl	sífiskur
áarsjóð	síljóð
áarskrubba	sífiskur
áarskúm	síáarføri,skúm
áarskúmur	síáarføri,skúm
áarslýggj	sítari
áarsteinur	sígrót
áarstoytingur	síáarføri,regn
áarstrekkur	síáarføri
áarstreymur	síáarføri
áarstubbi	síá
áarsuð	síljóð
áartræ	síbrúgv
áartunga	síjarðarstykki
áartutl	síljóð
áarvatn	sívatn
áarvegur	síkoyrivegur
áarvøkstur	síáarføri
ábati	síyvirskot
ábeint	síáraka
ábekkur	sísessur
ábending	síávaring,framundirróður,leiðbeining
áberandi	sítilviljandi
áberi	síákæri
ábersla	sílittóni
ábindingarknútur	síknútur
ábindisknútur	síknútur
ábit	símatur
ábitaleysur	sísvangur
áborin	síhovin
áborist	síhenda
ábót	síafturbøting,ískoyti
ábreiðsla	síillsinnisgleps,køstatøð
ábrek	síbrek
ábreyt	síbakki,strond
ábundin	sífastur
áburður	síhælur,køstatøð
áburra	sífiskur
ábúgvi	sííbúgvi
ábygdur	síavtakin
ábyrgd	sítryggingSamheiti:andsvar,ábyrgsla,høvuðsábyrgd,samábyrgd,sektarábyrgd,sínámillumábyrgd,sjálvsábyrgd,vitnisábyrgdfelags ábyrgd↔ábyrgdari,ábyrgdarkensla,ábyrgjast,trygd,trygging,tryggja,tryggliga,tryggur
ábyrgdarblaðstjóri	síábyrgdari
ábyrgdarbræv	sípakkapostur,skriv
ábyrgdari	Samheiti:ábyrgdarmaður,borgsmaður,ábyrgdarblaðstjóri,ábyrgdarpeningur↔ábyrgd,ábyrgdarkensla,ábyrgdarmikil,ábyrgjast,trygd,trygging,tryggja,tryggliga,tryggur
ábyrgdarkensla	Samheiti:ábyrgdarvitska,skyldukensla,sømdarkenslatilvit um ábyrgd(ærukensla)mannsømd,mannvirði,sjálvkensla↔ábyrgd,ábyrgdari,ábyrgdarmikil,ábyrgjast,áhugi,samvitskuspurningur,sjálvsagi,trúgvur,trúskapur,trygd,trygging,tryggja,tryggliga,tryggurAndheiti:líkasæla
ábyrgdarleysur	sílíkasælur
ábyrgdarloysi	sílíkasæla
ábyrgdarloysingur	sívánamaður
ábyrgdarmaður	síábyrgdari
ábyrgdarmikil	Samheiti:álvarsamur,bundisligur,krevjandi○sum krevur ábyrgd av e-m, leggur ábyrgd á e-n;□hetta er ikki at spæla við, ikki spæl↔ábyrgdari,ábyrgdarkensla,ótøkur,torførurAndheiti:eyðfingin
ábyrgdarpeningur	síábyrgdari,trygging
ábyrgdartrygging	sítrygging
ábyrgdarvandi	sívandi
ábyrgdarvitska	síábyrgdarkensla
ábyrgjast	Samheiti:veðhalda,borgabera, hava, taka ábyrgd av e-m;borga, svara fyri;ganga í veður fyri e-n;hava í hondum;hava umsorgan fyri;lata, seta sum trygd;lova at...;sjálvur standa við endan;(sjálvur) taka avleiðingarnar, skrallið, stoytin;standa til svars;standa við ábyrgdini, við endan;standa við e-t;svara fyri;taka e-t á seg sjálvan;varða av;veita trygd, veðhald;vera ábyrgur, samábyrgur, samhaldsfastur, samluttikin;□eg skal banna, svørja, vedda upp á at...;tað skal eg lova trú fyri;tað skal eg tala upp á hann;tað skal eg ver(ð)a góður fyri(pantseting)veðseting(veðseta)panta,pantsetageva veðrætt í;leggja e-t við;leggja í veðin, í veður;seta í pant, í veð;seta veður(veðursettur)pantsettur,veðsettur(vedding)ítróttavedding,veddan(vedda)vedda upp á e-t↔ábyrgd,ábyrgdari,ábyrgdarkensla,trygd,trygging,tryggja,tryggliga,tryggur
ábyrgsla	síábyrgd
ábyrgur	síábyrgjast
ábæri	síhindur,illveðurshol
ábært	síveðurringur
ábærur	síveðurringur
ábøting	síafturbøting
ádeinging	síríðing
ádráp	síhoyggj
ádú	síádú ádú
ádúádú	Samheiti:allarhelst,altso,ádú,álvara,álvaratos,hvat,neisa,oys,ótrúligtá fúlheitir;altso altso;at hugsa sær;álvara hvat sigur tú;eg eri bangin fyri tí;eg kann ikki ætla;eg kann lítið ætla;eg meini tað;eingin hevur hoyrt slíkt;er tað so logandi galið;fyrsta tað;Gud (hann) náði (tú) meg;hann náði meg;havi eg hoyrt so galið, so skapt;heldur tú tað;hevur nakar hoyrt nakað líknandi, so livandi galið, sovorðið;hevur nakar hoyrt, sæð, vitað so galið, skapt;hvat í Guds garði sigur tú;hvat í... er tað tú sigur, sigur tú;hvat tram.. Gud forláti mær sigur tú;hvat skal mann siga;hvør skuldi trú;hygga her;hygga síggj;ikki eiti á;mangt skal ein, mann hoyra;man tað vera;mark skal vera fyri sum...;máti skal vera við sum...;mong er søgan óhoyrd;nei álvara;nei halt skarpan, turran o.fl.;nei sanniliga;nú ber av;nú er altso nóg mikið;nú leypa trøllini á sjógvin;nú narrast, skemtast tú;nú orki eg ikki meir;nú rennur upp hjá mær;nú skilji eg einki;okkurt sigur tú;oys, oys;sig so tað;sigur tú tað;skal eg trúgva hasum, tí;so so (so);so tað heldur, sigur tú;so til...;so vælsignað;sært tú tað;tað er ikki so livandi, spinnandi galið;tað sigur tú ikki;tað skal eg halda við;tað skal eg ætla;tað skal valdast;tað var ikki eiti á;tað var sum...;tað var (tó) løgið;tey siga nú ikki um;tú kanst ikki meina tað;tú narrast;tú sigur tað ikki í álvara
áður	sífyrr
áðurnevndur	Samheiti:fyrrnevndur,nevndur,omanfyristandandi,omannevndur,samur,ummæltur,umnevndur,umrøddur,umtalaður,undannevndur,undanstandandi,viðkomandihasin sami, hesin sami, hin sami, tann sami;omanfyri nevndur;○sum er navnberi;sum stendur frammanfyri, omanfyri(avvarðandi)viðkomandihann málið snýr seg um, meint er við, talan er um;hann sum hevur málið um hendi(hann)hasin,hesin,hin,sá,tannein ávísur persónur;hann sjálvur;hasin góði, vælsignaði maður(ein annar)annareinhvør, onkur annar;ein triði persónur;ikki (hin) sami↔eg,fyrrverandi,navnnevndur,nevna,tú
áeggjan	sííblástur
áfall	sísjóvarilska
áfallin	síblámuskotin,mislyntur
áfastaseyður	síseyður,skipan
áfastur	síavtakin,samankomin
áfella	síhill
áfelli	síhill
áflatur	síflatur,rundur
áfólkatungu	símillum manna
áfýsn	sítrá
ágangandi	síáhaldandi,áleypandi,kravmikil,tilviljandi
ágangin	síkravmikil
ágangsmaður	síatsóknarmaður
ágangur	síhóttan,pína,streymur
ágáva	síavgjald,takk
ágeingin	síkravmikil
ágirnd	sítrá
ágiti	síámæli
ágonga	síálop,hóttan,seyður,skipan
ágongd	síálop,hóttan
ágongdur	síkravmikil,sjónligur
ágonguseyður	síseyður,skipan
ágóði	síyvirskot
ágrýtin	síraskur
ágrýtni	sídugnaskapur,megi
áhald	símegi,tol
áhaldandi	síaltíð,raskur,varandiSamheiti:alsamur,altráin,altráur,ágangandi,boysin,drúgvur,liggjandi,óslitin,staðigur,støðugur,toyggin,tráur,verandi,ættarligurá hvørjum degi;dag frá, undan degi;dagin, náttina at enda;frá morgni til myrkurs;heyst, summar, vár, vetur;hvønn dag;hvørja einastu løtu;(í) alla nátt;(í) allan dag;í heilum;í hvørjum andarhaldi, andaræli;javnan og samnan, savnan;javnt og samt;meðan eyguni eru opin;tann líðilanga dag;uttan hvíld, íhald, steðg;út í eitt;við eitt og hvørt høvi;○sum ikki helmar í, slítur í;sum ikki helmar, linnar;□hann er sum knívur á hørðum horni;hann liggur so toyggin, tráur(vera áhaldandi)deingja,tota,toyta,troytablíva við;dogga og dogga;dríva, toyta á;halda á, áfram, fram, við at..., við e-m;halda á, út til endans, til síðsta mann;halda (leingi) á;halda tørn;halda við at...;hanga í;ikki dvína, geva upp, geva, halda uppat, geva yvir, kasta frá sær, gevast;ikki falla í fátt, missa mótið;ikki gevast á hendi, hendur, hondum;ikki lata mjøðin dovna;ikki geva eftir, vilja gevast;ikki slaka av;liggja á takinum;renna snælduna at enda;roynast væl;standa stinnur;standa við↔altíð,vara,varandi
áhaldin	síraskur
áhaldni	símegi,tol
áhaldsi	síamboð
áhaldsin	sísnáva
áheitan	síákall,boðan,krav
áherðing	sídentur
áherðsla	sídentur
áhildin	síraskur,varandi
áhittin	síklókur
áhoyrandi	síhjástaddur
áhoyrari	síáskoðari
áhoyriligur	síáhugaverdur
áhugaður	Samheiti:áhugamikil,áhugasamur,brennandi,eftirleggin,eldhugaður,eldmikil,fullhugaður,fúsur,grammur,heilhugaður,heithugaður,heitur,hugaður,hugagóður,hugheitur,hugligur,íleggin,ovurheitur,ovurhugaður,stórætlaður,tvígildigur,uppgløddur,vælhugaður,yvirhugaður,yvrigurav góðum huga, við góðan hug;sum ein ond;upp í loft(hugtikin)bergtikin,hamfarin,hjartarørdur,hugbundin,huggripin,rørdur,sinnisrørdur,undrandi,ørskusælursum skarvur í nýggjari urð(nýfikin)bráðfegin,fjeppin,fjøppin,fylgin,nýfikkin,nýfjeppin,nýfjøppinargur at apa seg eftir øðrum (lótum, mótum);býttur av, uppi í e-m nýggjum;púra burtur í e-m nýggjum↔áhugaverdur,áhugi,ásttikin,bilsin,bilsnast,dáma,eftirspurn,eftirynskjandi,fortorga,framfúsur,handdragin,hugtaka,kensluligur,raskur,tíma,undran,undurverk,villigurAndheiti:dølskur,keddur,líkasælur
áhugafelag	sífelag
áhugaleysur	sílíkasælur
áhugaloysi	sílíkasæla
áhugamál	síáhugi,felagsmál
áhugamikil	síáhugaður
áhugasamur	síáhugaður
áhugaverdur	Samheiti:ansingarverdur,ansmikil,athugaverdur,athyggjandi,áhoyriligur,eygnarívandi,forvitnisligur,hugspennandi,hugtakandi,hugvekjandi,merkiligur,merkisverdur,nevningarverdur,spennandi,stórmerkiligur(huggrípandi)hjartanemandi,hugrørandi,hugtakandi,rørandiverdur at geva ans, hyggja at, leggja til merkis;○sum eigur áhuga eins, hevur eins áhuga, hugtekur e-n(minniligur)áminniligur,minnisríkur,minnisverdur,ógloymandi,óhvørvandi,óhvørviligurverdur at minnast(søgumikil)søguríkur(hendingaríkur)hendingasamur,tilburðaríkur↔áhugaður,áhugi,eftirspurn,eftirynskjandi,hugtaka,óvanligurAndheiti:keðiligur
áhugi	Samheiti:ansur,athugi,eldhugur,gudmóður,hugi,hugur,sansur(nýfikni)nýfikinskapur(áhugamál)egináhugamál,fyrimál,gagnsmál,hjartamál,hugmál(nærlagni)ídni↔ábyrgdarkensla,áhugaður,áhugaverdur,eftirspurn,eftirynskjandi,endamál,felagsmál,fiskihugur,forvitin,trá,umrøðuevni,undran,undurverkAndheiti:líkasæla,mótvilji
ája	síjáttan
ájátta	síloyva
ájáttilsi	síjáttan
ájátting	síjáttan
ájú	síjáttan
ákall	Samheiti:ákallan,kall,róp,uppringing(áheitan)uppróp(neyðarróp)angistróp,neyðarkallróp um hjálp↔biðja,krav
ákallan	síákall
ákarði	síkarði
ákast	síblaking
ákenn	síføli
ákenning	síføli
ákomandi	síatkomandi
ákomin	síhenda
ákoming	sístreymur
ákoyrdur	sísamanbrestur
ákoyring	síduk,illsinnisgleps
ákæra	síillsinnisgleps,sakarmál,skuldseta
ákærdur	sískuldseta
ákæri	Samheiti:atsóknari,áberi,ákæruvald,ríkisákæri,ríkissóknari↔sakarmál,skuldseta
ákæruleysur	sífríur,ósekur
ákærurit	sísakarmál,skriv
ákæruvald	síákæri,vald
ál	síband,honk,slintra,streymur,strika
ála	sígera aldu,skræða
álag	síhill,tvørtræ
álagdur	síganda
álakálvur	sífiskur
álakkur	sínjósnari
álandsvindur	sívindur
álasipa	síduk
álegging	sílóg
áleggja	síbiðja,elva,makast,noyða
áleið	sípassaliga
áleiðis	síáraka,frameftir
áleikandi	sítíðarhóskandi
áleistum	sínakin
áleypandi	síkravmikilSamheiti:ágangandi,brallutur,bramsligur,grefligur,skríggjandi□hatta sker í eyguni(litfagur)fagur,fagurlitaður,fagurlittur,fríðlitaður,glógvandi,litafríður,litamikil,litfríður,litifríður,litríkur,litsterkur,sterklittur○sum sær út av nógvum, vísir nógv av sær↔litaður,skínandi
áleypari	síatsóknarmaður
áliðin	síliðin
áling	sístreymur
álinjusamband	sísamband
álit	síálitismaður,bjarging,dygd,frásøgn,kjør,sannføring,trúskapur,ummæli
álitisband	síband
álitisbátur	sísjófar
álitiskvinna	síálitismaður,hampafólk,oddamaður
