í	síílatin
ía	síklæða
íallar mátar	síallar vegir
íandarisi	síaldutur
íbeiskur	sísmakkringur
íbestu meining	sívegna vinskap
íbindi	síband,tol
íbinding	síband
íbindingarband	síband
íbindingargjald	síavgjald
íbinviður	síviður
íbirta	síbyrja,elva
íbirtari	síoddamaður
íbirtast	síhenda
íbland	síblandingur,millum
íblástur	Samheiti:andi,andkoma,áeggjan,eggjan,eldhugi,eldhugur,elding,elvi,elving,gelræði,hughiti,hugkveiking,huglyfting,innblástur,innskot,innstøkk,kveik,kveiking,ond,ovurhugi,ódnarhugi,ódnarhugur,spenningur,studling,tileggjan,tilelving,tilstudling,tilstuðlan,tilstuðling,vakstrarkveikurandligt árin;□andin er yvir e-m, kemur yvir e-n;í eini andabornari løtu(hugtøka)sjúka,tvingsilshugsan,ørskusæla,øsingháspent hugtøka;óvanligur, sjúkligur, sterkur hugur;sinnislig øsing;□hann er sjúkur eftir at...↔bati,elva,hjálp,hjálpa,orsøk,styrkja,uggandi
íbláur	sílitaður
íblíðum	síyndisliga
íbogin	sírundur
íborin	síarviligur
íbregðiligur	síarviligur
íbundin	sífastur
íbúð	síhøli
íbúðahús	síbygningur
íbúðarhús	síbygningur
íbúðarneyð	sítørvur
íbúðartørvur	sítørvur
íbúgvanavn	sínavn
íbúgvi	Samheiti:ábúgvi,barnatal,borgari,búfjøld,búfólk,bygdarfólk,bygdarfrell,bygdarmaður,býarfólk,býmaður,dalbúgvi,fólk,fólkaflokkur,fólkaslag,fólkatal,frumbúgvi,frumfólk,frummaður,frumskógarfólk,frumskógarmaður,innføðingur,landsfólk,ognarfólk,oyggjafólk,oyggjarbúgvi,oyggjarskeggi,ríkisborgari,sóknarbarn,smátjóð,steinaldarfólk,stórtjóð,tjóð,tjóðflokkur,upprunafólk,villmaður,villmenni↔einbúgvi,hvør einasti,niðursetufólk,persónur
íbygdur	síavtakin,spøking
ídna	búgva til ídnaðar;fremja, gera ídning;leggja um til ídnað↔framleiðsla,vinnulív
ídnaðarfiskur	sífiskur
ídnaðarframsýning	síframsýning
ídnaðarkollvelting	síbroyting
ídnaðarland	sístatur
ídnaðarsamfelag	sífelag
ídnaðarsild	sífiskur
ídnaðarskip	sísjófar
