ó	sító
óampaður	síóttaleysur
óansin	síbusutur
óansni	sívansketni
óarbeiðsførur	síbrekaður
óarbeiðsligt	sítorførur
óarbeiðsligur	síóskapiligur
óargadjór	síóflýggjakroppur,ótangi
óargadýr	síóflýggjakroppur,ótangi
óargagerð	sískálkagerð
óargakroppur	síóflýggjakroppur,ótangi
óargaligur	símannvándur
óargaskapur	síóndskapur
óargaungi	síótangi
óast	sító
óatfinnandi	síósekur
óatkomandi	síófarandi
óatkomiligur	síófarandi
óavgjørdur	síivasamur,javnviga
óavgjørt	síjavnviga
óavhøvdaður	síókruvdur
óavmarkaður	síóskerdur
óavvitandi	Samheiti:ómedvitin,ótilvitaður,ótilvitandi,óvitandi,óvitvísurikki avvitandi;uttan at vita av;○sum er ókunnigur um e-t↔óvit,tilviljandi
óálítandi	sídygdarleysur,ósannur,svikafullur
óár	sívánatíð
óárligur	síósannlíkur
óártímiligur	síósannlíkur
óásettur	síóskerdur
óát	Samheiti:óáta,ógvæta,ógvæti,óæta,óæti↔eta,gagnast illa,óetandiAndheiti:matur
óáta	síóát
óátalaður	síóskalaður
óátuligur	sísmakkringur
óávinniligur	síóvinniligur
óbati	síhindur
óbeinamaður	síklandursvætti
óbeinasamur	síófúsur
óbeinleiðis	Samheiti:aftanífrá,bakleiðis,bakvegisá bakið;gjøgnum bakdyrnar(krókvegis)skákleiðis,skákvegis(umleiðis)umvegis↔framundirróður,vísa áAndheiti:beinleiðis
óbeinur	síhallur,óneyvur,ósannur,rundur
óbekvemmur	síbusutur
óbendandi	síharður
óbendiligur	síharður
óbiðin	sísjálvbiðin
óbindandi	Samheiti:leysligur,óformligurikki bindandi;ikki eftir strongum reglum;ikki formligur↔fríur
óblandaður	síeinskærur
óblankur	sífløktur
óblíður	síharðhjartaður,vreiður
óblýggjaður	síblýfríur
óboðin	sísjálvbiðin
óborin	síóbúgvin,tungur
óboyggiligur	síharður,óvinniligur
óbótaður	sísmakkleysur
óbótagerð	síbrotsverk
óbótaligur	sídýrur,óbøtiligur
óbótamaður	síbrotsmaður
óbótaverk	síbrotsverk
óbrákaður	síheilur
óbrigdiligur	síeinsljóðandi,sannur
óbrotin	síheilur,óskalaður,samanhangandi
óbroytandi	síeinsljóðandi,sannur
óbroytiligur	síeinsljóðandi,sannur
