øða	síarga,storma
øðast	síilskast
øði	sískjótleiki,vreiði
øðibardagi	síkríggj
øðiligur	síræðandi,vreiður
øðimikil	síræðandi,vreiður
øðisligur	síræðandi,vreiður
øðismikil	síræðandi,vreiður
øðrumegin	síongastaðniSamheiti:frískumegin,sjúkumegin,skuggamegin,sólarmegin,øðruminniá, undir, við høgru, vinstru hond, lið, síðu o.fl.;á skuggasíðuni, sólarsíðuni, sólsíðuni;høgru, vinstru megin;til høgru, vinstru;til høgru, vinstru handar;undir liðini á e-m;við síðuna av e-m;øðrumegin við
øðruminni	síongastaðni,øðrumegin
øðrvísi	síannarleiðis
øðrvísini	síannarleiðis
øðuagn	síagn
øðugarður	sígarður
øðukelv	síyngul
øðukongur	síeydnismaður,óflýggjakroppur
øðutjóvur	sífiskur
øðutongul	sítari
øga	síræða
øgast	síógvast
øgil	síáarføri,omanlop
øgiliga	síógvuliga
øgiligur	símikil,nógvur,ræðandi
øgilsvatn	síáarføri,vatn
øgilvatn	síáarføri,vatn
øgn	síblettur,sindur
øgnutur	sílitaður
øgul	síomanlop
øguligur	símikil,nógvur,ræðandi
øki	sípláss,stað,starvsgrein
øking	síískoyti,vøkstur
økismeistari	sívinnari
økja	síleggja afturat,nøra,storma
økjast	sístorma,størrast
øklakavi	síkavi
øklaliður	síliður
øklaskeivur	síbrekaður
økrast	síønskrast
økruligur	sísvárur
øks	síknívur
øksa	síknívur
øksarbit	sísár
øksarhøgg	síduk
øksarskaft	sískefti
øksarstavur	sístavur
øksi	síknívur
øl	sírúsdrekka
ølaður	sídrukkin
ølbjølgur	sídrankari,likam
ølbryggihús	síbygningur
ølbúkur	sílikam
ølbøli	sískeinkistova
øldeymur	síluktur
øldós	síkassi
ølfløska	sífløska
ølglas	sífløska
ølkíkur	sídrankari,likam
ølklubbi	sískeinkistova
ølkonubúð	sískeinkistova
øll	síhvør einasti
øllumegin	síbáðumegin
ølluminni	síbáðumegin
ølmunnur	sírúsdrekka
ølóður	síófúsur
ølproppur	síproppur
ølsjúka	sítimburmenn
ølsjúkur	síhava timburmenn
ølstova	sískeinkistova
øltos	símøsn
ølva	síævintýrhugtak
ølværur	sídrukkin
øn	sísveipur
øna	síhugfjarur,førka,skunda sær,sláa gras,svara
ønari	síavtakafólk
øni	sínøgd,seyður,sveipur
øning	sísveipur
øningur	síjarðarstykki,stað,sveipur
ønskrast	síristaSamheiti:biva,irskrast,nøtra,skelva,titra,økrast,ørskrast,øtastønskrast við;□e-m nøtrar í holdið;tað fer e-m kalt niður eftir bakinum;tað fer, sker (e-m) gjøgnum merg og mønu;tað fór ígjøgnum meg↔bilsnast,ógvast,rista
ønskriliga	sísára
ønskriligur	sísvárur
ønskurligur	sísvárur
ønta	sísvara
ønur	síjarðarstykki,stað,sveipur
ønutur	sídølskur
øpa	sígráta,skríggja
ør	sísár
øra	sísvíma
ørandi	síógvuliga,ólýsandi,ræðandi
ørbrattur	sísteyrrættur
ørbýttur	sítápuligur
ørdeyði	síundirgangur
ørdrepa	síavlíva
ørdømi	síeindømi
ørðugur	sísteyrrættur
ørðutur	sísteyrrættur
ørfáir	sífáur
ørfátækur	sífátækur
ørfenaður	síniðurdottin
ørfiskað	síuppfiskaður
ørfiski	sífiskaloysi
ørfínur	síúrklænur
ørfleyga	síavlíva,fleyga
ørga	síoyðistaður
