úla	sífuglur
úlda	sírotna
úldna	sírotna
úldnaður	sírotin
úldrynja	síkópur,kvennvera
úldur	sírotin
úlma	sírotna
úlmaður	sírotin
úlvabrot	sísjóvarilska
úlvagangur	sílevind
úlvarungi	síóflýggjakroppur,ótangi
úlvasjógvur	sísjóvarilska
úlvdrynja	síkópur,kvennvera
úlvfiskur	sífiskur
úlvhundur	síhundur
úlvinfinn	síseyðamark
úr	síburtur,burturav
úra	sínekta
úrbeina	sískilja
úrbeinaður	sítilgjørdur
úrbregði	sífrábrigdi
úrdrag	sísamandráttur,vánamaður
úrdráttur	síframleiðsla,matur,samandráttur
úrdømi	síeindømi
úreitra	sívaska
úrfarin	sínakin
úrfáningur	síendaúrslit
úrfornur	síaldrandi
úrgamal	síaldrandi
úrgerðargóður	sífrálíkur
úrgerðarmaður	síavtakafólk
úrgerðarær	síseyður
úrgonga	síregn
úrgonguveður	síregn
úrgrynni	sínøgd
úrkálka	sívaska
úrkálking	sískiljing
úrklænur	Samheiti:eiturfínur,eiturtunnur,elaklænur,erfínur,evurklænur,fínligur,fínsligur,fínur,gjøllmjáur,grannur,hálvfínur,hárfínur,hvørvin,klænligur,klænur,mjáur,naturtunnur,smalur,tráðmjáur,ørfínur(lítilsligur)hálvsmáur,smáligur,smáur,viðlítil(nettligur)beinlítil,dukkuligur,fittligur,fittur,nettur,pisasligur,pisuligur,ungaligur(neyðarsligur)bringumjáur,donsaligur,drunnsvikin,framvisin,klantraligur,klantrasligur,krantaligur,krantasligur,krantutur,lendamjáur,lítilsverdur,másaligur,másasligur,mismenniligur,mjarasligur,mjarligur,mjarraligur,mjarrasligur,mjasasligur,neyðarligur,nilkutur,ónirisligur,óvættasligur,óvættisligur,pappírsligur,pappírstunnur,rakkendur,rakligur,skirvin,skirvisligur,skopputur,skroypiligur,slúrutur,snípin,sperðlutur,spískur,tunnur,umhildin,visaligur,visasligur,visinbæði lítil og neyðarsligur;eitrandi fínur, tunnur;ikki frægari enn ein royttur stari;í lítlari stødd;í smálíki;klænur sum ein marbendil, sperðil, tráður;einki, lítið til manna;lítil í vavi;lítil og fittur;lítil og klænur;lítil og nettur;lítil og nossligur;lítil og visaligur;nett bygdur;nettur í tí;smalt sum hundstunga;so fínt sum hangandi hár, ormagarn;tunt sum eitt naturskursl;tunt sum natur;□hann sær út sum kruvdur skarvur;hatta er sum ein sneis, sum eitt sneisarskaft;hatta er sum eitt ulkusporl;hatta er tann trælabitin ið er;hatta er skikkað sum eitt horngeili;hatta sær út sum ein pirrufressur↔bláliður,langvaksin,rakdirðil,rakfallin,skarpleittur,smákornutur,smáur,soltinskapurAndheiti:førligur,hovin,prúður
úrkynjan	sífrábrigdi
úrlagi	síógvuliga
úrlatin	sínakin
úrleiða	símeina
úrleiðsla	síendaúrslit
úrliman	síavtøka
úrlíka	síógvuliga
úrlíkur	sífrálíkur
úrlop	síbúkilska
úrlopin	sítilkomin
úrløða	sívaska
úrløðing	sískiljing
úrmaktaður	síútmøddur
úrmergjaður	síútmøddur
úrmæli	síavtakafólk
úrmælingur	síavtakafólk,dýrgripur
úrmæltur	sífrálíkur
úrmørast	sítroyttast
úrmøri	símáttloysi
úrnýta	síkradda
úrnýtsla	síbidding,sjálvgóðska
úrráð	síbjarging
úrreivast	síbúnast
úrreiving	síbati
úrroyttur	sínakin
úrskarandi	sífrálíkur
úrskeping	sífrábrigdi
úrskilja	sívaska
úrskiljing	sískiljing
úrskorin	síhindraður (í at...)
úrskrift	síavrit,áskrift
úrskurður	sídómur,endaúrslit
úrslit	síárin,endaúrslit,yvirskot
úrslitagóður	síúrtøkugóður
úrslitaleyst	sívónleyst
úrslitaleysur	sígróðrarlítil
úrstandur	síbaksan,levind
úrstokkin	sítilkomin
úrsýna	síógvuliga
úrsýndur	sífrálíkur
úrsýnt	síóvanligur,sjáldsamur
úrsýnur	sídygdarleysur,kraftleysur
úrsøgn	síavtøka
úrtak	sísamandráttur
úrtakari	síknívur
úrtikin	síóveruligur
úrtíð	síótíð
úrtøk	síútreiðsla
úrtøka	síendaúrslit,grøði,yvirskot
úrtøkiligur	síóveruligur
úrtøkuføri	sílíkindi(r)
úrtøkugóður	Samheiti:avrikamikil,góður,loysin,lønandi,úrslitagóður,úrtøkumikil,væleydnaður,vælsignaður○sum ber seg, loysir seg, lønar seg;sum gevur góðan vinning, góða úrtøku, gott úrslit;sum gevur, kastar nakað av sær(fruktagóður)fruktbarur,geviligur,gróbærur,gróðrargóður,gróðrarmikil,gróðrarríkur,gróðurbærur,gróðurmikil,gróðurríkur,gróðursamur,gróðurtungur,grøðibærur,grøðiligur,grøðimikil,grøðitungur,grøðuligur,kvæmur,urtagóðurfrekur (um gróður);○sum gevur nógv fold;sum spírar og veksur væl(dyrkandi)veltandinýtiligur til gróður(fongríkur)fiskaríkur,fongsamur,gávuríkur○sum gevur góðan, stóran fong;sum hevur nógv at geva↔búnast,endaúrslit,gróðrarbúgvin,grógva,grøði,heysta,innheysting,innløgupláss,yvirskotAndheiti:gróðrarlítil,oyðin
úrtøkukapping	síkapping
úrtøkulítil	sídygdarleysur,gróðrarlítil
úrtøkumikil	síúrtøkugóður
úrtøkur	síóveruligur
