ýa	síkrykja
ýl	sískríggj
ýla	síljóða,skríggja
ýlan	sískríggj
ýling	sískríggj
ýlingur	síljóð
ýta	síyvirflatiSamheiti:miðafáa ýtini av e-m;leggja mið;leggja, taka ýti;leggja til miðis;miða av;miða seg eftir e-m;miða sær á e-t;seta ýti(ni);ýta e-n, e-t av;ýta mið av(peila)seta út í kortið(avýtað)sum ýti er tikið av(avýting)peiling↔finna veg,fiskileið,peika,stevnuleið,varði,viti,ýti
ýti	Samheiti:bakkaýti,bakýti,framýti,undirstøðuýtiýti av, á landi;ýti á undirstøðu;ýti í neðra↔finna veg,fiskileið,ýta
ýva	síkemba
ývin	sífrísutur,ójavnur
ývna	sígera aldu,hovna,stormaSamheiti:rísna,ývnastgerast rísin, ývin↔frísutur,ójavnur
ývnast	sígera aldu,hovna,storma,ývna
