aðalnevnari	(støddfr.)felagsnevnari, samnevnari[da.fællesnævner,en.common denominator]
aeromagnetiskur	(ravm.) [da.aeromagnetisk,en.aerodynamic]
afturaksil	(tøkni)(á bili)aksil millum bakhjól, afturásur[da.bagtøj,en.rear axle assembly]
afturásur	(tøkni)(á bili)afturaksil[da.bagtøj,en.rear axle assembly]
afturboðan	tað at nýta úttak á einum stigi til inntak á øðrum stigi til tess at hava árin á framhaldandi arbeiði(t.d.í tóliel.lívveru)[da.feedback,en.feedback]
afturgerð	(ravm.)skiftistreymsmótstøða elvd av ringerð (induktans) og kapasitans[da.reaktans]
afturhjól	(tøkni)hjól aftan, bakhjól[da.baghjul,en.rear wheel]
afturkasting	(alisfr.)tað at ljós, ljóðo.tíl.verður kastað aftur[da.refleksion,en.reflection]
afturkastingarljós	(tøkni)(á akfari)ljós ið verður kastað aftur frá endurskini[da.refleksionslys]
afturrenningarrør	(tøkni)rør har ið óbrúkt olja úr oljufýrinum rennur aftur í oljutangan, frárenningarrør[da.returrør]
afturrenningarventilur	(tøkni) [da.tilbageløbsventil,en.recirculation valve]
agat	(jarðfr.)prýðissteinur við ymislittum og ymisklárum tinnujaðrum[da.agat,en.agate]
akfar	(tøkni)far at aka (koyra) íel.á,bilur er akfar[da.køretøj,en.vehicle]
akker	1(skip.)tungur lutur at halda skipi føstum, ankar,kasta akker(i);liggja fyri akkeri;draga akker;sbr.varp[da.anker,en.anchor]2(ravm.)lutur ið snýst í ravmagnssigliel.ravmagnsmotori
akkersspæl	(skip.,skipasm.)spæl at draga akker upp við, tøkniligur útbúnaður nýttur til at hiva P|el.| lora akker við[da.ankerspil,en.windlass]
akkersveirur	(oljuv.)veirur at halda flótandi oljuboripalli føstum[da.ankerwirer,en.anchor wires]
akkumulatorkykna	(tøkni)kykna í akkumulatori[da.akkumulatorcelle,en.battery cell]
akkumulatorur	(alisfr.)tól til at savna og goyma ravmagn í, ravhúsi[da.akkumulator,en.battery]
akkumulatorútgerð	(tøkni)útgerð til akkumulator[da.akkumulatorudstyr,en.accumulator equipment]
akrýl	slag av plastevni(nýtt t.d. til klædnagerð, gólvklædning)[da.akryl]
akrýlmáling	(handv.)máling grundað á vatn[da.akrylmaling]
aksil	(tøkni)ásur át.d.vogniel.maskinu sum melur runt P|el.| e-t melur uttan um[da.aksel,en.axle]
aksilferð	(tøkni)ferð ið aksil melur runt við[da.akslingshastighed,en.shaft speed]
aksillás	(tøkni)?lás til aksil[da.aksellås,en.axle lock]
aksilmegi	(tøkni)?megi ið aksil er førur fyri at dríva við[da.akselkraft,en.shaft power]
aksilrikin	(tøkni)drivin við aksli[da.akseldrevet,en.shaft driven]
alabastur	(jarðfr.)útl. hálvglært steinslag líkt gipsi[da.alabast,en.alabaster]
aldukraft	(tøkni)rørsluorka í havaldum[da.bølgekraft,en.wave power]
aldulongd	(tøkni)bylgjulongd[da.bølgelængde,en.wavelength]
alduorka	(tøkni)orka úr havaldum[da.bølgeenergi,en.wave energy]
algoritma	(støddfr.)savn av leiðbeiningum ið stig fyri stig lýsa hvørjar atgerðir skulu fremjast fyri at loysa eina uppgávu[da.algoritme,en.algorithm]
alisfrøði	(alisfr.)vísindi (el.lærugrein) um ólívrunna náttúru og fyribrigdi í henni[da.fysik,en.physics];sbr.evnafrøði
alisfrøðiligur	(alisfr.)viðv. alisfrøði;-liga[da.fysisk,en.physical]
alisfrøðingur	(alisfr.)ein ið er lærdur í alisfrøði[da.fysiker,en.physicist]
alkohol	(evnafr.)evnasamband av kolvetni og súrevni, vínandi[da.alkohol,en.alcohol]
alsjálvvirkin	fult sjálvvirkin[da.helautomatisk, fuldautomatisk,en.fully automatic]
alsjálvvirkni	(tøkni)tað at vera fult og heilt sjálvvirkin[da.fuldautomatik,en.fully automatic]
altal	(støddfr.)altøløll ráðin og óráðin tøl[da.reelle tal]
altan	(húsasm.)pallur við girðing uttan á húsi, svali,tey sita úti á altanini[da.altan,en.balcony]
altanur	(húsasm.)altan[da.altan,en.balcony]
altong	(handv.)tong at nýta til nógv ymist í ravmagnsarbeiði[da.kombinationstang, universaltang,en.combination pliers]
aluminium	(evnafr.)ljósagrátt metal(frumevni, teknAl)[da.aluminium,en.aluminium]
alún	(evnafr.)salt ið er samansett av kalium- og aluminiumsulfati(m.a. til at garva skinn við, teknKAl(SO4)2*12H2O)[da.alun,en.alum]
alverktøka	(tøkni)verktøka sum fevnir um allar partar í byggingel.verki[da.totalentreprise]
amboðsforrit	(teld.) [da.værktøjsprogram]
amboðskassi	(handv.)kassi (1) til amboð[da.værktøjskasse,en.tool box]
amboðsmaskina	(tøkni)maskina til at arbeiða tilfar (av metali)[da.værktøjsmaskine,en.machine tool]
ambætari	(teld.)miðstødd telda í telduneti ið veitir øðrum teldum tænastu, vertur 1(3), móðurtelda[da.server,en.server]
aminosýra	(evnafr.)lívrunnin sýra ið er lutevni í eggjahvítaevni[da.aminosyre]
ammoniakk	(evnafr.)evnasamband millum køvievni og vetni(teknNH3)[da.ammoniak,en.ammonia]
amper	(ravm.)ampera[da.ampere,en.ampere]
ampera	(alisfr.)mátingareind fyri streymmegi(styttA)[da.ampere,en.ampere]
amperumetur	(alisfr.)tól at máta ravmagnsstreym við(mált í amperum)[da.amperemeter,en.ammeter]
andgeraketil	(alisfr.)ketil í andgera[da.reaktorkedel,en.reactor vessel]
andgerakjarni	(alisfr.)kjarni í andgera[da.reaktorkerne,en.reactor core]
andgerð	(alisfr.)kraft ið virkar ímóti (e-m),ágerð og andgerð[da.reaktion,en.reaction]
andgerðarfúsur	(evnafr.)ið elvir andgerð[da.reaktiv]
andgerðarlíkning	(alisfr.) [da.reaktionsligning]
andgerðarsnarleiki	(alisfr.) [da.reaktionshastighed,en.reaction velocity]
andgeri	(alisfr.)verk har ið geislavirknar andgerðir fara fram og kjarnorka verður úr[da.reaktor,en.reactor]
andhall	(jarðfr.)uppvendur faldur (4)[da.antiklinal]
andlitsskermur	(handv.,tøkni)verndarskermur til andlitið(nýttur við sveising)[da.ansigtsskærm,en.face shield]
