bað	(ídn.)løgur at skolael.viðgera e-t í(t.d. sýrubað)
bakforrit	(teld.)forrit sum liggur undir stýringarforritum[da.baggrundsprogram,en.background program]
bakglopp	(teld.) [da.tilbageryk]
bakhjól	(tøkni)(á akfari)afturhjól[da.baghjul,en.rear wheel]
bakkgervi	(tøkni)(á bili)bakkgir[da.bakgear,en.reverse gear]
bakkgir	(tøkni)gir nýtt tá ið (ak)far skal bakka, bakkgervi[da.bakgear,en.reverse gear]
bakki	(skip.)upplyft slætt dekk fremst á skipi,frammi áel.undir bakkanum;sbr.hvalabak (2)
bakkiljós	(tøkni)(á akfari)ljós (2) ið lýsir tá ið bakkað verður[da.baklygte,en.reversing lamp]
bakknappur	(teld.)knappur nýttur til at flyta vísan á skíggjanum eitt stavrúm aftur[en.backspace]
bakljós	(tøkni)(á akfari)ljós aftan[da.baglygte,en.rear light]
bakramma	(oljuv.) [da.bagramme,en.rear frame]
bakskák	(teld.)skákstrika (2) ið lútar aftur (\), teknið \,móts.framskák[en.back slash]
bakspegil	(tøkni)(á akfari)spegil innan á forrúti til at hava eyguni við ferðsluni aftanfyri[da.bakspejl,en.rearview mirror]
bakvangi	(húsasm.)(á trappu)vangi (3) inn ímóti vegginum,móts.forvangi[da.bagvange]
balkong	(húsasm.)pallur uttan á húsi oman fyri fyrstu hædd[da.balkon,en.balcony]
band	(tøkni)smøl leingja úr t.d. plasti, sigulband, ljóðband, sjónband,taka upp á band[da.bånd,en.tape]
banda	(tøkni)taka upp á ljóð-el.sjónband,samrøðan varð bandað[da.bånde,en.tape]
bandhøvil	(handv.)høvil til bond í báti[da.spantehøvl]
bandsag	(handv.,bát.)sag við bandlíkum blað ið liggur um hjól[da.båndsav,en.band saw, endless saw]
barkaventilur (?)	(tøkni) [da.strubeventil,en.throttle valve]
basalt	(jarðfr.)slag av daggrýti, blágrýti(vanligasta grótslag í Føroyum)[da.basalt,en.basalt]
basaltgosgrýti	(jarðfr.)gosgrýti av basalti
battarí	(alisfr.)goymsla sum broytir evnisliga orku til ravmagn, ravlað,battaríini til bandupptakaran eru útbrend[da.batteri,en.battery]
battaríkápil	(tøkni)kápil til battarí[da.batterikabel,en.battery cable]
battaríkervi	(tøkni)skipan P|el.| kervi við battaríum[da.batterisystem,en.battery system]
battaríløðari	(tøkni)tól til at løða battarí við[da.batterilader,en.battery charger]
battarísikkring	(tøkni)sikkring í battaríi[da.batterisikring,en.battery fuse]
battaríspenningur	(tøkni)spenningur í battaríi[da.batterispænding,en.battery voltage]
battarístreymur	(alisfr.)streymur í P|el.| úr battaríi[da.batteristrøm,en.battery current]
battaríúrløðing	(ravm.)tað at ravmagnsstreymur fer ígjøgnum tóma í battaríi[da.batteriudladning,en.battery depletion]
bála	(jarðfr.)pokna í gosgrýti(stavar frá luftbløðru)[da.vesikel]
bálutinna	(jarðfr.)tinna í bálu[da.mandelsten]
bálutur	(jarðfr.)við bálum[da.vesikuløs]
báluvond	(jarðfr.)gosgrýti við tættsettum bálum[da.blæret struktur, vesikuløs struktur]
bátsnagli	(handv.,bát.)trænagli til bátasmíð
beding	1(tøkni,tlm.)sleipistøð[da.bedding,en.slip, slipway]2(tøkni,skip.)útbúnaður til at festa akkerstogel.-ketu við
bedingsmeistari	(handv.)ein ið hevur evstu ábyrgd av arbeiðinum á bedingini[da.bedingsmester]
bedingsvognur	(tøkni)vognur til at seta skip og bátar ið verða tikin upp á beding á[da.bedingsvogn]
beinka	(handv.)gera beinanel.beinari, beina (1),beinka skeivleikar
bekt	(teld.)fleiri atgerðir gjørdar í einum[da.batch,en.batch]
bektfíla	(teld.)fíla grundað á bekt[da.batchfil,en.batch file]
bektkoyrsla	(teld.) [da.batchkørsel]
belti	1(landafr.)smalt avlangt øki við felags eyðkennum(gróðri o.tíl.),veðurlagsbelti,jørðin verður býtt í fimm belti, eftir sum varmin er til[da.bælte]2(húsasm.)vatnrøtt lekt millum undir- og yvirsyll(at negla í);sbr.álag
beltisakfar	(tøkni)akfar útgjørt við ketuhjólum ið kann koyra í ójøvnum lendi[da.bæltekøretøj,en.caterpillar vehicle]
beltisrikin	(tøkni)(um akfar)útgjørdur og rikin við ketuhjólum[da.bæltedreven]
beltistraktorur	(tøkni)traktorur útgjørdur og drivin við ketuhjólum[da.bæltetraktor (?)]
bensin	(tøkni)sera eldfimur løgurserst.nýttur til brennievni í motorum[da.benzin,en.petrol]
bensindunkur	(tøkni)dunkur til bensin[da.benzindunk,en.petrol can]
bensinmálari	(tøkni)(á akfari)tól ið mátar nøgd av bensini í tanganum[da.benzinmåler,en.fuel indicator]
bensinmotorur	(tøkni)motorur drivin við bensini[da.benzinmotor,en.petrol engine]
bensinpumpa	(tøkni)pumpa til at leiða bensin úr bensintanga yvir í motor[da.benzinpumpe,en.petrol pump]
bensinrikin	(tøkni)ið gongur við bensini[da.benzindreven]
bensinstøð	(tøkni)støð sum selur bensin, oljuo.a.[da.benzinstation,en.filling station, service station]
bensintangi	(tøkni)tangi 2 til bensin(t.d.á bátiel.bili)[da.benzintank,en.fuel tank]
bergkrystall	(jarðfr.)glært krystallað kvarts[da.bjergkrystal,en.rock crystal, quartz]
berglop	(jarðfr.)omanlop úr bergi, lop (2)
beribjálki	(húsasm.)burðarbiti[da.bærebjælke,en.girder]
