daggrýti	(jarðfr.)storknað groyti beint undirel.oman á jarðaryvirflatanum(t.d. rhyolitt, andesitt, basalt)(JR Øldir61)[da.dagbjergart]
daljøkul	(jarðfr.)skriðjøkul í dølum[da.dalgletscher]
dampketil	(tøkni)guvuketil[da.dampkedel,en.(steam) boiler]
dampmaskina	(tøkni)guvumaskina[da.dampmaskine,en.steam engine]
dampturbina	(tøkni)turbina drivin við guvutrýsti[da.dampturbine,en.steam turbine]
dálking	(tøkni)óreinskan av náttúru og umhvørvi, óreinsking[da.forurening,en.pollution]
dáta	(teld.)upplýsing til viðgerðar við teldu[da.data,en.data]
dátubygnaður	(teld.)tað hvussu dátueindir eru skipaðar eftir roynveruligum P|el.| skilvísum sambandi teirra[da.datastruktur,en.data structure]
dátufrøði	(teld.)teldufrøði, teldarfrøði[da.datalogi,en.computer science]
dátufrøðingur	(teld.)teldufrøðingur[da.datalog]
dátugrunnur	(teld.)skipað savn av dátum goymt í teldu(so at lætt er at finna og viðgera tær),dátustovnur[da.database,en.data base]
dátugrunsforrit	(teld.)forrit til at umsita dátugrunn[da.databaseprogram]
dátusamskifti	(teld.)samskifti við dátum[da.datex,en.data exchange]
dátustovnur	(teld.)dátugrunnur[da.database,en.data base]
dátutól	(teld.)telda[da.computer,en.computer]
dátuviðgerð	(teld.)elektronisk viðgerð av stórum nøgdum av dátum við teldu[da.databehandling,en.data processing]
deila	(støddfr.)býta[da.dividere,en.divide]
deilari	(støddfr.)tal sum annað tal verður deilt við,deila vit 10 við 5, so er 5 deilari[da.divisor,en.divisor]
deildstovnur	(støddfr.)tal sum verður deiltel.býtt við øðrum tali[da.dividend,en.dividend];sbr.deilari
deildtal	(støddfr.)tal sum er úrslit av deiling[da.kvotient,en.quotient]
deiling	(støddfr.)tað at deila 3(2)[da.division,en.division]
deilingarmerki	(støddfr.)tekn fyri deiling 2, býtitekn
deiliskinnari	(ravm.)skinnari ið deilir sundur streymveitingina
dekk	1(húsasm.)flati (stoyptur P|el.| úr stáli) sum skil ímillum tvær hæddir(t.d. í stórum bygningum)[da.dæk]2(tøkni)(á akfari)gummiverja á hjóli[da.dæk,en.tyre];sms. t.d.bil-,fram-,kava-,píka-
