edikssýra	(evnafr.)lívrunnin sýra nýtt í ídnaði og til heilivág(teknCH3COOH)[da.eddikesyre,en.acetic acid]
eftirfiltur	(tøkni) [da.efterfilter, sekundærfilter,en.secondary filter]
eftirfyllingarskipan	(oljuv.)skipan fyri hvussu fylt verður á aftur P|t.d.| oljutanga[da.efterfyldningssystem,en.trip tank system]
eftirlit	(byggiv.)umsjón, tilsjón, eftiransan[da.inspektion,en.inspection];sms. t.d.innan-,skipa-,trygdar-
eftirlitseind	(tøkni) [da.kontrolenhed,en.control unit]
eftirlitsfelt	(tøkni) [da.kontrolfelt,en.control section]
eftirlitsháttur	(tøkni)háttur at hava eftirlit við e-m[da.kontrolmetode,en.controlling method]
eftirlitsmyndugleiki	(tøkni)myndugleiki ið hevur eftirlit við e-m og sær til at alt fer fram sum fyriskrivað[da.tilsynsmyndighed,en.regulatory authority]
eftirlitspunkt	(tøkni)punkt (stað, støða) har ið e-t verður kannað[da.kontrolpunkt,en.check point]
eftirlitstorn	(tøkni)høgur glasbygningur í floghavn haðan eftirlit verður havt við flogferðsluni og hon verður stýrd[da.kontroltårn,en.control tower]
eftirlitsútgerð	(tøkni)útgerð til at hava eftirlit við e-m við[da.kontroludstyr,en.control equipment]
eftirlitsventilur	(tøkni)ventilur til at hava eftirlit við e-m við[da.kontrolventil,en.register]
eftirmeta	meta um eftir at e-t er farið fram(t.d. námskeið)[da.evaluere,en.evaluate]
eftirmeting	tað at eftirmeta(t.d. námskeið)[da.evaluering,en.evaluation) [eftirmeting leiðslunnar[da.ledelsens evaluering,en.management evaluation]
eftirskjálvti	(jarðfr.)lítil jarðskjálvti eftir sjálvan (høvuðs)jarðskjálvtan
eftirtendring	(tøkni) [da.eftertænding]
eftirviðgerð	(handv.)tað at javna P|el.| slætta e-t, slætting[da.afretning,en.adjusting]
eggjahvítaevni	(lívfr.,evnafr.)lívrunnin evnasambinding av karboni, vetni, súrevni, køvievni og nakað av svávuli(týdningarmikil grundstovnur í øllum livandi verum),protein[da.protein,en.protein]
eggklingra	(støddfr.)afturlatin rás har ið samløgan av frástøðuni hjá hvørjum punkti til tvey føst punkt (brennideplar) er støðug(avlangur rundingur líkur eggi),ellipsa[da.ellipse,en.ellipse]
egintelda	(teld.)telda ætlað einum nýtara(í senn)[da.PC,en.personal computer, PC]
