fakligur	(tlm.)viðv. faki, yrkisligur[da.faglig,en.professional]
fald	(støddfr.)úrslit í falding,valdur ferðir vald er fald[da.produkt,en.product]
falda	(støddfr.)gera mangar ferðir fleiri,fimm faldað við níggjufimm ferðir níggju[da.multiplicere,en.multiply];sms. t.d.fer-,fimm-,fjór-,fleir-,marg-,trí-,tví-
faldari	(støddfr.)tal ið annað tal verður faldað við,í døminum 3 x 5 er 3 faldstovnur og 5 faldari[da.multiplikator,en.multiplier]
falddjúpgrýtingur	(jarðfr.)djúpgrýtingur á faldfláum[da.fakolit]
faldeind	(alisfr.)eind gjørd úr grundeind við at falda við e-m veldi av 10(t.d.km, dm, cm, mm úr eindini m)
faldfjøll	(jarðfr.)fjøll vorðin til við falding 1(2)[da.foldebjerge]
faldhurð	(húsasm.)hurð ið verður latin upp og aftur við samanfalding(eins og harmonika)[da.foldedør,en.folding door]
falding1	(jarðfr.)tað at fláir í jarðarskorpuni skjótast av at verða samanstúgvaðar tá ið fjallagarður við faldfjøllum verður til[da.foldning,en.folding]
falding2	(støddfr.)tað at falda 2[da.multiplikation,en.multiplication]
faldingarmerki	(støddfr.)merki ið sigur frá at tøl verða faldað[da.multiplikationstegn,en.multiplication sign]
faldingartalva	(støddfr.)talva við úrslitum av faldingarmøguleikum av tølum(lítla faldingartalvan við tølum frá 1 til 10 ið eru faldað hvørt við øðrumog stóra faldingartalvan við tølum frá 11 til 20 faldaðum við tølum frá 1 til 10);sífaldari,faldstovnurogfald[da.multiplikationstabel,en.multiplication table]
faldiregla	(støddfr.)regla viðv. falding(t.d.í líkindarokning)[da.multiplikationsprincip]
faldstovnur	(støddfr.)tal ið verður faldað við øðrum tali,í døminum 3 x 5 er 3 faldstovnur og 5 faldari[da.multiplikand,en.multiplicand]
faldur	(jarðfr.)høgur fjallaryggur og samsvarandi dalur(íkomin við falding 1(2))
fallferð	(alisfr.)ferð ið e-t fellur við[da.faldhastighed,en.speed of falling]
fallhamari	(tøkni)tól við fallloddum til at sláa pelar niður í jørðina við, rambukkur[da.rambuk,en.pile driver]
fallhjálmur	(tøkni)hjálmur at verja fyri falli(serst. av (motor)súkklu)[da.styrthjelm,en.protective helmet]
fallhædd	(alisfr.)fall ið e-t fellurel.dettur[da.faldhøjde,en.drop]
falllodd	(tøkni)lodd á fallhamri, rambukskubbi[da.rambukklods,en.pile hammer, ram]
fallrør	(rørsm.)rør ið leiðir regnvatn niður úr takrennu[da.nedløbsrør,en.downpipe]
fallstokkur	(rørsm.)frárenslrør loddrætt[da.faldstamme]
fallstykki	(húsasm.)(í gl. húsum)fjøl sett millum bitarnar í gloppið millum yvirsyll og loft(FA424, 18)
falsa	1(handv.)gera falst.d.á blikkplátu[da.false,en.rabbet]2(bókb.)bróta og leggja saman ark[da.false,en.fold]
falshøvil	(handv.)høvil til at gera fals við;sbr.fellingarhøvil, sýlingarhøvil[da.falshøvl]
falsur	1(handv.)kantur, foyra sum e-t fellur inní (t.d.durafalsur), (dura)geykn, groyping[da.fals,en.rabbet]2(bókb.)brot (á samanløgdum arki)[da.fals,en.fold]
farhøll	(tøkni)høll í floghavn har ið ferðafólk sum skulu uttanlands P|el.| millumlenda kunnu halda til[da.transithal,en.transit shed]
farkleiv	(ravm.)ravmagnsstyrkjari við minst trimum pólum til nýtslut.d.í útvarpslurtum í staðin fyri rør, transistari[da.transistor,en.transistor]
farmynd	(støddfr.)farstrika[da.kurve,en.curve]
farstrika	(støddfr.)strika ið myndar tilgongdel.talvirði í líkning, farmynd[da.kurve,en.curve]
fartelda	(teld.)telda ið ein fær havt við sær, berandi telda[da.bærbar computer, portabel computer,en.portable computer, lap top computer]
fasa	(ravm.)tilvildarlig støða í eini skipan av sveiggingum í mun til aðra skipan[da.fase,en.phase, bevel]
fasing	(ravm.) [da.fasing,en.bevelling]
fastadepil	(tøkni)støði á máliskala P|el.| við málingar, fastapunkt[da.fikspunkt]
fastalinju-	(tøkni)sum stendur í beinum sambandi við miðstadda teldu[da.online,en.on line]
fastalinjusamband	(teld.)støðugt samband P|el.| støðug íbinding í P|t.d.| internet[da.onlineforbindelse]
fastalinjuskipan	(teld.)beinleiðis fast samband um teldu- P|el.| telefonnet, álinjuskipan[da.onlinesystem]
fastalykil	(handv.)slag av skrúvilykli ið ikki kann stillast, gaffillykil[da.gaffelnøgle,en.open end spanner]
fastapunkt	(tøkni)fastadepil[da.fikspunkt]
fastatal	(støddfr.)óbroytt tal[da.koefficient,en.coefficient]
fasuspennbroytil	(ravm.) [da.fasetransformator,en.phase transformer]
fasuspenningur	(ravm.) [da.fasespænding,en.phase voltage]
fasustreymur	(ravm.) [da.fasestrøm,en.phase current]
fasustýring	(ravm.) [da.fasestyring,en.phase control]
fasutvørmát	(ravm.)?tvørmát í eini fasu[da.fasdiameter,en.bevel diameter]
fasuumbroytil	(ravm.) [da.faseomformer,en.phase converter]
fasuvending	(ravm.) [da.fasevending,en.phase inversion]
fasuvinkul	(ravm.) [da.fasevinkel,en.phase angle]
fasuvinkulreiðlag	(ravm.) [da.fasevinkelrelæ,en.phase angle relay]
fatningur	(ravm.)haldari (1) við skrúvugangi til at seta ljósperu fasta í[da.fatning,en.socket]
fán	(alisfr.)umbroyting í geislavirknum evni(sagt um geislavirkin evni: evnið fánar, fáningartal, fáningarlóg)[en.decay]
feilur	brek, mislag[da.fejl,en.defect]
feitt	(evnafr.)1føðsluríkt lívrunnið evni ít.d.tálg, spikio.tíl., fitievni í mati, fiti (1)2oljukent kleimið evni(til at smyrja maskinlut, tól o.tíl. við);sms. t.d.steiki-,svína-[da.fedt]
feittpressa	(tøkni) [da.fedtpresse,en.grease gun]
felagsmál	(løgfr.)(í heimastýrislógini frá 1948)mál(søki) ið eftir samráðingar kann verða yvirtikið undir føroyska fyrisiting[da.fællesanliggende,en.joint matter];sbr.sermál
felagsmongd	(støddfr.)mongd av lutum sum eru bæði í mongdini A og í mongdini B[da.fællesmængde,en.intersection]
felagsnevnari	(støddfr.)samnevnari[da.fællesnævner,en.common denominator]
felga	(tøkni)(á akfari)jarnringur á hjóli sum dekk (4) er spent uppá, gjørð, hjólgjørð[da.fælg,en.rim]
felling	(handv.), sýling[da.sinkeforbindelse]
fellingarhøvil	(handv.), sýlingarhøvil[da.grathøvl]
fellingartappur	(handv.), sýlingartappur[da.sinketap]
fellingaveggur	(húsasm.)veggur samansettur av liðum(nýttur til at býta stór rúm sundur í smærri rúm)[da.foldevæg]
fenol	(evnafr.)eitrandi og etjandi evni (nýtt til at gera plast við), karbol(teknC6H5OH)[da.fenol]
ferðgevi	(tøkni)(í akfari)útbúnaður at eyka ferðina við(P|t.d.| føtil at stíga á),skyndil, spitari[da.speeder,en.accelerator]
ferðmátari	(tøkni)tól ið mátar ferð hjá akfari(verður víst í km/t)[da.fartmåler, speedometer,en.speedometer]
ferðtálmi	(tøkni,byggiv.)ryggur tvørtur um veg til at tálma ferð á akførum[da.fartdæmper]
ferðøking	(alisfr.)dik[da.acceleration,en.acceleration]
ferging	(jarðfr.)tað at grótsløg verða trýst saman av jarðløgumel.jarðrøringum og gerast tættari[da.kompaktion]
ferhyrningur	(støddfr.)flati við fýra hornum, fjórhyrningur, fýrhyrningur, fýrkantur[da.kvadrat,en.square]
ferhyrntur	(støddfr.)fjórhyrntur, fýrhyrntur, fýrkantaður[da.kvadratisk,en.square, quadratic]
fermetur	(støddfr.)ein metur í fýrkant, m²[da.kvadratmeter,en.square meter]
fermingarboya	(oljuv.) [da.lastebøje]
fermingarpumpa	(tøkni)pumpa til at ferma við[da.lastepumpe,en.loading pump]
fermingarventilur	(tøkni) [da.lasteventil,en.loading valve]
ferrót	(støddfr.)onnur rót,ferrótin av 9 er 3;sbr.rót (8)[da.kvadratrod,en.square root]
ferstevamotorur	(tøkni)brennimotorur har ið innsúgving og útblástur verða stillað við ventilum[da.firtaktsmotor,en.four-stroke engine]
festiboltur	(tøkni)boltur til at festa e-t við[da.fæstebolt,en.tie-down bolt]
festidós	(ravm.), íbindingardós[da.samledåse,en.electrical box, junction box]
filtra	(tøkni)síla[da.filtrere,en.filter]
filtsa	(handv.)pussa við filtsibretti[da.filtse]
filtsibretti	(handv.)bretti klætt við filti til at fínpussa múr við[da.filtsebræt]
filtsing	(handv.)tað at filtsa P|el.| tað ið filtsað er
filtur	(tøkni)tilfar P|el.| tøkniligur útbúnaður ið heldur aftur P|el.| savnar saman P|t.d.| smálutir úr vætu P|el.| skitt frá royki[da.filter,en.filter]
