gadesja	(handv.) [da.,en.]
gaffillaðari	(tøkni)gaffilstáplari[da.gaffelstabler]
gaffillyftari	(tøkni)gaffiltrukkur[da.gaffeltruck,en.fork-lift truck]
gaffillykil	(handv.)fastalykil[da.gaffelnøgle,en.open end spanner]
gaffilstáplari	(tøkni)slag av gaffiltrukki ið stáplar upp, gaffillaðari[da.gaffelstabler]
gaffiltrukkur	(tøkni)akfar við gaffillíkum lyftiamboð framman(til flutning og til at stápla upp við),gaffillyftari[da.gaffeltruck,en.fork-lift truck]
gaffilvognur	(tøkni)handdrigin vognur við gaffilskapaðari burðarskipan til at lyfta og flyta góðs[da.gaffelvogn]
gagnnýti	(teld.)gagnlig ávirkan P|el.| nytta[da.nyttevirkning]
gagntíð	(teld.)nýtslutíð[da.nyttetid]
galvanisera	(handv.)sinka 2[da.galvanisere,en.electroplate]
galvaniseraður	(handv.)lagdur við sinki, sinkaður[da.galvaniseret,en.galvanized]
galvanisering	(handv.)sinking[da.galvanisering,en.electroplating]
galvkvistur	(húsasm.)breiður kvistur ið reisist ájavnt við framsíðuna og fevnir um fleiri vindeygafak(ofta settur yvir miðjuni á húsinum)[da.gavlkvist]
galvsperrupar	(húsasm.)sperrupar við fleiri loddstavum ið kunnu mynda undirstøði undir skjaldrarklæðing[da.gavlspærfag]
galvtak	(húsasm.)tak yvir kvistiel.skreytgalvi við ongum gumpi[da.gavltag]
galvur	(húsasm.)endaveggur á húsi,frá galvi til gátt(ar)um alt húsið,tá fleyt frá galvi til gátt(ar)(av óruddi);(skaldsk.)innan galvs og gáttainnanveggja;innast á galvi í koyggjurúminum(í innara endanum);sbr.roysni 2(1)
gammageislar	(evnafr.)ravsigulgeislar úr geislavirknum evni(serst. atomkjarnum í broyting)
gass	(evnafr.)1loftevni, evni í luftformi(t.e. móts. føstum og flótandi formi)2gass við serligari útsjóndel.lukti,gass kemur upp úr jørðini3brennandi luftslag(m.a. nýtt til ljós og hita),nýta gass4eitrað luftslag, eiturgass(m.a. at nýta í kríggi)[da.gas,en.gas];sms. t.d.eitur-,jarð-,tára-
gassa	(tøkni)geva gass frá sær,bilurin gassar so illa[da.gasse,en.gas]
gassavbrenning	(tøkni,oljuv.)tað at brenna gass ið ikki verður nýtt[da.gasafbrænding,en.flaring]
gassbetong	(byggiv.)betong har ið luft er førd inn undir eini evnafrøðiligari mekaniskari tilgongd so at evnistyngdin gerst minni[da.gasbeton]
gassbetongelement	(byggiv.)veggjaelement úr gassbetongi(gjørd samsvarandi veggjahædd)[da.gasbetonelement]
gassbetongpláta	(byggiv.)pláta úr gassbetongi(nýtt sum skilaveggur og bakmúrur)[da.gasbetonplade]
gassbrennari	(tøkni,rørsm.)lampa, ovnur P|o.tíl.| ið brennir gass (3)[da.gasbrænder,en.gas burner]
gassbrunnur	(tøkni,oljuv.)brunnur við gassi[da.gasbrønd,en.gas well]
gassfeingi	(jarðfr.)nøgd av gassi ið er til taks(serst. í náttúruni)[da.gasressource,en.gas resources]
gassfløska	(tøkni)fløska (2) til at goyma gass (3) í[da.gasflaske,en.gas cylinder]
gassframleiðslubrunnur	(tøkni)framleiðslubrunnur í gassframleiðslu[da.gasproduktionsbrønd,en.gas production well]
gassfýr	(tøkni)ovnur við gassi sum brennievni[da.gasfyr]
gassfølari	(tøkni,oljuv.)útbúnaður ið skrásetur og sendir boð um gassfundir[da.gasføler,en.gas sensor]
gassgeri	(tøkni,oljuv.)geri rikin við gassi[da.gasgenerator,en.gas generator]
gassgreiningartól	(tøkni,oljuv.)greiningartól til gass[da.gasanalysator,en.gas analyser]
gasshitari	(tøkni,oljuv.)hitatól ið nýtir gass sum brennievni[da.gasvarmer,en.gas heater]
gassinnlegging	(ravm.)tað at leggja inn gass (í hús)[da.gasinstallation,en.gas installation (?)]
gassinnspræning	(tøkni)innspræning við gassi[da.gasinjektion,en.gas injection]
gassinnspræningarbrunnur	(tøkni)brunnur sum gass verður sproytað inn í[da.gasinjektionsbrønd,en.gas injection well]
gassinnspræningarskipan	(tøkni,oljuv.)skipan hvussu gass verður sprænt inn í e-t[da.gasinjektionssystem,en.gas injection system]
gasskompressari	(tøkni)kompressari drivin við gassi[da.gaskompressor,en.gas compressor]
gasskrani	(tøkni,rørsm.)krani á P|t.d.| gassfløsku[da.gashane,en.gas cock]
gasskølari	(tøkni)tól P|el.| útbúnaður ið kølir niður gass[da.gaskøler,en.gas cooler]
gasskøling	(tøkni)tað at køla gass P|el.| halda gassi køldum[da.gaskøling,en.gas cooling]
gassleiðing	(tøkni)rør(skipan) til at flyta gass langan veg, gassveiting[da.gasledning,en.gas line]
gassleiting	(jarðfr.)leiting eftir gassi[da.gaseftersøgning]
gassliftmodul	(oljuv.) [da.gasliftmodul,en.gas lift module]
gasslogi	(tøkni)logi í gassbrennara[da.gasflamme,en.gas flame]
gasslummi	(tøkni)øki í størri øki har ið gass er[da.gaslomme,en.gas pocket]
gasslyftari	(tøkni)slag av lyftara drivin við gasstrýsti[da.gasløfter,en.gas lift]
gassmálari	(tøkni)útbúnaður ið skrásetur nýtta gassnøgd[da.gasmåler,en.gas meter]
gassmáling	(tøkni)tað at mála nýtta gassnøgd[da.gasmåling,en.gas metering]
gassmóttakari	(tøkni)tól P|el.| útbúnaður ið tekur ímóti gassi[da.gasmodtager,en.gas receiver]
gassmyndan	(tøkni,oljuv.)tað at gass myndast P|el.| gerst[da.gasdannelse,en.gas emission]
gassolja	(tøkni)serst. slag av brenniolju[da.gasolie]
gassovnur	(tøkni)ovnur sum brennir gass (3)[da.gasovn,en.gas oven]
gassrørleiðing	(tøkni,oljuv.)rørskipan til at flyta gass langan veg;sbr.gassleiðing, gassveiting[da.gasrørledning,en.gas pipeline]
gassskipan	(tøkni)skipan til gass[da.gassystem,en.gas system]
gasssperra	(tøkni,oljuv.)útbúnaður nýttur til at forða fyri at dálking av gassi breiðir seg[da.gasspærre,en.fire seal]
gassspjaðari	(tøkni)útbúnaður ið fær gass at spjaðast og tynnast[da.gasspreder,en.gas diffuser]
gassspreinging	(tøkni)spreinging ið stendst av gassi P|el.| gassleka[da.gaseksplosion,en.gas esplosion]
gassstilliskipan	(tøkni)stilliskipan til gassveiting[da.gasreguleringssystem,en.gas control system]
