jaðarmorena	(jarðfr.)morena úti í jaðara[da.sidemoræne,en.lateral moraine]
jarðalisfrøði	(alisfr.)vísindi um alisfrøðilig viðurskifti í jarðarknøttinum[da.geofysik,en.geophysics]
jarðalisfrøðiligur	(jarðfr.)viðv. jarðalisfrøði[da.geofysisk,en.geophysical) [jarðalisfrøðiligar kanningar[da.geofysiske undersøgelser,en.geophysical surveys]
jarðalisfrøðingur	(jarðfr.)ein ið er lærdur í jarðalisfrøði[da.geofysiker,en.geophysicist]
jarðarfiti	(jarðfr.)slag av bleytum leirgrýti ið kann súgva fiti í seg(nýtt til tøvingar),jarðfiti[en.montmorillonite]
jarðarhiti	(jarðfr.)hiti í jørðini
jarðarkápa	(jarðfr.)kápa (8)[en.mantle]
jarðarkjarni	(jarðfr.)tað innasta í jørðini, kjarni (2)[da.jordkerne]
jarðarskorpa	(jarðfr.)ytsta lag á jørðini (1)(5-70 km tjúkt)[da.jordskorpe,en.the earth's crust]
jarðarsøga	(jarðfr.)jarðfrøðiliga søgan hjá jørðini,jarðarsøgan er býtt sundur í øldir(JR Øldir12)[da.jordens historie]
jarðbik	(jarðfr.)tjúkk bikkend evja ið verður til úr lívrunnum tilfari djúpt niðri í jørðini, asfalt[da.asfalt,en.asphalt]
jarðbundin	(ravm.)við jarðsambandi
jarðelviligur	(jarðfr.)jarðelviligur myndil[da.geodynamisk]
jarðevnafrøði	(jarðfr.)vísindagrein sum kannar evnini í jørðini, samanseting teirra og ringrás í náttúruni(mineralogia) [da.geokemi]
jarðfiti	(jarðfr.)jarðarfiti[da.blegejord, valkejord,en.montmorillonite]
jarðfrøði	(jarðfr.)vísindagrein um jarðarskorpuna, steinsløg í henni og upphav hennara[da.geologi,en.geology]
jarðfrøðiligur	(jarðfr.)viðv. jarðfrøði[da.geologisk,en.geologic(al)]
jarðfrøðingur	(jarðfr.)ein ið er lærdur í jarðfrøði[da.geolog,en.geologist]
jarðgass	(jarðfr.)gass úr jørðini[da.naturgas,en.natural gas]
jarðgoymsla	(oljuv.)goymsla (av olju) í jørðini[da.reservoir,en.reservoir]
jarðgrøni	(jarðfr.)grønjørð[da.grønjord]
jarðkaðal	(ravm.)kaðal grivin í jørð[da.?jordkabel]
jarðlag	(jarðfr.)lag í jørðini, flógv, lind[da.jordlag,en.stratum of earth]
jarðleiðing	(ravm.)leiðing ið gevur jarðsamband[da.jordledning,en.earth (wire)]
jarðlendisfrøði	(jarðfr.)læra um ymisháttað lendi og landsløg[da.geomorfologi]
jarðmótstøða	(tøkni,ravm.)ravmagnsmótstøða í jarðleiðing, jørðingarmótstøða[da.jordingsmodstand]
jarðrøring	(jarðfr.)rørslurel.smáskjálvtar í jørðini
jarðsamband	(ravm.)samband hjá ravmagnsleiðing við jørð, jørð[da.jordforbindelse,en.earthing connection]
jarðskjálvtafrøði	(jarðfr.)vísindi um jarðskjálvta(seismologia)
jarðskjálvti	(jarðfr.)brádligar ristingar í jarðarskorpuni(elvdar av jarðrøringum),landskjálvti[da.jordskælv,en.earthquake]
jarðspjót	(tøkni,ravm.)metalstong sett í jørðina fyri at skapa jarðsamband til ravmagnsinnlegging[da.jordspyd]
jarn	(evnafr.)metal vunnið úr jarnmálmi(frumevni, teknFe, t.e.ferrum)[da.jern,en.iron]
jarnbetong	(byggiv.)betong við ístoyptari jarnstyrking[da.jernbeton,en.reinforced concrete, ferro-concrete]
jarnbetongdekk	(byggiv.)betongdekk við jarnstyrking[da.jernbetondæk]
jarnbinda	1(handv.)(í stoyping)binda jarn saman til at styrkja betong við2(handv.)(í lendi)binda jarn fyri til at darva omanskrið,hann jarnbant benið omanfyri3(húsasm.)festa við jarnbindi,har kirkjan var jarnbundin, helt
jarnbindi	(húsasm.)jarn úr syllel.hornastólpa niður í grundel.stein,jarnbindi var á húsinum
jarnbreyt	(tøkni)breyt av skinnarum 1(2) til tok og onnur jarnbreytarfør at koyra eftir[da.jernbane,en.railway]
jarnbreytarfar	(tøkni)far sum koyrir eftir jarnbreyt, tok[da.tog,en.train]
jarnbreytarferja	(tøkni,skip.)ferja ið flytur jarnbreytarfør[da.jernbanefærge]
jarnbreytargarður	(tøkni)jarnbreytarstøð, tokstøð[da.jernbanestation,en.railway station]
jarnbreytarlunnur	(tøkni)breyt av stálskinnarum til tok at koyra eftir[da.jernbaneskinne,en.rail]
jarnbreytarstøð	(tøkni)farstøð fyri tok har tey steðga og ferðafólk og farmur verða avgreidd, tokstøð[da.jernbanestation,en.railway station]
jarnbreytartok	(tøkni)tok[da.tog,en.train]
jarnbreytarvognur	(tøkni)farma-el.ferðafólkavognur í (jarnbreytar)toki, tokvognur[da.jernbanevogn,en.railway carriage]
jarnbrot	(tøkni)jarnstongt.d.til at loysa grót við, jarnstykki;sbr.træbrot[da.løftestang, brækstang,en.lever, pry bar]
jarnídnaður	skipað framleiðsla úr jarni[da.jernindustri,en.iron industry]
jarnlagdur	(handv.)lagdur við jarni[da.jernslået]
jarnnagli	(handv.)nagli av jarni[da.?jernsøm]
jarnpláta	(handv.)pláta av jarni[da.jernplade]
jarnsag	(handv.)sag til at saga jarno.tíl.við[da.nedstryger,en.hacksaw]
jarnseymur	(handv.)seymur (2) av jarni[da.jernsøm]
jarnsmiðja	smiðja[da.smedje,en.forge, smithy (?)]
jarnsmiður	smiður sum smíðar jarn, smiðjumaður
jarnsmíð	(handv.)tað at smíða jarn
jarnverk	(handv.)rimaverk úr jarni fram við trappum, pøllumel.svølum
jaspis	(jarðfr.)óskyggið steinslag(reytt, brúnt el. grønt á liti)[da.jaspis,en.jasper]
javnaðarmerki	(støddfr.)merki um at tvey tøl eru javnstór (=), javnatekn[da.lighedstegn,en.equals sign]
javnaður	(støddfr.)tað at tvey tøl eru javnstór
javnatekn	(støddfr.)tekn ið vísir at tøl, mongdirel.tíl.eru javnstór, teknið =, javnaðarmerki[da.lighedstegn,en.equals sign]
javnbeintur	(støddfr.)(um tríkant)við tveimum javnlongum síðum
javnfirringur	(støddfr.)ikki rætthyrntur ferhyrningur við javnfjarum síðum[da.parallelogram,en.parallelogram]
javnflyta	(støddfr.)flyta allar lutir í punktmongd líka langt og sama veg[da.parallelforskyde]
javnflyting	(støddfr.)tað at javnflyta[da.parallelforskydning]
javnhyrntur	(støddfr.)við javnstórum hornum (14)
javnindi	(teld.)sama umboðan av ymsum pørtum[da.paritet]
javningardynamo	(ravm.)dynamo ið javnar út streym, javningarmáttul[da.udligningsdynamo]
javningarmáttul	(ravm.)javningardynamo[da.udligningsdynamo]
javningarventilur	(tøkni) [da.udligningsventil,en.equalizing valve]
javnsíðaður	(støddfr.)(um tríhyrning)við øllum síðum javnlongum
javnspenningur	(ravm.)javnur ravmagnsspenningur(máldur í voltum)[da.jævnspænding (?),en.direct voltage]
javnstreymskervi	(tøkni,ravm.)kervi við javnstreymi[da.jævnstrømssystem,en.direct current system]
javnstreymsmálari	(tøkni,ravm.)tól ið málar javnstreym[da.jævnstrømsmåler,en.direct current meter]
javnstreymsmotorur	(tøkni)motorur drivin við javnstreymi[da.jævnstrømsmotor,en.direct current motor]
javnstreymsskinnari	(tøkni,ravm.) [da.jævnstrømsskinne,en.direct current bar]
javnstreymur	(ravm.)einstevndur ravmagnsstreymur,móts.vendistreymur[da.jævnstrøm,en.direct current]
javntøkur	sum samsvarar heilt við e-t annað, er eins, allíkur, einsháttaður,hesar báðar merkingarnar eru javntøkar;(støddfr.)javntøkir formar[da.kongruent,en.congruent]
javnvág	1(alisfr.)tað at tveir lutir viga tað sama, javni, javnvøga,tá ið pílurin varð gjørdur, funnu teir javnvágina á honum við at viga hann á knívseggini2(búsk.)partur av ársroknskapi hjá fyritøku har ið ogn og skuld verða uppgjørd, javni (3), munur (5)[da.balance,en.balance]
javnvágarpunkt	(tøkni)punkt har ið javnvág verður hildin[da.balancepunkt,en.balance point]
javnvágarventilur	(tøkni)?ventilur ið heldur javnvág í skipan[da.balanceventil,en.balance valve]
javnvirði	(ravm.)e-t ið svarar til e-t annað við P|t.d.| somu stødd, vekt, orkunøgd P|el.| virði[da.ækvivalens,en.equivalence]
javnvøgan	(tøkni)?tað at fáa javnvág í[da.stabilisering,en.stabilization]
javnvøgustillari	(tøkni)?tól ið stillar javnvágina[da.stabiliseringsindstiller,en.quadrature droop adjuster]
javnvøgutangi	(tøkni) [da.stabilisatortank]
javnvøguútbúnaður	(tøkni)1(á skipi)útbúnaður ið forðar fyri at farið rullar í ringum sjógvi2(á flogfari)róður ið tryggjar at javnvágin verður hildin[da.stabilisator,en.stabilizer]
jeppur	sterkt bygdur bilur við drivi á øllum hjólum[en.jeep]
jettmotorur	(tøkni)trýstluftsmotorur[da.jetmotor, reaktionsmotor,en.jet engine]
jod	1(evnafr.)fast evni døkt á liti(frumevni, teknIel.J)[da.jod,en.iodine]2evni nýtt til at reinsa sár við,tað vanliga jodið er jod sum er loyst upp í spritti
joule	(alisfr.)mátingareind fyri orku, jul(teknJ, 1 J = 0,239 kaloria)
jólatræ	(oljuv.,skemt.)(á oljuboripalli)[da.juletræ,en.christmas tree];sbr.ventiltræ
jón	(alisfr.)atomel.mýl við ravmagnsløðing
jóna	(alisfr.)klúgva í jón
jóning	(alisfr.)tað at jóna[da.ionisering,en.ionization]
jul	(alisfr.)joule
jøkul	(jarðfr.)vítt øki við tjúkkum ísiel.harðfrystum kava(hvørvur ikki um summarið)[da.gletscher,en.glacier];sms. t.d.skrið-
jøkulá	(jarðfr.)á sum rennur undan jøkli[da.bræelv]
jøkulborin	(jarðfr.)sum jøkul hevur borið við sær,jøkulborin legugrýti
jøkulgarður	(jarðfr.), morenubøklingar[da.randmoræne]
jøkulmorena	(jarðfr.) [da.randmoræne]
jøkulrák	(jarðfr.)foyra í grótslag komin við at steinur frystur fastur í íshópi er gliðin tvørtur yvir fast undirlag[da.skurestribe,en.glacial striae]
jøkulsprunga	(jarðfr.)djúp riva í jøkli[da.gletscherspalte,en.crevasse]
jørð	(ravm.)jarðsamband,binda í jørð[da.jordforbindelse,en.earth connection]
jørðing	(ravm.)leidningssamband til jørð[da.jording,en.earthing]
jørðingarmótstøða	(tøkni)jarðmótstøða[da.jordingsmodstand,en.earthing resistor]
jørðkápil	(tøkni,ravm.)kápil til jørð[da.jordkabel,en.earthing cable]
jørðleiðari	(tøkni,ravm.)leidningur ið leiðir til jørð[da.jordleder,en.earth conductor]
jørðskinnari	(ravm.)skinnari til jørðkápil[da.jordingsskinne (?),en.earthing bar]
jørðskrúva	(tøkni,ravm.)skrúva ið gevur jørðsamband[da.jordingsskrue,en.earthing screw]
