kaðal	(ravm.)ravmagnsleidningur við tjúkkari bjálving uttanum(serst. at leggja í jørðina el. í vatn),kápil (1)[da.kabel,en.cable]
kaðalbakki	(ravm.)vatnrættur stálbakki ið ber ravmagns-, telefon- og teldukaðalar o.a.[da.kabelbakke]
kaðalbering	(ravm.)útbúnaður til at bera kaðali uppi
kaðalbrúgv	(ravm.) [da.kabelbro,en.electrical ladder]
kaðalrás	(ravm.)1leið sum sjókaðal liggur[da.kabeltracé]2plastkassi við loki har ið ravmagnsleidningar verða lagdir[da.kabelkanal,en.wiring channel]
kaðalrenna	(ravm.
kaðalstigi	(ravm.
kaffievni	(evnafr.)koffein[da.koffein,en.caffeine]
kaldgalvanisera	
kaldsmiður	(handv.)smiður ið smíðar kalt jarn(tí hann nýtir ikki eld)
kali	(evnafr.)salt av kalium(serst. til tøð)[da.kali,en.potash]
kalium	(evnafr.)bleytt, silvurhvítt metal(má goymast í petroleum, teknK)[da.kalium,en.potassium]
kalliskipan	(tøkni), kalliútbúnaður[da.kaldeanlæg]
kalliútbúnaður	(tøkni)kalliskipan[da.kaldeanlæg]
kallstikk	(ravm.)ravmagnsstikk við beinum sum verða sett í kvennstikk[da.hanstik]
kaloria	(alisfr.)orka ið krevst til at verma 1 g av vatni 1° C, varmaeind, hitil(1 kaloria = 4,1855 J)[da.kalorie,en.calorie]
kalsium	(evnafr.)lætt og silvurhvítt metalkent frumevni(í ymsum grótsløgum og beinagrind, teknCa)[da.kalcium,en.calcium]
kambaksil	(tøkni)knastaksil[da.kamaksel,en.cam shaft]
kambaskørð	(húsasm.) [da.kamtakker]
kambaskørutur	(húsasm.)kambaskørutur galvurkamtakket gavl[da.kamtakket]
kambboltur (?)	(tøkni) [da.kambolt,en.cam follower]
kambgalvur	(húsasm.)galvur við veggjum ið røkka upp um takið[da.kamgavl]
kambringur	(tøkni) [da.kamring,en.cam ring]
kambur	1(tøkni)(á motoraksli)[da.feder]2(handv.)plógkambur
kamin	(rørsm.)(í húsum)rør sum roykur úr oljukyndingel.ovni fer út ígjøgnum;sbr.skorsteinur[da.kamin,en.fireplace]
kampagrót	(jarðfr.,samn.)hart grót, stórt grágrýti[da.kampesten,en.granite boulder]
kandisgrót	(jarðfr.)basaltgrýti ið lættliga molnar[da.feldspatbrokkebasalt]
kanningarháttur	(tøkni,oljuv.)háttur ið e-t verður kannað[da.undersøgelsesmetode,en.exploration method]
