lagskipaður	(jarðfr.)skipaður í løgel.lindir,lagskipað legugrót[da.lagdelt,en.stratified]
lakmus	(evnafr.)evni ið er blátt í lúti og reytt í sýru(úr skóninilichen rocella)[da.lakmus,en.litmus]
lakmuspappír	(evnafr.)pappír við lakmusliti[da.lakmuspapir,en.litmus paper]
laminering	(tøkni)tað at líma tvey P|el.| fleiri løg saman[da.laminering,en.lamination]
lampufatningur	(ravm.)lampufesting[da.lampefatning,en.lamp socket]
lampufesti	(ravm.)lampustað[da.lampested,en.point]
lampufesting	(ravm.)stað har ið lampa verður fest (og knýtt í ravmagnsveiting), lampufatningur[da.lampefatning,en.lamp socket]
lampustað	(ravm.)stað har ið lampa er knýtt at ravmagnskervinum(serst. undir lofti),lampufesti[da.lampested,en.point]
landgrunnur	(jarðfr.)grunni havbotnurin kring eitt land(út á landgrunshellingina)[da.landsokkel,en.shelf (?)]
landgrunshelling	(jarðfr.)helling niður av landgrunninum
landgrunsmark	(oljuv.)mark fyri landgrunni[da.?landsokkelgrænse]
landísur	(jarðfr.)ísur ið er vorðin til uppi á landi(meginlandsísur, hálendisísur og skriðjøklar)
landleið	(oljuv.)(innara) landleiðinsjógvurin innan fyri 12 fjórðingar við Føroyar;uttara landleiðinsjógvurin innan fyri 200 fjórðinga fiskimarkið[da.territoralfarvand,en.territoral waters]
landsúrur	(evnafr.)við landsýru
landsýra	(evnafr.)sýra sum gerst í landi 2
landveðurlag	(landafr.)veðurlag ið er vanligt í innaru pørtunum á stórum meginlondum(heitt um summarið og kalt um veturin)[da.fastlandsklima,en.continental climate]
langbiti	(húsasm.)dragbjálki (1)[da.drager,en.girder]
langhøvil	(handv.)langur høvil til at hølva stórar flatar við[da.rubank];sbr.slætthøvil
langsag	(handv.)long sag ið tveir menn arbeiða við sum gongur loddrætt við einum manni á hvørjum endanum(nýtt at klúgva við)
langskoyti	(handv.)ávíst slag av skoyti
langsyll	(húsasm.)syll eftir longdini(sum stórviðurin er festur í í erva og neðra),móts.tvørsyll
lapis	(evnafr.,lækn.)silvurnitrat(flótandiel.fast),helvitissteinur(teknAgNO3)[da.lapis,en.lunar caustic]
lasarageisli	(alisfr.)sterkur miðsavnaður ljósgeisli úr lasara[da.laserstråle,en.laser beam]
lasari	(alisfr.)tól ið ger og sendir út miðsavnaðan og máttmiklan ljósgeisla(nýttt.d.í ídnaði og til skurðviðgerðir)[da.laser,en.laser]
lava	(jarðfr.)grótbræðing, runi 2[da.lava,en.lava]
lavabørkur	(jarðfr.)hellulava við boygdum rukkum á skorpuni[da.tovlava,en.ropy lava]
lághitakølari	(tøkni)tól til at halda lágan hita við[da.lavtemperaturkøler,en.low temperature cooler]
lágloysin	(teld.)við lágloysni[da.lavopløselig]
lágloysni	(teld.)serstakliga grovt loysni[da.lavopløsning]
lágmark	(tøkni)lægstael.minsta loyvda markið (fyri e-m),lágmarkið fyri skatting[da.lavpunkt, minimum,en.low point]
lágorka	(tøkni)lítil orka(ið e-t krevur)[da.lavenergi,en.low-energy]
lágorkuhús	(tøkni)hús ið krevur lítla orku til ljós, hitao.tíl.[da.lavenergihus,en.energy conservation house]
lágorkupera	(ravm.)ljóspera ið krevur lítla orku(og tí bílig í brúki)[da.lavenergipære]
lágspenningsleidningur	(ravm.)leidningur til streym við lágum spenningi[da.lavspændingsledning,en.low-tension distribution line]
lágspenningur	(alisfr.)ravmagnsspenningur lægri enn 250 volt[da.lavspænding,en.low tension, low voltage]
lágspentur	(ravm.)við lágum spenningi,móts.háspentur,lágspentur streymur
lágtídd	(í fjarskifti),tídd í økinum 20-20.000 Hz, tíddarøki við hoyrandi sveiggingum (undir uml. 20.000 Hz)(t.e. har ið hoyrist)[da.lavfrekvens,en.low frequency]
lágtíðførur	lítið tíðførur[da.lavfrekvent]
lágtrýstfiltur	(tøkni) [da.lavtryksfilter,en.low-pressure filter]
lágtrýstgass	(tøkni,evnafr.) [da.lavtryksgas,en.low-pressure gas]
lágtrýstpumpa	(tøkni)pumpa drivin við lágum trýsti[da.lavtrykspumpe,en.low-pressure pump]
lágtrýstskipan	(tøkni) [da.lavtrykssystem,en.low pressure system]
lágtrýstsylindari	(tøkni) [da.lavtrykcylinder,en.low-pressure cylinder]
lágtrýsttangi	(tøkni) [da.lavtrykstank,en.low-pressure vessel]
lágtrýstturbina	(tøkni) [da.lavtryksturbine,en.low-pressure turbine]
lágtrýstútgerð	(tøkni) [da.lavtrykudstyr,en.low pressure equipment]
