magnari	(ravm.)styrkjari (2)[da.forstærker,en.amplifier]
magnesium	(evnafr.)silvurhvítt lættmetal ið brennur við bjørtum ljósi(frumevni, teknMg)[da.magnesium,en.magnesium]
magnet	(alisfr.)metallutur ið kann draga jarn at sær(og annað metal),sigulmagnaður lutur, sigul, magnetur[da.magnet,en.magnet]
magnetband	(tøkni)plastband lagt við tilfari ið kann magneta(nýtt til inn- og avspæling av ljóði P|el.| myndum P|el.| til skráseting av dátum)[da.magnetbånd,en.streamer tape]
magnetfelt	(alisfr.)øki kring magnetiskan lut har ið magnetiskar kreftir virka[da.magnetfelt,en.magnetic field]
magnetisera	(alisfr.)gera magnetiskan[da.magnetisere,en.magnetize]
magnetisering	(ravm.,alisfr.)sigulmagnan[da.magnetisering,en.magnetization]
magnetiskur	(alisfr.)viðv. magnetum og magnetismu, sigulmagnaður,tann magnetiski norðpólurin,sínorðpólur[da.magnetisk,en.magnetic]
magnetisma	(alisfr.)eginleiki hjá (jarn)luti til at draga aðrar (jarn)lutir at sær, sigulmagn[da.magnetisme,en.magnetism]
magnetmálari	(alisfr.)tól til at mála magnetiska feltstyrki og sveigtættleika (flukstetthet), magnetometur[da.magnetometer,en.magnetometer]
magnetnál	(alisfr.)magnetisk nál, sigulnál;sbr.kumpassnál[da.magnetnål,en.magnetic needle]
magnetometur	(tøkni)magnetmálari[da.magnetometer,en.magnetometer]
magnetpláta	(tøkni)rund magnetisk pláta til at goyma dátur á[da.magnetplade,en.disc]
magnetpulvur	(alisfr.)pulvur ið kann magnetast[da.magnetpulver,en.magnetic powder]
magnetspoli	(tøkni)spoli uttan um magnet[da.magnetspole,en.opening solenoid]
magnetstavur	(tøkni)magnet formað sum stavur[da.magnetstav,en.magnetic rod]
magnetur	(alisfr.)magnet[da.magnet,en.magnet]
magnetventilur	(tøkni) [da.magnetventil,en.solenoid valve]
magnkelda	(alisfr.)tilfeingi ið kann gagnnýtast og gerast um P|t.d.| til ljós, hita P|el.| tølska orku, orkukelda, máttarlind, orkulind[da.energikilde,en.energy source]
magnøki	(alisfr.)øki har ið kraft (2) virkar
makaður	sum hevur maka (4), paraður,(støddfr.)makað talóstakt tal,sbr.stakur
mandlugrýti	(jarðfr.)steinsløg(t.d.kvarts, kálkspattel.soðsteinar)úrskild í poknur
mandlusteinur	(jarðfr.)steinur av mandlugrýti
mangan	(evnafr.)hart gráligt metal(frumevni, teknMn)[da.mangan,en.manganese]
mannhol	(sjóm.,oljuv.)trongt holel.op(t.d.í dekki, guvuketli, olju-el.vatntanga)sum maður fær kropið ígjøgnum[da.mandehul,en.manhole]
margfald	(støddfr.)úrslit av falding 2[da.multiplum,en.multiple]
marghyrningur	(støddfr.)skap við fleiri hornum (14)[da.polygon,en.polygon]
margmiðil	(teld.)skipan ið sameinir ymsar miðlar(t.d.(kyk)myndir, tekst og ljóð í teldu)[da.multimedia,en.multimedia]
markamót	(teld.)sambindingarliður ímillum ymsan tól-el.ritbúnað[da.grænseflade,en.interface];sbr.nýtaramót
marknatræta	(oljuv.)træta um mark 2(2), marknastríð[da.grænsestrid,en.delimitation issue]
