naddamáttur	(tøkni)dunkraft[da.donkraft,en.jack]
naftalin	(evnafr.)hvítt krystallað evni vunnið úr steinkolstjøru(teknC10H8)[da.naftalin,en.naphthalene]
nagli	1(handv.)klænt metalstykki spískt í niðara enda og við høvdi í ovara(til at festa og skoyta træ o.tíl. við at negla við hamri),seymur (2)[da.søm,en.nail]2(handv.)trænagli;sms. t.d.báts-,húna-,klinku-,rokka-
natrium	(evnafr.)lætt silvurhvítt og mjúkt frumevni(finst ofta í sambondum við onnur evni, teknNa)[da.natrium]
natron	(evnafr.)sambinding av natriumi og øðrum evni(m.a. nýtt í bakipulvuri og sum heilivágur fyri ov nógva magasýru, teknNaHCO3)[da.natron]
navar	(handv.)navari[da.vridbor,en.grimblet, wimblet]
navari	(handv.)handamboð at bora hol við(serst. í træ),navar[da.vridbor,en.grimblet, wimblet]
nágreining	(tøkni)yvirlit P|el.| uppgerð í smálutum P|t.d.| um hvussu e-t er samansett, tøknilýsing[da.specifikation]
nálaprentari	(teld.)prentari (2) sum prentar stavir og myndir við nálum og litbandi[da.matrixprinter,en.matrix printer];sbr.geislaprentari
nálaventilur	(tøkni)ventilur har ið viggvaksin spíssur heftist tætt at innari flata av keylu P|el.| keyludánaðum luti[da.nåleventil,en.needle valve]
náttúrulóg	(alisfr.)lóg (2)el.almennur lærusetningur um reglubundin fyribrigdi í náttúruni[da.naturlov,en.law of nature, natural law]
negativur	1(støddfr.)sum er minni enn null,negativ tøl2(alisfr.)við sama slagi av ravmagni sum elektron[da.negativ,en.negative]
negatrón	(alisfr.)negativ elektron,móts.positrón[da.negatron]
neistaborð	(tøkni)stáltráðnet í skorsteinum og eldstøðum sum forðar neistum P|el.| gløðandi kolbitum at fara út[da.gnistfanger,en.spark arrester]
neon	(evnafr.)gasslagt.d.nýtt í summum ravmagnsljósum (ljósrørum)(teknNe)[da.neon]
neonrør	(evnafr.)ljósrør við neoni P|el.| øðrum loftevnum ið kann senda frá sær litað ljós tá ið ravmagnsstreymur fer ígjøgnum(ofta nýtt í ljóslýsingum)[da.neonrør]
nertil	1(støddfr.)bein linja ið ber við boga, tangentur (2), viðberi (1)[da.tangent,en.tangent]2(tónl.)tangentur (1)[da.tangent,en.key]
netverksráðlegging	(tøkni)ráðlegging viðv. netverki[da.netværksplanlægning,en.network planning]
netvørður	(teld.)ein ið hevur sum ábyrgd at stýra og halda við líka upplýsingum á vevstaði[da.webmaster,en.webmaster]
nevnari	(støddfr.)tal í broti (7) sum stendur undir brotstrikuni(sýnir hvussu nógvar partar eindin er býtt sundur í);sbr.teljari[da.nævner,en.denominator]
nevtron	(alisfr.)kjarnabitil við ongari løðing[da.neutron,en.neutron]
neyðbattarí	(alisfr.)battarí at hava til at taka[da.nødbatteri,en.emergency battery]
neyðbjálving	(tøkni)?bjálving í neyðstøðu[da.nødisolering,en.emergency isolation]
neyðbremsa	(tøkni)bremsa sum ferðafólk í toki P|el.tíl.| kunnu nýta í neyð- P|el.| vandastøðu[da.nødbremse,en.emergency brake]
neyðdyr	(tøkni)dyr at nýta í neyð-el.vandastøðu[da.nødudgang]
neyðljós	(tøkni)(á akfari)blunkljós ið sigur frá at e-t er á vási[da.katastrofeblink,en.emergency lighting (?)]
neyðoljupumpa	(tøkni,oljuv.)?oljupumpa at nýta í neyðstøðu[da.nødoliepumpe,en.emergency oil pump]
neyðrakstur	(tøkni)(fyribils) rakstur í neyðstøðu[da.nøddrift,en.emergency operation]
neyðveiting	(tøkni)streymveiting nýtt í neyðstøðu[da.nødforsyning,en.emergency back-up]
neyvstilla	(tøkni)stilla e-t neyvt inn[da.finjustere]
neyvtekning	(tøkni)nágreinilig tekning ið tekur við allar smálutir[da.detailtegning]
neyvætla	(tøkni)gera byggibúgvið út í smálutir[da.detailprojektere,en.plan in detail]
niðurfelling	(alisfr.)partur av vektri eftir øðrum vektri
niðurføring	(tøkni)niðurførsla[da.nedføring,en.lead-down]
niðurføringartráður	(tøkni)niðurførslutráður[da.nedføringstråd,en.lead-down wire]
niðurførsla	(tøkni), niðurføring[da.nedføring,en.lead-down]
niðurførslutráður	(tøkni), niðurføringartráður[da.nedføringstråd,en.lead-down wire]
nikkla	(tøkni)leggja lag av nikkli á (e-t)[da.fornikle,en.nickel(-plate)]
nikklari	(tøkni)ein ið nikklar[da.fornikler]
nikkling	(tøkni)tað at nikkla P|el.| tað ið nikklað er,niklingin er slitin av súkkluni[da.fornikling,en.nickel-plating]
nikkul	(evnafr.)hart silvurhvítt metal(frumevni, teknNi)[da.nikkel]
nippil	(handv.,rørsm.)stuttur og klænur rørstubbi við skrúvugangi uttan(t.d. til at skoyta rør við)[da.nippel,en.nipple]
nitrat	(evnafr.)salt av salpetursýru[da.nitrat];sms.t.d.silvur-
nivelleraður	(byggiv.)hallmátaður[da.nivelleret]
nokki	(tøkni)ásur 2(5) sum rokkahjólið melur á, spinnil, ásur (2)[da.pinol,en.(lathe) centre]
norðpólur	(landafr.)norðasta punkt á jørðini,móts.suðurpólur[da.nordpol,en.north pole) [tann landafrøðiligi norðpólurintað norðasta punktið hjá jarðarásinum;tann magnetiski norðpólurinpunkt ið kumpassnálin peikar ímóti
norðurbreidd	(landafr.)breiddarstig norðan fyri miðkringin,móts.suðurbreidd
norðurhálva	(landafr.)norðara hálva á jarðarknøttinum, norðara heimshálva,móts.suðurhálva
null	(støddfr.)talið 0, taltekn sum skilur ímillum positiv og negativ tøl[da.nul]
nullleidningur	(ravm.) [da.nulledning]
nullleiðarakubbi	(tøkni)(í ravmagnstrygdarkassa)[da.samleskinne,en.bus bar]
nullleiðari	(tøkni) [da.nulleder,en.neutral conductor]
nullpunkt	(støddfr.)punkt á tallinju har ið talið null (0) stendur[da.nulpunkt,en.zero (point)]
nummarpláta	(tøkni)(á akfari)jarnpláta við skrásetingarnummari(vanl. aftan og framman),nummarspjaldur[da.nummerplade,en.number plate]
nummarplátuljós	(tøkni)ljós til nummarplátu[da.nummerpladelys]
nútíðarvirði	
nýinnlegging	(ravm.)tað at leggja ravmagn o.a. inn í hús av nýggjum[da.nyinstallation]
nýnevna	(teld.)nevna av nýggjum[da.omdøbe,en.rename]
nýrakol	(jarðfr.)slag av føroyskum koli(skeljut og hart í benið)(vitrit);sbr.strípukol[da.glanskul]
nýtaramót	(teld.)markamót ímillum nýtara og telduskipan[da.brugergrænseflade,en.user interface]
nýtsluforrit	(teld.)forrit sum ein arbeiðir beinleiðis við,nýtsluforrit til bókhald[da.?brugerprogram]
nýtsluleiðbeining	skrivlig leiðbeining um hvussu e-t eigur at nýtastel.gerast, brúksreglur[da.brugsanvisning,en.directions (for use)]
nýtslutíð	(teld.)gagntíð[da.nyttetid]
nýverk	(tøkni)lendisarbeiði[da.anlægsarbejde]
nýøld	(jarðfr.)nýggjasta tíðarskeiðið í jarðarsøguni(fyri 70-2 milliónum árum síðan),jarðarsøgan verður býtt sundur í upphavsøld, fornøld, miðøld og nýøld[da.kenozoikum]
nærljós	(tøkni)(á akfari)innstilling á forlyktum har ið ljósopið verður minkað uppeftir at tað ikki skal blinda mótkoyrandi akfør[da.nærlys,en.dipped headlights]
nærnet	(teld.)samskiftisnet ið bindur saman teldur á stovniel.millum stovnar á avmarkaðum øki,móts.fjarnet,nærnet á bókasavni[da.lokalnet,en.local area network, LAN]
nøgd	(byggiv.)tað hvussu nógvel.tað ið til er av e-m(t.d.byggitilfario.tíl.),stór/lítil nøgd[da.mængde]
nøgdarlisti	(byggiv.)listi sum sýnir nøgdir ið krevjast av arbeiðstilfario.tíl.
