oddbogastílur	(byggil.)byggingarstílur við oddbogum, gotiskur stílur[da.spidsbuestil,en.Gothic style]
oddbogi	(byggil.)bogi ið endar í einum spíssi, gotiskur bogi, spískbogi(ovast í gluggum og durum);sbr.rundbogi[da.spidsbue,en.pointed arch, Gothic arch, ogive]
ognarmynstur	(ídn.)mynstur fyri hvussu ognarviðurskifti verða skipað[da.ejendomsmodel,en.ownership model]
ohm	(ravm.)máteind fyri ravmagnsmótstøðu(eftir týska alisfrøðinginum G.S. Ohm 1787-1854)[da.ohm,en.ohm]
ohmmálari	(ravm.)tól at mála ohm við[da.ohmmeter,en.ohm meter]
okahurð	(húsasm.)hurð av fjalum hildnum saman við tveimum okum tvørturum og einum á skák[da.revledør]
oki	(húsasm.)træ neglt tvørtur um fjalir(til at halda teimum saman, t.d. á hurð),klampi, tvørtræ,hillarnar liggja niður á okarnar;oki er undir endunum á skríninum, so at botnurin skal ikki standa á gólvinum[da.revle]
okkur	(jarðfr.)samnevni fyri ávísar blandingar av jarðmálmi við gulum, brúnumel.reyðum liti í(nýtt t.d. í máling)[da.okker]
oktan	(evnafr.)slag av kolvetni í bensini
olja	1flótandi fitievni vunnið úr oljuberjum, ymsum øðrum ávøkstum, urtum og dýrum,steikja í olju;seinasta oljan (fyri deyða)(sakramenti í katólsku kirkjuni),fáa seinastu oljuna2flótandi brennievni av plantu- og dýraleivdum(vunnið djúpt úr jørðini),bora eftir olju;(flutt m.)oysa olju á báliðel.eldingera ilt verri, gera meira skaða enn gagn;sms. t.d.brenni-,jarð-,lín-,rá-,stein-[da.olie,en.oil]
oljuavskúmari	(tøkni)?útbúnaður til at fáa skúm av olju við[da.olieafskummer,en.oil skimmer]
oljuavskúming	(tøkni)?tað at taka skúm av olju[da.olieafskumming,en.oil skimming]
oljuáfyllingarpumpa	(tøkni)?pumpa til at fylla olju á tanga við[da.oliepåfyldningspumpe,en.oil filling pump]
oljubitil	(alisfr.,oljuv.) [da.oliepartikel,en.oil particle]
oljuboring	tað at bora eftir olju[da.olieboring,en.oil drilling]
oljubryggja	(tøkni)bryggja har ið oljuskip kunnu ferma olju og/ella gass[da.oliekai]
oljudálkaður	dálkaður av olju, ið olja er komin at, oljutur,oljudálkaður fuglur
oljudálking	dálking av olju(t.d.í náttúruni)[da.olieforurening]
oljudunkur	dunkur til olju
oljuendurvinning	(tøkni,oljuv.)endurvinning av olju[da.oliegenbrug,en.oil reclamation]
oljuendurvinningarskipan	(tøkni)skipan til at endurvinna olju[da.oliegenbrugssystem,en.reclaimed oil system]
oljuevja	(oljuv.)evja av olju[da.olieslam,en.oil sludge]
oljufarmur	skipsfarmur av olju
oljufeingi	(oljuv.)tilfeingi av olju[da.olieressourse]
oljufelag	felag ið vinnur útel.selur olju 1(2)[da.olieselskab]
oljufella	(jarðfr.)poknutar fláir har ið olja setur útí og savnast,íkomin/tilkomin oljufellastrukturell (bygnaðarlig) oljufella[da.oliefælde,en.oil accumulation]
oljufiltur	(tøkni)filtur sum reinsar (motor)olju undir ringrenslinum (í motorinum)[da.oliefilter,en.oil filter]
oljuframleiðsla	tað at framleiða olju[da.olieproduktion,en.oil production]
oljuframleiðslubrunnur	(oljuv.)framleiðslubrunnur til olju[da.olieproduktionsbrønd,en.oil production well]
oljufrárenslfiltur	(tøkni)filtur til at reinsa olju sum rennur frá e-m[da.olieafløbsfilter,en.oil drain filter]
oljufrárenslkølari	(tøkni)útbúnaður til at køla olju sum rennur frá e-m[da.olieafløbskøler,en.oil drain cooler]
oljufundur	(oljuv.)tað at finna oljuel.funnin olja[da.oliefund,en.oil strike]
oljufyrisiting	almenn fyrisiting fyri virksemi í sambandi við oljuídnað,Oljufyrisiting Føroya[da.olieadministration]
oljufýr	(rørsm.)ovnur við olju sum brennievni, oljukynding, oljufýrur[da.oliefyr,en.oil burner]
oljufýrur	(rørsm.)oljukynding[da.oliefyr,en.oil burner]
olju/gassseparator	(oljuv.)(á oljuboripalli)[da.olie-/gasseparator,en.oil/gas separator]
oljugoymsla	goymsla til olju 1(2),har standa nú saltbing og stórar oljugoymslur[da.oliereservoir,en.oil reservoir]
oljuhúsi	(tøkni)ílatel.húsi við smyrjiolju í(á motori)
oljuídnaður	ídnaður ið arbeiðir við at finna, vinna út og framleiða olju, oljuvinna[da.olieindustri]
oljujarðfrøði	(oljuv.)jarðfrøði ið viðvíkur oljuhaldnum jarðløgum[da.oliegeologi,en.petroleum geology]
oljukelda	staður har olja vellir uppel.verður pumpað úr jørðini[da.oliekilde]
oljukynding	(rørsm.)ovnur ið kynt verður í við brenniolju, oljufýr(ur)(til miðhita)[da.oliefyr,en.oil burner]
oljukyndur	(tøkni)kyndur við olju[da.oliefyret,en.oil fired]
oljukølari	(tøkni)útbúnaður til at køla olju[da.oliekøler,en.oil cooler]
oljuleið	(oljuv.)(hav)øki har ið olja verður útvunnin[da.oliefelt,en.oil field]
oljuleiðing	rør(skipan) til at flyta oljuel.gass langan veg, oljuveiting[da.olieledning]
oljuleiting	(oljuv.)leiting eftir olju[da.olieefterforskning,en.exploration]
oljuleki	tað at olja lekur út[da.olielæk, olieudslip]
oljumálaráðharri	(oljuv.)ráðharri fyri oljumálum[da.minister for olie og miljø,en.Minister of Oil and the Environment]
oljumálari	(tøkni)tól til at mála oljunøgd við[da.oliemåler,en.oil meter]
oljumóttøkustøð	(oljuv.)móttøkustøð til olju[da.olieterminal]
oljuneyð	oljutrot[da.oliemangel]
oljupumpa	(tøkni)pumpa til at pumpa upp olju við P|el.| til at pumpa olju til ymsar partar í motorinum við[da.oliepumpe,en.oil pump]
oljupumpumotorur	(tøkni)motorur til oljupumpu[da.oliepumpemotor,en.oil pump motor]
oljureinsari	(tøkni)útbúnaður til at reinsa olju við[da.olierenser,en.oil clarifier]
oljureinsiverk	(oljuv.)verk ið reinsar jarðolju[da.olieraffinaderi,en.oil refinery]
oljurenslpumpa	(tøkni)pumpa til oljurensl[da.oliecirkulationspumpe,en.oil circulation pump]
oljurørleiðing	(oljuv.,rørsm.)rørleiðing til olju[da.olierørledning,en.oil pipeline]
oljurørleiðingarskipan	(tøkni)skipan við oljurørleiðingum[da.olierørledningssystem,en.oil pipeline system]
oljuskifti	(tøkni)tað at skifta olju á motori[da.olieskift,en.oil change]
oljusmyrjari	(tøkni)?ein ið smyr motor við olju[da.oliesmører,en.oil lubricator]
oljusona	(oljuv.) [da.oliezone,en.petroleum zone]
oljusperra	(tøkni,oljuv.)útbúnaður nýttur til at forða fyri at dálking av olju breiðir seg[da.oliespærre]
oljusperring	(tøkni)tað at forða fyri dálking við at olja breiðir seg[da.oliespærring,en.oil weir]
oljutangaskip	(oljuv.)tangaskip serliga útgjørt til at flyta olju[da.olietanker,en.(oil) tanker]
oljutangi	tangi til at goyma (rá)olju í[da.olietank,en.oil tank]
oljutetting	(tøkni)tetting fyri olju[da.olietætning,en.oil seal, OS]
oljutrot	tað at trot er á olju, oljuneyð[da.oliemangel]
oljutrýst	trýst sum ávís oljunøgd fremur í rørskipan[da.olietryk]
oljutrýstlampa	(tøkni)(á akfari)lampa ið boðar frá ov lágum oljutrýsti (?)[da.olietryklampe,en.oil warning light]
oljutrýstmátari	(tøkni)tól til at máta oljutrýst[da.olietrykmåler,en.oil-pressure gauge]
oljutrýstpumpa	(tøkni) [da.hydraulisk pumpe]
oljutunna	1tunna við olju[da.olietønde]2(rúmmál)158,76 l av reinsaðari olju(nýtt í oljuídnaði)
oljutur	oljudálkaður
oljuútbúnaður	(oljuv.)útbúnaður til oljuvinnu[da.olieinstallation]
oljuútskiljari	(oljuv.)útbúnaður til at skilja olju frá øðrum evnum[da.olieudskiller,en.oil separator]
oljuútvinning	(oljuv.)útvinning av olju[da.olieudvinding,en.oil extraction]
oljuvánir	vánirel.møguleikar at finna olju
oljuveiting	(oljuv.)oljuleiðing[da.olieledning]
oljuventilur	(tøkni) [da.olieventil]
oljuvinna	tað at vinna olju úr jørðini, oljuídnaður[da.olieindustri]
opalur	(jarðfr.)prýðissteinur(úr vatnríkari kisilsýru)[da.opal]
opnaskipan	(byggil.)hús, skrivstovur, skúlaro.tíl.við veggjum ið kunnu flytast, fleirnýtsluskipan[da.åbenplan, åbenplansystem,en.open-plan]
opnaskipanarskúli	(byggil.)skúli við veggjum ið kunnu flytast[da.åbenplanskole,en.open-plan school]
optiskur	(alisfr.)viðv. ljósiel.sjón[da.optisk,en.optical]
orðabanki	(teld.)teldutøkt orðasavn[da.ordbank (?)]
orka	(alisfr.)máttur til vinnu,orkan í mati;vatnorka(t.d. til ravmagn)[da.energi,en.energy];sms. t.d.arbeiðs-,atom-,innan-,keyp-,kjarn-,røringar-,vatn-
orkubroytari	(tøkni)útbúnaður ið broytir orku úr einum formi í annan(t.d.hátalari ið broytir ravmagn til ljóðorku)[da.transducer]
orkueind	(tøkni) [da.kraftenhed,en.power unit]
orkugerð	(alisfr.)tað at orka verður loystel.umgjørd[da.energiudvikling]
orkugeri	(tøkni) [da.kraftgenerator, energigenerator,en.power generator]
orkuloysing	(alisfr.)tað at orka verður loyst, orkugerð[da.energiudvikling]
orkumálari	(tøkni)málitól til at lesa av flowmálarar(t.d.nýtt til at lesa av nýttan fjarhita)[da.energimåler,en.energy meter]
orkumeingi	(tøkni)nøgd av orku[da.energimængde,en.quantity of energy]
orkunýtsla	(alisfr.)tað at nýta orku 1(2)[da.energiforbrug]
orkuráð	(tøkni)ráð ið sær um orkumál[da.energiråd]
orkuspennbroytil	(tøkni) [da.krafttransformator,en.power transformer]
