pakka	(teld.)trýsta saman(so at e-t verður minni í vavi),umskipa dátur í samantrýstan form við at nýta eginleika dátanna P|el.| dátumiðilsins soleiðis at til ber at broyta teimum aftur í upprunasniðið,pakka teldutøkan tekst[da.pakke,en.pack]
pakkdós	(tøkni) [da.pakdåse]
pakningur	(rørsm.,tøkni)tunnur ringur úr bleytum tilfari nýttur í skoytum til at fyribyrgja leka,pakningur í vatnkrana[da.pakning,en.gasket, packing]
palhjól	(tøkni)?tannhjól ið kann sperrast[da.spærhjul,en.ratchet disc]
palur	(tøkni)krókur ið forðar spæli at snara afturel.tannhjóli at fara øvutan veg[da.pal, spærhage,en.pawl, catch]
pappageykatong	(handv.)lundatong[da.papegøjetang]
parabil	(støddfr.)rás har ið punktini hava somu frástøðu til brennidepil og til fasta beina linju[da.parabel,en.parabola]
parametur	(teld.)?brigdil nýttur sum tilvildarligt fastatal í støddfrøðiligum úttrykki, ?stødd sum fær fast virði[da.parameter,en.parameter]
parkettgólv	(húsasm.)gólv úr stavum lagdir eru í mynstur[da.parketgulv,en.parquet floor]
partmongd	(støddfr.)mongd har ið allir lutir eisini eru í aðrari mongd,A er partmongd í Ballir lutir í mongdini A eru eisini í mongdini B[da.delmængde,en.subset]
parttíð	arbeiðstíð styttri enn vanlig góðkend full tíð[da.deltid]
passari	(støddfr.)amboð við tveimum beinum at tekna rundingarel.at máta við, spannari[da.passer,en.calipers]
patrónkopling	(tøkni) [da.patronkobling,en.collet connector]
patrónventilur	(tøkni)slag av ventili har ið "virkni" parturin er sylindari ið skjýtst upp og niður í ventilhúsan[da.patronventil]
pedalur	(tøkni)útbúnaður at traðka á(á akfari, tóli o.tíl. t.d. til at økja el. minka um ferð el. steðga),ástig, føtil[da.pedal,en.pedal]
peilari	(tøkni)peilingartól[da.pejler,da.direction finder]
peilingartól	(tøkni)tól til at avgera ætt P|el.| kós við, peilari[da.pejleapparat,en.direction finder]
pendul	(alisfr.)lutur sum sveiggjar um punktel.ás, sveiggj[da.pendul,en.pendulum]
pensil	(handv.)flatur breiður kustur til at mála við, málingarpensil[da.pensel,en.brush]
pera	(ravm.)ljóspera[da.lyspære];sms. t.d.úti-
persónbilur	(tøkni)bilur til fólkaflutning(vanl. til fimm mans)[da.personbil,en.car]
pi	(støddfr.)tal ið vísir lutfallið millum ummál og tvørmál á kringi(= 3,14159... el. 22/7)
pikkhamari	(handv.)lítil hamari spískur í øðrum endanum
pimpsteinur	(jarðfr.)viksteinur[da.pimpsten,en.pumice (stone)]
