radari	(alisfr.)tól sum varpar út ljóð ið endurvarpast frá lutumo.tíl.og ger mynd av teimum[da.radar,en.radar]
radiatorhitamálari	(tøkni)eind sett á radiator til at skráseta hitanýtslu[da.fordampningsmåler, radiatorvarmemåler]
radiatorkopling	(rørsm.
radiatorur	(rørsm.)ovnur (2)[da.radiator,en.radiator]
radiatorventilur	(rørsm.)ventilur á radiatori[da.radiatorventil]
radiatorvifta	(tøkni) [da.radiatorvifte,en.coil unit fan]
radio	(alisfr.)ljóðflutningur við ravsigulmagnaðum bylgjum, útvarp[da.radio,en.radio]
radium	(evnafr.)geislavirkið frumevni(nýtt t.d. til krabbameinsviðgerð, teknRa)
radius	(støddfr.)bein linja úr miðdepli á kringiel.kúlu út til umhvørviel.yvirborð, hálvt tvørmát[da.radius,en.radius]
raðbinda	(alisfr.)binda saman í rað(t.d.ravmagnstól)[da.serieforbinde]
raðbinding	(ravm.)tað at binda saman í rað(t.d.fleiri lampustøð í sama leidning)[da.serieforbindelse,en.series connection, serial link]
raðframleiðsla	(tøkni)nøgd av somu framleiðslu í eini røð[da.serieproduktion]
raðhald	(handv.)rekkverk[da.rækværk]
raðhús	(húsasm.)(einbýlis)hús sambygd við fleiri (lík) hús í eini røð[da.rækkehus,en.terrace house, town house]
rakjørð	(jarðfr.)jørð har ið mold er skolað burtur av regni[da.podsol]
rakstrardepil	) [da.driftsorganisation,en.operating organisation]
rakstrarferð	(oljuv.) [da.driftshastighed,en.operating speed]
rakstrarfrágreiðing	(oljuv.) [da.driftsrapport,en.operating report]
rakstrargreining	(oljuv.)greining av rakstri[da.driftsanalyse,en.operation analysis]
rakstrarhagtøl	(oljuv.)hagtøl yvir rakstur[da.driftsstatistik,en.operations statistics]
rakstrarhiti	(oljuv.) [da.driftstemperatur,en.operating temperature]
rakstrarkølari	(oljuv.) [da.driftskøler,en.duty cooler]
rakstrarleiðbeining	(oljuv.)leiðbeining til rakstur av e-m[da.driftsinstruks,en.operation instruction]
rakstrarmáttur	(alisfr.)tað hvussu lutir røra seg við ávirkan frá kreftum sínámillum, elvi (2), rekmáttur (1)[da.dynamik,en.dynamics]
rakstrarmiðstøð	(oljuv.)miðstøð fyri rakstur í eini vinnu[da.operationscenter]
rakstraroljukølari	(oljuv.) [da.driftsoliekøler,en.working oil cooler]
rakstraroljupumpa	(oljuv.) [da.driftsoliepumpe,en.working oil pump]
rakstrarparametur	(oljuv.) [da.driftsparameter,en.operation parameter]
rakstrartíð	(tøkni) [da.driftsperiode,en.turnaround period]
rakstrartrýst	(oljuv.) [da.driftstryk,en.operating pressure]
rakstrarventilur	(tøkni,oljuv.) [da.driftsventil,en.duty valve]
rakstrarviðurskifti	(oljuv.)viðurskifti viðv. rakstri[da.driftsforhold,en.service condition]
rakstrarvirði	(tøkni,oljuv.) [da.driftsværdi,en.operating value]
rakstraryvirskot	(tøkni)yvirskot (vanl. í peningi) av rakstri[da.driftsoverskud,en.operating profit]
rakstrarøki	(tøkni) [da.driftsområde,en.operating range]
rambukkur	(tøkni)fallhamari[da.rambuk,en.pile driver]
rambukskubbi	(tøkni)falllodd[da.rambukklods,en.pile hammer, ram]
rammumótul	(tøkni) [da.rammemodul,en.frame module]
rammupláta	(tøkni) [da.rammeplade,en.frame plate]
randarhús	(húsasm.)raðhús ið standa sum ein rond eftir útjaðara á býlingi
ranki	(handv.)stápil,ranki av viði;sbr.viðarranki
rann	(jarðfr.)heiti á fløguleiri í kolanámi í Suðuroy
rannsókn	tað at rannsaka, kanning, gransking,søguligar rannsóknir;náttúrufrøðiligar rannsóknir;rannsóknir av norrøna málinum;tá ið teir høvdu havt rannsókn um meg, vildu teir sleppa mær leysum
rannsóknar-	sms. t.d.-dómari,-evni,-ferð,-løgregla,-maður,-nevnd,-starv,-stova,-úrslit
rannsóknari	ein ið rannsakar, rannsóknarmaður, granskari
rannsóknarverkætlan	verkætlan ið er grundað á rannsóknir[da.forskningsprojekt]
ratt	(tøkni)(á akfari)stýri (2), róður 2[da.rat,en.(steering) wheel]
ravgeraeind	(tøkni)eind í ravgera[da.generatoraggregat]
ravgreining	(ravm.)ravloysing[da.elektrolyse,en.electrolysis]
ravhúsi	(alisfr.)akkumulatorur[da.akkumulator,en.battery]
ravindaligur	(alisfr.)viðv. ravindum, elektroniskur[da.elektronisk,en.electronic]
ravindi	(alisfr.)elektronikkur[da.elektronik,en.electronics]
ravkleiv	(alisfr.)elektroda[da.elektrode,en.electrode]
ravlað	(alisfr.)battarí[da.batteri,en.battery]
ravloysing	(ravm.)háttur til at býta sundur vætu sum kann nýtast til galvanisering og til at framleiða rein metal av málmi, ravloysing[da.elektrolyse,en.electrolysis]
ravmagn	(alisfr.)orka ið gerst við flutningi av elektronum,ravmagn at hita við;bilur rikin við ravmagni[da.elektricitet,en.electricity];sms. t.d.støðu-
ravmagna	(alisfr.)leiða ravmagn í (e-t), løða við ravmagni[da.elektrificere,en.electrify]
ravmagnaður	(alisfr.)løddur við ravmagni, elektriskur[da.elektrisk,en.electric]
ravmagnan	(alisfr.)tað at ravmagna[da.elektrificering,en.electrification]
ravmagnsbrigda	(ravm.)tól ið ger streym[da.elektrisermaskine,en.electrical machine]
ravmagnsgeri	(alisfr.)tólel.maskina ið ger tølska orku um til ravmagn[da.elektrisk generator]
ravmagnsinnlegging	(ravm.)innlegging[da.el-installation]
ravmagnsinnleggjari	(ravm.)innleggjari[da.el-installatør]
ravmagnskoplari	(ravm.) [da.elektricitetskobler,en.satellite electrical connector]
ravmagnsløðing	(ravm.)løðing við ravmagni[da.elektrisk ladning,en.charge]
ravmagnsmaður	(ravm.)elektrikari[da.elektriker,en.electrician]
ravmagnsmálari	(tøkni)tól at mála ravmagn við[da.elmåler,en.electricity meter]
ravmagnsmotorur	(tøkni)motorur drivin við ravmagni[da.el-motor,en.electric motor]
ravmagnsspenningur	(ravm.)støðuorka fyri hvørja løðingareind(máld í voltum),spenningur[da.spænding,en.tension]
ravmagnsstoytur	stoytur (6) av ravmagni[da.elektrisk stød]
ravmagnsstreymur	(ravm.)flutningur av ravmagnsløðing(máldur í amperum),streymur (4)[da.elektrisk strøm]
ravmagnsstýring	(tøkni)stýring av e-m drivin við ravmagni[da.elstyring]
ravmagnsstøð	ravmagnsverk[da.elektricitetsværk]
ravmagnssveisari	(tøkni)sveisari ið arbeiðir við ravmagnssveising[da.elektrosvejser,en.arc welding machine]
ravmagnssveising	(tøkni)sveising við ravmagni[da.elektrosvejsning,en.arc welding]
ravmagnstól	(ravm.)1tól ið ger ravmagn2tól rikið við ravmagni, ravmagnað tól[da.elektrisk apparat]
ravmagnstøkni	(tøkni)tøkni ið fæst við tøkniliga nýtslu av ravmagni[da.elektroteknik]
ravmagnsúrløðing	(ravm.)tað at ravmagnsstreymur streymar ígjøgnum ein tóma/eitt vakuum[da.elektrisk udladning]
ravmagnsútbúnaður	(ravm.)?útbúnaður til ravmagn[da.elektrisk installation]
ravmagnsveiting	(ravm.)veiting av ravmagni[da.strømforsyning]
ravmagnsverk	(ravm.)verk ið framleiðir ravmagnsstreym[da.elektricitetsværk,en.power house, power station]
ravmagnsverkfrøðingur	(ravm.)verkfrøðingur serkønur í ravmagnsfrøði[da.elektroingeniør,en.graduate electrical engineer]
ravmotorur	(tøkni)motorur ið kann gera ravmagnsorku um til malandi orku[da.elektromotor,en.electromotor, electric motor]
ravsigul	(alisfr.)sigul gjørdur virkin við ravmagni[da.elektromagnet,en.electromagnet]
ravsigulmagn	(alisfr.)sigulmagn elvt av ravmagni[da.elektromagnetisme,en.electromagnetism]
ravsigulmagnaður	(alisfr.)við ravsigulmagni[da.elektromagnetisk,en.electromagnetic]
ravtættari	tættari drivin við ravmagni[da.elektrisk kondensator]
ráðin	(støddfr.)ráðin tøltøl ið lýsast neyvt í heilum tølumel.brotum(rational);sbr.óráðin
ráðleggingarskipan	(tøkni)skipan fyri ráðlegging[da.planlægningssystem,en.planning and control system]
ráðleggjari	(tøkni)ein ið leggur ráð[da.planlægger,en.planner]
ráevni	(ídn.)óvirkað evni(at vinna e-t (annað) burturúr),ráevni í undirgrundini[da.råstof,en.raw material]
ráevnisleiting	(oljuv.)leiting eftir ráevnum í undirgrundini[da.råstofeftersøgning]
ráevnisútvinning	(tøkni)útvinning av ráevnum P|serst.| úr undirgrundini[da.råstofudvinding]
ráolja	(oljuv.)olja úr jørðini, óviðgjørd olja, óreinsað jarðolja[da.råolie,en.crude oil]
ráoljubýtisrør	(tøkni,oljuv.)?rør sum ráolja verður býtt út eftir[da.råoliefordelingsrør,en.crude oil outlet header]
ráoljuframleiðsla	(tøkni,oljuv.)framleiðsla av ráolju[da.råolieproduktion,en.crude oil production]
ráoljugoymsla	(tøkni,oljuv.)goymsla av ráolju[da.råolielager,en.crude oil storage]
ráoljuhitari	(tøkni,oljuv.)?hitari ið brennir ráolju[da.råolievarmer,en.crude oil heater]
ráoljuhiti	(tøkni,oljuv.)?hiti av ráolju[da.råolietemperatur,en.crude oil temperature]
