sagarbjálki	(handv.)langa stykkið á bogasag
sagarknabbi	(handv.)knabbi at snara sagarblaði við(á bogasag),sagknappur
sagspenni	(handv.)(snúðrað) band at spenna bogasag við
sakkarin	(evnafr.)evni at søta við og við lítlum og ongum føðsluvirði, sukurlíki
salmiakk	(evnafr.)gulligt krystallað evnasamband(NH4Cl)
salpetur	(evnafr.)heiti á ávísum nitratum(m.a. í handilstøðum)
salpetursýra	(evnafr.)litleys ólívrunnin sýra(við einum køvievnis-, einum vetnis- og trimum súrevnisatomum, teknHNO3)[da.salpetersyre,en.nitric acid]
salthavin	(evnafr.)við salti í[da.saltholdig,en.saliferous]
saltsýra	(evnafr.)sterk sýra(loysing av vetniskloridi í vatni, teknHCl)[da.saltsyre,en.hydrocloric acid]
samanbræðing	(alisfr.)tað at tveir lættir atomkjarnar renna saman í ein tungan og loysa orku[da.fusion]
samanlegging	(støddfr.)tað at leggja saman tøl, samanteljing[da.addition,en.addition]
samansetingarverkstaður	(tøkni)?verkstaður har ið e-t verður sett saman[da.samleværksted,en.assembly shop]
samanteljing	(støddfr.)tað at telja saman, samanlegging (2)[da.addition,en.addition]
samantrýstingarskoyti	(rørsm.,tøkni)rørskoyti nýtt til plast og koparrør[da.kompressionsfittings]
sambinding	1tað at sambinda, e-t ið er samanbundið2(evnafr.)samband av evnum (5),tá ið tvey ella fleiri frumevni ganga saman og nýtt evni verður til, fáa vit eina evnafrøðiliga sambinding
sambindingarliður	liður (3) ið bindur saman einstakar partar í heild
sambæri	(teld.)tað at e-t er sambæriligt við e-t annað(P|t.d.| at telda og prentari hóska saman hóast tey eru av hvør sínum slag)[da.kompatibilitet,en.compatibility]
samfelagskrøv	krøv frá samfelagnum P|el.| hinum almenna[da.samfundskrav,en.requirements of society]
samgildisbákn	(tøkni)?bákn givið samstundis[da.analogsignal,en.analogue signal]
samgildisfølari	(tøkni) [da.analog føler,en.analogue sensor]
samgildistelda	(teld.)telda sum tekur ímóti, arbeiðir við og ger til talgildar dátur og ber seg at soleiðis at atgerðir hennara eru javngildar við tær í øðrum kervi[da.analogdatamaskine,en.analog computer]
samgildistól	(tøkni) [da.analogt instrument,en.analogue instrument]
samgildisvirði	(tøkni) [da.analog værdi,en.analogue value]
samgildur	(teld.)við sama gildi (2) sum,samgild telda[da.analog,en.analogue];sbr.talgildur
samhall	(jarðfr.)?niðurboygdur partur av lendi[da.synklinal]
samkervi	(teld.) [da.integreret system]
samlag	(jarðfr.)steinsløg sum í treytaðari røð koma fyri á sama stað[da.paragenese]
samlagdur	(jarðfr.)samlagdar fláirjavnfjarar fláir í sama fláabólki[da.konkordant]
samlát	(teld.)eftirgerð eftir einhvørji tilgongd[da.simulation]
samláti	(tøkni,teld.)tól ið endurgevur e-t úr veruleikanum, simulatorur[da.simulator,en.simulator]
samlibúsningur	(tøkni)búsningur til at samla e-t við[da.samlebøsning]
samlirør	(tøkni)(í dieselmotori)[da.samlerør,en.collector pipe, collection header]
samlitangi	(tøkni)tangi ið savnað verður saman í[da.samletank,en.collection tank]
samloð	(jarðfr.) [da.agglutinat]
samløga	1(jarðfr.)tað at leggja saman, samanlegging,samløga av fláum[da.konkordans]2(støddfr.)tað at leggja tøl saman[da.addition,en.addition]
sammiðjaður	(støddfr.)sammiðjaðir kringar(við sama miðdepli)[da.koncentrisk,en.concentric]
sammongd	(støddfr.)mongd av lutum sum eru í minst einari av mongdunum A og B
samnevnari	(støddfr.)størri tal sum allir nevnarar í broti (7) ganga upp í, felagsnevnari[da.fællesnævner,en.common denominator]
samnýti	(teld.)tað at e-t er samnýtt(P|t.d.| at telda og prentari hóska saman hóast tey eru av hvør sínum merki)[da.kompatabilitet,en.compatability]
samnýtur	(teld.)ið kann nýtast saman við øðrum(P|serst.| um telduútgerð)[da.kompatibel,en.compatible]
sampakka	hóskael.høva saman, samtykkja,tey sampakka ikki[da.harmonisere,en.harmonize]
samskiftari	(tøkni)ein P|el.| eitt ið samskiftir[da.kommunikator,en.communicator]
samskifti	(tøkni)sínámillum samband um sjónarmið, boðskapo.tíl.,hava samskifti við e-n[da.kommunikation]
samskiftiseftirlit	(tøkni)almennur myndugleiki ið hevur eftirlit við samskifti[da.kommunikationskontrol,en.communication controller]
samskiftisútbúnaður	(tøkni)útbúnaður til samskiftis[da.kommunikationsanlæg,en.communication system]
samskiftisútgerð	(tøkni)útgerð til samskiftis[da.kommunikationsudstyr,en.communication equipment]
samskipan	samtak[da.konsortie,en.consortium]
samsvar	tað at tvey P|el.| fleiri viðurskifti lýsa tað sama P|el.| hóska saman[da.overensstemmelse,en.conformity]
samtak	samskipaður felagsskapur av einstaklingumel.feløgum við samael.líkum endamáli, samskipan(av fleiri smærri felagsskapum),handilslig samtøk;samtak av handilsbýum[da.konsortie,en.consortium]
samtaksavtala	(oljuv.)samstarvsavtala ímillum feløg í einum samtaki[en.joint ventures]
samtal	(støddfr.)samløga[da.addition,en.addition]
samvallaður	(jarðfr.)við samføstum vølli, javnt vallaður,landslagið er meira bringut og ofta samvallað
samvirkin	(teld.)sum arbeiðir saman P|el.| byggir á samspæl ímillum tveir P|el.| fleiri lutir P|el.| partar[da.interaktiv,en.interactive]
sandblása	(tøkni)reinsa burturt.d.rustel.máling við at blása fínan harðan sand á við trýstluft,sandblása stálskip[da.sandblæse]
sandblásari	(tøkni)maskina til at sandblása við[da.sandblåser,en.sand blast cleaning machine]
sandblástur	(tøkni)tað at sandblása[da.sandblæsning,en.sandblasting]
sandgrýti	(jarðfr.)poknut grótslag av samanheftum sandkornum, sandsteinur[da.sandsten,en.sandstone]
sandgrýtutur	(jarðfr.)sum er avel.inniheldur sandgrýti,kletturin er moyrur og sandgrýtutur
sandheyggjur	(jarðfr.)heyggjur av samanfoknum sandi
sandmálari	(tøkni)?tól til at máta sand við[da.sandmåler,en.sand monitor]
sandpappír	(handv.)sterkt pappír við álímaðum sandkornum(at pussa el. slípa við)[da.sandpapir,en.sandpaper]
sandstrýta	?strýta til sand
sandúrskiljari	(tøkni)tól til at skilja sand úr e-m við[da.sandudskiller,en.desander]
sanitets-	viðv. heilsu,sms. t.d.-arbeiði,-eind
sannlíkindarokning	(støddfr.)líkindarokning[da.sandsynlighedsberegning,en.calculation of probability]
sannlíkindi(r)	(støddfr.)stødd (2) fyri møguleika, líkindi,sannlíkindi(r) fyri at fáa tvey í terningakasti er 1/6[da.sandsynlighed,en.probability]
savngoyma	goyma og skipa í skjalasavni[da.arkivere]
savnindi	skjøl, brøv, korto.tíl.varðveitt á skjalasavni(archivalia)
savning	(ravm.)?stað har ið ymsir ravmagnslutir eru samansavnaðir[da.samling,en.connection point]
savnirør	(tøkni)(í dieselmotori)1rør ið greinir seg sundur í tvær P|el.| fleiri greinar2rør við einari P|el.| fleiri greinum til síðuna[da.grenrør]
savnkúpa	(alisfr.)kúpa (2) ið savnar ljósgeislar(til fráskygd eygu),móts.spjaðkúpa
sáttmálameting	meting og gjøgnumgongd av sáttmála[da.kontraktgennemgang,en.contract review]
seismikkur	(jarðfr.)1jarðskjálvtafrøði2háttur at kortleggja jarðfrøðiligan bygnað í havbotninum við at nýta ljóðbylgjur,nýta seismikk í oljuleiting
seismiskur	(jarðfr.)viðv. seismikki
sement	(evnafr.)pulvur av kálkio.ø.steinevnum ið blandað við sandi og vatni verður til betong[da.cement,en.cement]
sementa	stoypa (av sementi), betonga
sementblanding	(byggiv.)blanding av sementi og sandi[da.cementmørtel,en.cement slurry]
sementblandipumpa	(tøkni)pumpa til at blanda sement og sand saman við[da.cementblandepumpe,en.cement mixing pump]
sementpumpumotorur	(tøkni,byggiv.)?motorur nýttur til at pumpa sement við[da.cementpumpemotor,en.cement pump driver]
sementskipan	(tøkni,byggiv.) [da.cementsystem,en.cement system]
sementsúla	(tøkni,byggiv.)súla stoypt upp av sementi[da.cementsøjle,en.cement column]
semittiskur	(landafr.)viðv. semittum,semittisk fólkasløg(gýðingar og arábar);semittisk mál
semittur	(landafr.)fólk ið hoyrir til semittiska mál- og fólkabólkin(serst. arábar og gýðingar)
sendari	(tøkni)útbúnaður at senda fjarrit, útvarps-el.sjónvarpssendingaro.tíl.við[da.sender,en.transmitter]
sendistøð	(tøkni)støð 1(2) til at sendat.d.útvarps- og sjónvarpssendingar[da.senderstation,en.transmitting station]
sensorur	(tøkni)tól ið málar ávísa ákenning(t.d.ljós, ljóð, trýst og rørslu)[da.sensor]
