umbroytil	(ravm.)tól ið ger um ravmagnsorku(P|t.d.| vendistreym til javnstreym og øvut),umlagari[da.omformer,en.converter]
umbýtisføri	) [da.ombyttelighed,en.interchangeability]
umferðarventilur	(tøkni)snúningsventilur[da.omløbsventil,en.by-pass valve]
umførsla	(tøkni)(á motori)yvirflutningur av rørslu P|el.| orku[da.transmission]
umgerð	(húsasm.)e-t sum er uttan um e-t(t.d. vindeyga, skorstein o.tíl.),ramma 1, karmur (1),stór rundbogað vindeygu við gulari umgerð[da.inddækning,en.covering, flashing]
umgerðartilfar	(húsasm.)tilfar at nýta til umgerð[da.inddækningsmaterialer,en.covering materials]
umhvørvisgóður	(tøkni)sum er góður fyri umhvørvið, sum ikki skaðar umhvørvið[da.miljøvenlig]
umhvørviskrav	(tøkni)krav til tess at verja umhvørvið(P|t.d.| viðv. reinleika)[da.miljøkrav,en.environmental requirement]
umhvørvistøkni	(tøkni)tøkni viðv. umhvørvi[da.miljøteknologi]
umkoplari	(tøkni)tól til at kopla um við[da.omkobler,en.change-over switch]
umkopling	(tøkni)tað at kopla um[da.omkobling,en.change-over]
umkølari	(tøkni)tól ið kølir av nýggjum[da.omkøler,en.recooler]
umlagari	(ravm.)umbroytil[da.omformer,en.converter]
umlegging	(ravm.)tað at leggja um[da.omlægning]
umlættingarventilur	(oljuv.) [da.aflastningsventil,en.relief valve, RV]
ummál	(støddfr.)linjael.longd á linju ið avmarkar mynd, luto.tíl., stødd á e-m (t.d.mynd, luti) máld kringum,ummálið á rørinum var 16 sentimetrar og tvørmátið 5 sentimetrar[da.dimension (?)]
umsetari	(teld.)eitt P|el.| fleiri forrit ið kunnu týða[da.oversætter,en.translator, translation program]
umsjón	(byggiv.)tað at síggja um (e-t), eftirlit,hava umsjón við e-m;vera undir umsjón (av e-m)[da.inspektion,en.inspection];sms. t.d.bruna-,yvir-
umskaring	(jarðfr.)stað har ið jarðarskorpan umskarast[da.forkastning]
umskiftari	(ravm.) [da.omkobler, omskifter,en.change-over switch]
umskriva	1(um tekst)geva annað orðaljóðel.form, skriva í øðrum formi,umskriva alla søguna;umskriva eina skaldsøgu til sjónleik2(støddfr.)umskrivaður kringur um ein tríhyrningkringur 1 ið ber við spíssarnar í einum tríhyrningi
umstýring	(bát.,tøkni)útbúnaður til at fáa far at bakkael.sigla fram[da.omstyring, reversering]
umvæling	tað at væla um e-t[da.reparation,en.repair]
unbrakkohøvd	(tøkni,handv.)?(sekskantað) høvd á unbrakkoskrúvu[da.unbrakohoved,en.hexagonal socket cap]
unbrakkolykil	(tøkni,handv.)sekskantaður lykil(í mongum støddum og nýttur til at skrúva skrúvur við sekskantaðum holi)[da.unbrakonøgle]
unbrakkoskrúva	(tøkni)skrúva við sekskantaðari foyru[da.unbrakoskrue,en.hexagonal socket head cap screw]
unbrakkostilliskrúva	(tøkni) [da.unbrakosætskrue,en.set screw socket]
undanbyggibúgving	(tøkni)fyrireikandi ráðlegging og arbeiði undan einum størri arbeiði[da.forprojektering,en.pre-engineering]
undanforrita	(teld.)?fyrireikandi forritan áðrenn veruliga forritan[da.forprogrammere]
undanframleiða	(tøkni)forvirka[da.præfabrikere,en.prefabricate]
undanhitari	(oljuv.)útbúnaður ið hitar e-t upp frammanundan(P|t.d.| nýggja luft, brennievnisblanding til motor)[da.forvarmer,en.preheater]
undanhitastillari	(oljuv.,tøkni)?hitastillari til undanhita[da.forvarmeregulator,en.preheating regulator]
undanhiting	(oljuv.)?hiting framman undan nýtslu[da.forvarming,en.preheating]
undanhitingarskipan	(tøkni,oljuv.) [da.forvarmesystem,en.preheating system]
undantaksloyvi	undantak frá vanliga galdandi reglum[da.dispensation,en.waiver; concession]
undirbólkur	(ravm.)?bólkur undir øðrum[da.undergruppe,en.sub-group]
undirbýtistalva	(ravm.,tøkni)býtistalva undirskipað aðrari[da.underfordelingstavle,en.subdistribution board]
undirfalshjól	(tøkni)vatnhjól har drivvatnið kemur inn niðan fyri aksilin[da.underfaldshjul]
undirforrit	(teld.)?forrit sum liggur undir øðrum forriti[da.underprogram]
undirger	(evnafr.)ølger ið legst á botn;sbr.yvirger
undirgeraður	(evnafr.)geraður við undirger
undirgrind	(húsasm.)undirsyllar og undirsløg;sbr.yvirgrind
undirhelling	(jarðfr.)meginlandsbotnur undir sjónum millum hellingina og djúphavsbotnin[da.kontinentalfod]
undirkøla	(alisfr.)(um løg)køla niður um frostmarkið uttan at frystir,undirkøla løg
undirlag	(húsasm.)?lag ið liggur undir;sbr.undirsyll[da.underligger]
undirlagspláta	(tøkni), millumlegg[da.underlagsplade]
undirmagnetisering	(tøkni) [da.undermagnetisering,en.underexcitation]
undirsjóvarfar	(oljuv.,tøkni)sjófar ið kann sigla niðri í sjónum (undir yvirflatanum)[da.undervandsfartøj,en.subsea vehicle]
undirsjóvarframleiðsluútgerð	(oljuv.)útgerð til at framleiða olju undir sjónum[da.undervandsproduktionsudstyr,en.subsea production equipment]
undirsjóvarrørleiðing	(tøkni,oljuv.)rørleiðing sum liggur niðri í sjónum[da.undervandsrørledning,en.submarine pipeline, subsea pileline]
undirslag	(húsasm.)bjálkar sum gólvið liggur oman á[da.gulvbjælke, strø]
