valdur	(støddfr.)tal (tveyel.fleiri) sum verða faldað hvørt við øðrum og geva eitt fald,2 og 3 eru valdar av 6;valdur ferðir vald gevur fald[da.faktor,en.factor]
valkostur	kostur (1) (av tveimumel.fleiri møguligum) at velja ímillum, valmøguleiki[da.alternativ]
valloyri	(jarðfr.)vátlendi niðri við sjógv(undir á hægstu flóð)[da.marsk]
valmynd	(teld.)listi á telduskíggja við teimum møguleikum sum eru til taks[da.menu,en.menu]
vankantur	(handv.)árundaður kantur á fjølel.planka(av útsíðuni á trænum),rimarnar eru ikki góðar, vankantur er á[da.vankant]
vargakjaftur	(handv.)amboð við kjafti (6) til at draga út (djúpt negldan) seym við, kassajarn
varmaeind	(alisfr.)kaloria[da.kalorie,en.calorie]
varmalæra	(alisfr.)læran um varma sum orku
varmaorka	(alisfr.)orka sum er í varma
varnari	(alisfr.), skyni[da.detektor,en.detector]
vartøppur	(ravm.)tøppur til verju fyri skammlopi, sikkring[da.sikring,en.fuse]
vatnavtapping	(tøkni)tað at tappa vatn av e-m(P|t.d.| motori)[da.vandaftapning,en.dewatering]
vatnavtappingarventilur	(tøkni)ventilur til at tappa vatn av við[da.vandaftapningsventil,en.dewatering and hydrotest block valve]
vatnborð	(húsasm.)1vatnbretti[da.vandbræt]2(gl.)fjølin sum torvhaldið er fest í
vatnbretti	(húsasm.)skrátt bretti oman fyrit.d.vindeyga, dyro.tíl.(at leiða vatnið burtur),vatnborð (1)[da.vandbræt]
vatndampur	(tøkni)dampur av vatni[da.vanddamp,en.water vapour]
vatndýsa	(tøkni)dýsa til vatn[da.vanddyse,en.water nozzle]
vatnevni	(evnafr.)vetni
vatnglas	1glas til vatnel.við vatni2(evnafr.)tjúkkur klárur løgur við natrium-el.kaliumsilikati(nýttur m.a. til at goyma egg í)
vatngóðska	(tøkni)krøv myndugleikarnir seta til evnafrøðiliga, alisliga og bakteriufrøðiliga góðsku í drekkavatni[da.vandkvalitet]
vatnguva	(alisfr.)guva av vatni, dampur 1(2)(ið stendur upp úr e-m),bløðini sleppa burtur tí vatnguvu, ið plantuni tørvast at missa[da.vanddamp,en.(aqueous) vapour]
vatnhavin	(tøkni)við nógvum vatniel.vætu í sær[da.vandholdig,en.aqueous]
vatning	(tøkni)tað at vatna[da.overrisling,en.water spray, deluge]
vatningarkervi	(tøkni)kervi til vatning[da.overrislingssystem,en.water spray deluge system]
vatningarútbúnaður	(tøkni)útbúnaður til (kunstiga) vatning[da.overrislingsanlæg,en.deluge system]
vatningarútgerð	(tøkni)útgerð til at vatna við[da.overrislingsudstyr,en.deluge equipment]
vatningarventilur	(tøkni)?ventilur nýttur í vatningarkervi[da.overrislingsventil,en.water spray valve, deluge valve]
vatnkøla	(tøkni)køla við vatni,motorurin er vatnkøldur;sbr.luftkøla
vatnkøldur	(tøkni)køldur við vatni;sbr.luftkøldur[da.vandkølet]
vatnkøling	(tøkni)køling við vatni[da.vandkøling,en.water cooling]
vatnlás	(handv.,rørsm.)U-el.S-skapað rør ið stendur fult av vatni til at forða luft at sleppa ígjøgnum[da.vandlås,en.trap, water lock]
vatnmálari	(tøkni)málari ið mátar hóskandi vatnmongd[da.vandmåler, hydrometer,en.hydrometer]
vatnmegi	(ravm.)vatnorka[da.vandkraft,en.hydraulic power, water power]
vatnmeistari	fyristøðumaður fyri vatnverki
vatnnøs	(byggil.)vatnbretti(t.d. oman fyri vindeyga, niðast á úthurðo.tíl.),oman fyri vindeygað var ein vatnnøs
vatnorka	(ravm.)orka vunnin úr rennandi vatni(ið verður umgjørd til ravmagnsorku),vatnmegi,Vágur var fyrsta bygd í Føroyum, sum fekk ravmagnsverk við vatnorku[da.vandkraft,en.hydraulic power, water power]
vatnorkuverk	(ravm.)ravmagnsverk drivið við vatnorku[da.vandkraftværk,en.hydroelectric power station]
vatnpumpa	(tøkni)útbúnaður at pumpa vatn við[da.vandpost,en.pump]
vatnpumputrýst	(tøkni)trýst í vatnpumpu[da.vandpumpetryk,en.water-pump pressure]
vatnrættur	(handv.)ið vendir sama veg sum vatnskorpan,móts.loddrættur,vinkulin millum vatnrætt og loddrætt er 90 stig[da.vandret,en.horizontal]
vatnrør	(handv.,tøkni)rør sum vatn rennur ígjøgnum(t.d. inni í húsi el. til hús),vatnleidningur[da.vandrør,en.water pipe]
vatnsavnari	(tøkni)tól til at savna vatn við[da.vandsamler,en.water collector booth]
vatnstøðuglas	(tøkni)glas at mála vatnstøðu í dampketli við[da.vandstandsglas,en.water gauge]
vatnstøðumálari	(tøkni)útbúnaður ið málar vatnstøðuna í størri útbúnaðiserst.hitaútbúnaði(vatnstøðumálari er í grundini ein trýstmálari ið mátar trýstið frá vatninum omanfyri)[da.vandstandsmåler]
