y	1(málfr.)sjálvljóðsstavur, 26. stavur í før. stavraðnum (nevndurseinnael.sj.langa)2(støddfr.)1heiti á ókendari stødd(t.d. á seinna ókenda í líkning)2tekin fyri virði á seinna liði (í krossskipan)
y-ás	(støddfr.)uppás[da.ordinat,en.ordinate]
ydda	(handv.,Mikld.)gera odd á(serst. seym el. nagla),tá ið seymur varð smíðaður, var at ydda hann til seinast;bara rekseymur var yddaður;ydda knív(gera spískari)
yrkisgrein	greinel.slag av yrki, vinnugrein,ungdómur lærdur í øllum yrkisgreinum
yrkisligur	viðv. yrki, fakligur;-liga[da.professionel]
yrkisøki	øki sum eitt yrki fevnir um[da.fagområde]
yrkorð	(málfr.,tøkni)yrkisorð(terminus technicus) [da.term,en.term]
y-ventilur	(tøkni) [da.y-ventil,en.y-valve]
yvirfresari	(tøkni,handv.) [da.overfræser,en.router]
yvirger	(evnafr.)ølger ið flýtur omaná;sbr.undirger
yvirgeraður	(evnafr.)geraður við yvirger
yvirgrind	(húsasm.)yvirsyllar og bitar;sbr.undirgrind
yvirliggjari	(húsasm.)berandi eind/burðareind yvir vindeyga-, hurðar-el.portursholi(úr træ, stáli, betongiel.jarni)[da.overligger,en.header]
yvirlisti	(húsasm.)dekklisti[da.dækliste]
yvirskjøldur	(húsasm.)tríhyrningurin ovast á húsagalvi(myndaður av takflatunum og vatnrøttu linjuni ímillum takføturnar á takflatunum)[da.gavlspærfag]
yvirspenningarreiðlag	(ravm.)reiðlag til yvirspenning[da.overspændingsrelæ,en.overvoltage relay]
yvirspenningsavleiðari	(ravm.)tól ið avleiðir yvirspenning[da.overspændingsafleder,en.surge arrester]
yvirspenningur	(ravm.)ov nógvur spenningur[da.overspænding,en.overvoltage]
yvirsveigging	(alisfr.) [da.oversvingning]
yvirsyll	(húsasm.)ovara syll (1),móts.undirsyll[da.rem,en.head]
yvirtrom	(húsasm.)tekja á húsi við sperrum, skjøldrumo.s.fr., reising[da.tagopbygning]
yvirtrýst	(alisfr.)hægri lufttrýst enn uttanumt.d.í ílati,móts.undirtrýst[da.overtryk,en.overpressure]
yvirtrýstfølari	(oljuv.)?tól ið ger vart við yvirtrýst[da.overtrykføler,en.overpressure sensor]
yvirtrýstkamar	(tøkni)kamar P|el.| rúm har ið persónar P|el.| djór kunnu vera fyri sera stórum lufttrýsti[da.overtrykkammer,en.clean air plenum]
yvirtrýstskipan	(oljuv.)luftskipan við yvirtrýsti[da.overtrykssystem,en.overpressure system]
yvirtrýstventilur	(tøkni)?ventilur til yvirtrýst[da.overtryksventil,en.overpressure protection valve]
yvirtrýstverja	(tøkni)verja fyri yvirtrýsti[da.overtrykværn,en.overpressure protection]
yvirvaking	(tøkni)tað at hava eyguni við e-m[da.overvågning,en.monitoring]
yvirvakingarreiðlag	(tøkni)reiðlag ið hevur eyguni við e-m[da.overvågningsrelæ,en.monitoring relay]
yvirvakingarskipan	(tøkni)skipan við yvirvaking[da.overvågningssystem,en.monitoring system]
yvirvakingarútgerð	(tøkni)útgerð til yvirvaking[da.overvågningsudstyr,en.monitoring instrument]
yvirvaldsrættur	rættur til yvirvald, rættur til at hava ræði yvir e-m
yvirvindeyga	(húsasm.)vindeyga sett yvir eini hurð(ofta í fastakarmi)[da.overvindue]
