íbinding	(handv.)tað at binda í(vatnleiðing, ravmagno.tíl.í hús)[da.tilslutning,en.connection]
íbindingardós	(ravm.)festidós[da.samledåse,en.electrical box, junction box]
ídnaðarstreymur	(ravm.)ódýrur ravmagnsstreymur til ídnaðar[da.industristrøm]
ídnaður	skipað vøruframleiðsla úr ráevnum(vanliga á verksmiðjum og við maskinamboðum)[da.industri,en.industry];sms. t.d.grót-,heima-,jarn-,olju-,stál-,tung-
ífellingararmur	(tøkni) [da.koblingsarm]
ífesti	(alisfr.)staður har ið fast er á e-m[da.ophængningspunkt]
íkleiv	(alisfr.)katoda[da.katode,en.cathode]
íkopling	(tøkni)tað at knýta í e-t(P|t.d.| vatnveitingarskipan)[da.tilkobling,en.hookup]
íkoplingarkort	(tøkni)kort til íkoplingar[da.tilkoblingskort,en.connection card]
íkoplingarpunkt	(tøkni) [da.tilkoblingspunkt,en.hookup spool, service connection]
íkoplingartalva	(tøkni) [da.tilkoblingstavle,en.interface board]
íkoplingarútbúnaður	(tøkni)útbúnaður til at kunna fremja íkopling[da.tilkoblingsanordning]
íkoplingarventilur	(tøkni)ventilur til íkoplingar[da.tilkoblingsventil,en.connection valve]
íkrøkingarpláta (?)	(tøkni)(á lastbili)[da.tilkoblingsplade,en.fifth wheel]
ílag	(teld.)inntak[da.inddata,en.input]
ílatingarevni	(evnafr.)evni ið verður latið út í annað evni í smáum mongdum(serst. um tilgjørd evnafrøðilig evni ið verða latin út í matvørur fyri at økja um haldevni P|el.| broyta lit, tjúkt P|el.| smakk)[da.tilsætningsstof,en.additive]
íleguskoyting	(lækn.)slag av ílegutøkni har ið arvaeginleikar frá einum slag verða fluttir yvir til annað(við íleguskoyting hevur P|t.d.| eydnast at fáa kolibakteriur til at framleiða insulin)[da.gensplejsning,en.genetic engineering]
írestingarlisti	(tøkni)listi við tí sum keypari krevur gjørt (liðugt ella endurbøtt) áðrenn tikið verður við gjørdum arbeiði(t.d.í sambandi við skip)[da.mangelliste]
ísborin	(jarðfr.)borin av ísi[da.istransporteret]
ísbrúgv	(jarðfr.)jaðari á havísi, jøkul fyri framman[da.isfront]
ísbrýndur	(jarðfr.)brýndur av ísi[da.isskuret]
ísedikur	(evnafr.)rein edikssýra ið storknar við 17° C[da.iseddike,en.glacial acetic acid]
íseting	(handv.)tað at seta e-t í(t.d. motor í bát)[da.installation,en.installation]
ísetingarpláta	(tøkni) [da.monteringsplade,en.mounting plate]
ísetingarramma	(tøkni) [da.monteringsramme,en.mounting board]
ísetingarskrúva	(tøkni) [da.monteringsskrue,en.mounting screw]
ísfoyra	(jarðfr.)foyra sum skriðjøkul hevur skøvað í hellu[da.isfure]
ískápa	(jarðfr.)hálendisísur(til støddar sum íslendsku og norsku jøklarnir)[da.iskappe]
ískoytishitari	(tøkni)tól nýtt til at veita ískoytishita[da.tillægsvarmer,en.supplemental heater]
ísmark	(jarðfr.)mark hægst á jøkli haðan ísur skríður til báðar síður,tá ið ísurin lá víðastur, var ísmarkið norðuri í Hvannasundi[da.isskel]
ísoga	(evnafr.)tað at súgva í (seg)[da.absorption,en.absorption]
ísogupláta	(alisfr.)(viðv. sólorku)pláta ið sýgur sólorku til sín[da.absorptionsplade,en.absorbing plate]
ísskjøldur	(jarðfr.)meginlandsísur(til støddar sum grønlendski meginlandsísur ella størri)[da.isskjold]
ísskøva	(jarðfr.)skøva í gróti eftir ísi[da.skurestribe,en.glacial striae]
ístíð	(jarðfr.)ísøld[da.istid,en.Ice Age]
ísøld	(jarðfr.)tíðarskeið í jarðarsøguni tá ið stór landøki lógu undir jøkulísi, ístíð[da.istid,en.Ice Age]
ítinna	(jarðfr.)stór steintinna sum sløðist í fínum grundtilfari[da.strøkorn,en.phenocryst]
ítinnugrót	(jarðfr.)hart reydleitt berg við hvítum feldspatttinnum, korkagrýti[da.porfyr,en.porphyry]
ítinnutur	(jarðfr.)við spjaddum tinnum í,ítinnut grót[da.porfyritisk]
ítinnuvond	(jarðfr.)vond við skapi sum ítinna[da.porfyrstruktur]
