óblýggjaður	blýfríur,óblýggjað bensin[da.blyfri]
óbrigdil	(støddfr.)óbroytilig stødd(í líkning umboðað av einum bókstavi)[da.konstant,en.constant]
ólívrunnin	(evnafr.)ið ikki stavar frá livandi verum,vatn og salt eru ólívrunnin evni[en.inorganic]
óljóðskelda	(tøkni)kelda sum óljóð stavar frá[da.støjkilde,en.noise source]
óljóðskurva	(tøkni)strikukurva ið sýnir gongd í óljóði[da.støjkurve,en.noise rating curve]
óljóðsskermur	(tøkni)skermur til at verja fyri óljóði[da.støjskærm,en.noise enclosure]
óljóðsstig	(tøkni)stig (4) fyri óljóð,hægsta loyvda óljóðsstig[da.støjniveau,en.noise level]
ómakaður	(støddfr.)ómakað talstakt tal, staktal
ómaksgjald	(oljuv.)gjald latið aftur fyri einhvørja tænastu[da.gebyr,en.fee]
ónýtisdagur	(byggiv.)arbeiðsdagur farin fyri skeytið av óveðri
óráðin	(støddfr.)óráðið taltal ið ikki lýsist neyvt við heilum tølumel.brotum;(pi) er óráðið tal (á leið 3.1415)(irrational)
ósi	(landafr.)staður har ið á rennur í vatnel.sjógv, áarósi
óstakur	1ikki stakur, ikki einsamallur, makaður,eingir óstakir skógvar eru eftir2(støddfr.)(um tal)ið býtist í tvey, ið tvey gongur upp í,t.d. 2, 16 og 54 eru óstøk tøl(makað)
óvissubragd	(alisfr.)bragd sum skapar óvissu[da.usikkerhedsmoment,en.uncertain factor; element of uncertainty]
óvissusamband	(alisfr.) [da.usikkerhedsrelation]
