úrborur	(tøkni), úrsnarari[da.rømmejern]
úrdráttur	(oljuv.)framleidd vøra (úr rávøru)[da.produkt,en.product) [reinsaður úrdráttur[da.raffinerede produkter]
úrkleiv	(alisfr.)anoda[da.anode,en.anode]
úrkopla	(tøkni)seta úr giri, sleppa giri[da.udrykke,en.bypass, inhibit]
úrkoplari	(tøkni), úrkøkjari[da.udrykker,en.inhibitor]
úrkopling	(tøkni)tað at úrkopla[da.udkobling,en.inhibition]
úrkoplingarávísi	(tøkni) [da.udkoblingsindikator,en.trip indicator]
úrkoplingarreiðlag	(tøkni) [da.frakoblingsrelæ,en.lock-out relay]
úrkoplingarspoli	(tøkni) [da.udkoblingsspole,en.trip coil]
úrkoplingarstyrkjari	(tøkni) [da.udkoblingsforstærker,en.trip amplifier]
úrkøkjari	(tøkni)úrkoplari[da.udrykker]
úrløða	(ravm.)leiða ravmagn úr[da.udlade,en.discharge]
úrløðing	(ravm.)tað at úrløða(st)[da.udladning,en.discharge, depletion]
úrløðingartíð	(tøkni)?tíð tað tekur til battarí er úrløtt[da.udladningstid,en.discharge time]
úrløga	(ravm.)styrkin í tí løgu/virkt ið gongur út úr ravmagnstóli mótsett tí ið gongur inn[da.udgangseffekt,en.output]
úrrit	(teld.)?frásøgn frá tí ið er hent ávíst tíðarskeið[da.rapport,en.report]
úrsnarari	(tøkni)úrborur[da.rømmejern]
úrtak	(ravm.)frátøkustað[da.udtag]
úrtøka	(ravm.)?tað ið vinst burtur úr (av ravmagni)[da.arbejdsydelse,en.output (of work)]
úrtøkumáttur	(alisfr.)máttur ið stendst av fleiri samvirkandi máttum á ein lut[da.resultant]
úrvinning	(oljuv.)útvinning[da.udvinding,en.depletion]
útavhang	(húsasm.)partur av bygningi ið røkkur út um sjálvan múrin(serst. um part av tekjuni)
útavreising	(húsasm.)kovareising
útás	(støddfr.)vatnrøtt ás í krossskipan, x-ás[da.abscisse,en.abscissa];sbr.uppás
útbjóðing	(oljuv.)tað at bjóða út loyvi og rætt til at vinna út olju og gass[da.udlicitering]
útbjóðingarumfar	(oljuv.)umfar tá ið boðið verður út at bora eftir olju og gassi[da.koncessionsrunde,en.concession round]
útblásingarlúka	(tøkni) [da.udblæsningsluge,en.blast door]
útblásturrør	(tøkni)útstoyt[da.udstødningsrør,en.exhaust pipe]
útbláur	(alisfr.)(um ljós)við styttri bylgjulongd enn sjónligt ljós, ervablákollutur[da.ultraviolet,en.ultraviolet];sbr.innreyður
útbúnaður	(tøkni)tað sum ein er útgjørdur við, tað sum hoyrir til e-t, útgerð, reiðskapur (1), amboð, tólo.tíl.[da.armatur,en.fittings ?]
útbyggingarætlan	(byggiv.)ætlan fyri útbygging[da.udbygningsplan,en.development scheme]
útflutningsleiðing	(oljuv.)leiðing til at flyta út olju og/ella gass[da.udførselsledning,en.export pipeline]
útflutningsventilur	(tøkni) [da.eksportventil,en.export valve]
útgeisling	(alisfr.)geisling frá e-m[da.udstråling,en.radiation]
útgerð	(tøkni)útbúnaður át.d.skipi, bátio.tíl., hentleikar, reiðskapur, amboð, tól,útgerðin á brúnni er t.d. tveir radarar, peilari, sjálvstýrari o.a.[da.armatur, udstyr,en.fittings ?, equipment]
útgerðarrúm	(tøkni)rúm har ið útgerð er[da.udstyrsrum,en.equipment room]
útgerðarstøð	(oljuv.)støð har ið gjørt verður út til P|t.d.| oljuvinnuna[da.supplybase,en.supply base]
útgerðartangi	(tøkni)tangi til at gera út við(P|t.d.| við olju, vatni el.ø.)[da.udstyrstank,en.equipment tank]
útgerðarætlan	(tøkni)ætlan fyri hvussu útgjørt verður[da.udstyrsplan,en.equipment layout]
útgongukykna (?)	(tøkni) [da.udgangscelle,en.outgoing cubicle, feeder cubicle]
útgongureiðlag	(tøkni) [da.udgangsrelæ,en.output relay]
útgonguspennbroytil	(tøkni)spennbroytil til streym ið gongur út úr ravmagnstóli[da.udgangstransformator,en.output transformer]
útgonguspenningur	(tøkni,ravm.)?ravmagnsspenningur ið gongur út úr leidningi[da.udgangsspænding,en.output voltage]
útgongustreymur	(tøkni,ravm.)?streymur ið gongur út úr leidningi[da.udgangsstrøm,en.output current]
útgonguvoltmálari	(tøkni)voltmálari til streym ið gongur út úr ravmagnstóli[da.udgangsvoltmeter,en.output voltmeter]
útgoymsla	(teld.)?goymsla uttan fyri sjálva støðina[da.eksternt lager]
útgrind	(húsasm.,sj.)1grindarlag2kovareising
úthurð	(húsasm.)hurð fyri útdurum(á húsi),úthurðin gekk
útjaðaraøki	(jarðfr.)?øki í útjaðara[en.frontier]
útjaðari	(jarðfr.) [en.frontier]
útkarmur	(húsasm.)karmur á vindeyga uttan (?)[da.yderkarm,en.jamb]
útkastarapumpa	(tøkni,oljuv.)pumpa til at sproyta út við(P|t.d.| olju, spillvatn)[da.ejektorpumpe,en.seawater ejector pump]
útkastari	(tøkni,oljuv.) [da.ejektor,en.ejector]
útlátshiti	(tøkni)hiti á løgi P|el.| evni ið verða latin út[da.udløbstemperatur,en.outlet temperature]
útlátsrør	(tøkni)rør sum útlát fer ígjøgnum[da.udløbsrør,en.outlet line]
útlátstrýst	(tøkni)trýst á tí sum verður latið út úr e-m[da.udløbstryk,en.outlet pressure]
útlátsventilur	(tøkni) [da.udløbsventil,en.outlet valve]
útliggjari	(tøkni)(t.d.á gummigeit),?partur av amboð sum liggur út frá høvuðsparti[da.udligger,en.boom]
útloysarareiðlag	(tøkni) [da.udløserrelæ,en.tripping relay]
útloysaraventilur	(tøkni) [da.udløserventil,en.preaction valve]
útloysari	(tøkni)útbúnaður ið setur e-t í gongd[da.udløser,en.trigger]
útloysing	(tøkni)tað at e-t verður sett í gongd[da.udløsning,en.activation]
útloysingarkrókur	(tøkni) [da.udløsningskrog,en.release hook]
útloysingarsylindari	(tøkni)?sylindari til at seta e-t í gongd[da.udløsningscylinder,en.release cylinder]
útloysingarveirur	(tøkni) [da.udløsningswire,en.releasing cord]
útloysingarventilur	(tøkni) [da.udløsningsventil,en.release valve]
útluftari	(rørsm.)útbúnaður ið sýgur út brúkta luft úr rúmi og nýggja inn
útluftingarskrúva	(tøkni)skrúva til at stilla útlufting við[da.udluftningsskrue,en.vent bolt]
útluftingarventilur	(tøkni,oljuv.)ventilur til útlufting[da.udluftningsventil,en.breather valve]
útlærdur	(handv.)liðugur við (serst.handverksliga) útbúgving, fulllærdur, avlærdur[da.udlært]
útprent	(teld.)útskrift úr prentara (2)[da.udprint,en.outprint]
útrenslrør	(tøkni)útstreymingarrør[da.udstrømningsrør]
útskinn	(húsasm.)klædningur á húsi
útskotshorn	(alisfr.)vinkul millum afturkastaðan ljósgeisla og innskotssteyra[da.udfaldsvinkel,en.angle of reflection]
útskotssteyri	(alisfr.)(hugsað) strika vinkulrætt út úr speglandi flata;sbr.innskotssteyri
