á1	1(lingv.)vokal2(lingv.)2. bogstav i det færøske alfabet (kaldes )
á2	å, elv, flod,áin stendur á svølgielven svulmer;tað gekk sum eftir ánnidet gik glat, det gik så let som ingenting;fara yvir um ágå over bækken;(overf.)fara yvir um á(nna) eftir vatnigå over åen efter vand(gøre en unødvendig anstrengelse for at få el. opnå noget som man kunne have gjort el. fået på en nemmere måde)
á3	(med acc. i forb. med bevægelse og med dat. i forb. med væren på stedet)1(om sted, genstand, retning etc.)på,legg bókina á borðiðlæg bogen på bordet;bókin liggur á borðinumbogen ligger på bordet;hann fer umborð á skipiðhan går ombord på skibet;hann er umborð á skipinumhan er ombord på skibet;fara á fundgå til et møde;vera á fundivære til et møde;á vinstru hondtil venstre2(i forb. med visse bygdenavne, stednavne o.lign.)i,á Eiði;á Glyvrum;skipið kom á Vestmannaskibet anløb Vestmanna3(i forb. med vindretning, strømretning)á vestri (eystri, suðri),har er streymhart á vestfallinumder er meget hård strøm når strømmen løber i vestlig retning4(i forb. med fiskeri)á útróðri (floti etc.)5om(ved tidsangivelser),á morgni (degi, kvøldi, nátt(ini))om morgenen (dagen, aftenen, natten);nú á døgumnu om dage;á jólum, páskumi julen, påsken;á fjøruved ebbe;á sumriom sommeren6(vedr. alder)á ungum árumi sine unge dage;á tólvta árielleve år gammel7(omskrivning for genitiv)aldurin á húsunumhusets alder;hon rendi knívin í lærið á honumhun stak kniven i hans lår;fóturin (beinið, armurin) á hennihendes fod (ben, arm)8(om egenskab, særkende, vedr. nogenel.noget)fimur á fót(un)umhurtig, let til bens;fastur á hondininærig, påholdende;vøkur á kroppsmuk af udseende;dimmur á litimørk i farven;á føroyskumpå færøsk9(vedr. sindsstemning, følelser, kærlighed etc.)hava hug á e-mvære forelsket i en;hava álit á e-mhave tillid til nogen;ótti var á teimumde var bange;nú var geylan á honumsikke han skråler op10pr., à,tríggir kassar á 15 kr.tre kasser à 15 kr.  / /11tað er áder er fisk på krogen;tað er nógv (lítið) áder er meget (lidt) græs12i ordforb.ilt liggur ádet er lige meget;ikki eiti á!der kan man se!;leggja lívið ámed livet som indsats;av og áaf og til
á4	å! nå! nu!(for bl.a. at vise tvivl, overraskelse, spørgsmål)á, heldur tú tað?nå, synes du det?;á, var tað bara tað?nå, var det kun det?
á5	seeiga 2
áararvi	(bot.)sumpfladstjerne(Stellaria uliginosa)
áarbakki	flodbred
áarbotnur	elvebund, åbund
áardalur	dal som å løber igennem
áardun	elvebrusen
áarduni	elvebrusen,áardunin hoyrist langan vegelvens brusen kunne høres lang vej
áardúnurt	(bot.)fjeld dueurt(Epilobium alsinifolium)
áareyrur	groft sandel.grus i en å
áarfar	flodleje
áarfiskur	(fisk.)ferskvandsfisk
áarfossur	vandfald i elv,tað var sum eftir áarfossistrømmen var hård
áarføri	1vandflom, oversvømmelse, skylning(pga. stærk nedbør el. tøbrud)2slagregn, øsregn,áarføri í regniheftigt regnskyl
áarførisdagur	dag med øsregn
áargrót	stene iel.fra en å
áarhylur	vandpyt i en å
áarkoppur	(bot.)følfod
áarlega	flodleje
áarlop	vandflom i en å(især om foråret ved tøbrud),stórur skaði av skriðu og áarlopistor skade af jordskred og vandflom
áarløkur	(lille) bæk
áarmeldur	strømhvirvel under et vandfald
áarmunni	(stedn.)flodmunding, åmunding, elvemunding
áarmylla	vandmølle
áarmylna	vandmølle
